"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Lyz2",0,2.93747759854442,0.995,0.753,0,"Mono/Mac 1","Lyz2"
"Fn1",0,2.70681884058021,0.84,0.137,0,"Mono/Mac 1","Fn1"
"Vim",0,2.41428258943623,0.967,0.376,0,"Mono/Mac 1","Vim"
"Tgfbi",0,2.31910196253334,0.953,0.315,0,"Mono/Mac 1","Tgfbi"
"F13a1",0,2.16411628759239,0.727,0.047,0,"Mono/Mac 1","F13a1"
"Lgals3",9.86130325816836e-319,2.08358297009529,0.992,0.463,1.65226136090611e-314,"Mono/Mac 1","Lgals3"
"Ccr2",7.06732197847476e-281,2.25749840969973,0.81,0.161,1.18412979749345e-276,"Mono/Mac 1","Ccr2"
"S100a4",4.90801913361029e-280,2.11100203474643,0.874,0.198,8.22338605836405e-276,"Mono/Mac 1","S100a4"
"Ahnak",6.15257639482802e-280,1.65308069143,0.852,0.173,1.03086417495343e-275,"Mono/Mac 1","Ahnak"
"Chil3",5.89814993532511e-270,3.15683442365688,0.601,0.05,9.88235021663722e-266,"Mono/Mac 1","Chil3"
"Apoc2",6.88271107653879e-270,2.53519870078683,0.813,0.178,1.15319824087407e-265,"Mono/Mac 1","Apoc2"
"Plac8",4.08167576722292e-261,2.69251102225007,0.84,0.247,6.83884774798201e-257,"Mono/Mac 1","Plac8"
"Ms4a6c",1.39161157794044e-258,1.8376283257899,0.92,0.354,2.33164519883921e-254,"Mono/Mac 1","Ms4a6c"
"Ifitm3",4.60292992309924e-251,1.85576184973942,0.977,0.569,7.71220908615278e-247,"Mono/Mac 1","Ifitm3"
"S100a10",2.35431494559112e-250,1.39046449683531,0.924,0.276,3.94465469133793e-246,"Mono/Mac 1","S100a10"
"F10",8.10599222994707e-239,0.952946240659448,0.729,0.149,1.35815899812763e-234,"Mono/Mac 1","F10"
"Hexb",8.59457450060555e-233,-3.37915462865565,0.647,0.623,1.44002095757646e-228,"Mono/Mac 1","Hexb"
"Thbs1",3.27842997584209e-227,2.76169226947911,0.678,0.113,5.49300942452341e-223,"Mono/Mac 1","Thbs1"
"Ms4a4c",8.95923860384871e-220,1.96235221097858,0.756,0.169,1.50112042807485e-215,"Mono/Mac 1","Ms4a4c"
"Cybb",2.63478459361116e-218,1.63230157642071,0.798,0.194,4.4145815865955e-214,"Mono/Mac 1","Cybb"
"Hp",3.84671490118296e-214,1.12687488514272,0.761,0.184,6.44517081693204e-210,"Mono/Mac 1","Hp"
"Emilin2",2.20968022341351e-213,0.909004397374566,0.786,0.199,3.70231921432934e-209,"Mono/Mac 1","Emilin2"
"Plbd1",5.21845017760766e-211,0.72180496311238,0.775,0.219,8.74351327258164e-207,"Mono/Mac 1","Plbd1"
"Trem2",1.78454763738941e-209,-1.59409833293955,0.65,0.542,2.99000956644596e-205,"Mono/Mac 1","Trem2"
"Mgst1",3.23091341656816e-207,1.18097482915814,0.562,0.064,5.41339542945995e-203,"Mono/Mac 1","Mgst1"
