"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gadd45b",4.95507884606107e-91,-2.58312954959303,0.545,0.893,8.30223460657532e-87,"Granulocytes 1","Gadd45b"
"Fth1",7.71729903419418e-91,-1.65018770063686,0.998,1,1.29303345317924e-86,"Granulocytes 1","Fth1"
"Sod2",1.22559668945107e-88,-2.47566077487899,0.343,0.822,2.05348725317527e-84,"Granulocytes 1","Sod2"
"Ccrl2",7.56291805832167e-81,-2.55593612769502,0.278,0.815,1.2671669206718e-76,"Granulocytes 1","Ccrl2"
"Actb",2.25724174049689e-78,1.34203727489393,0.986,0.925,3.78200853620254e-74,"Granulocytes 1","Actb"
"Esd",1.95764114917684e-75,-2.1305363048842,0.504,0.839,3.28002774544579e-71,"Granulocytes 1","Esd"
"Hilpda",1.01219303148957e-74,-2.20430446479312,0.188,0.745,1.69592942426077e-70,"Granulocytes 1","Hilpda"
"Ccl3",3.34189803068839e-69,-2.88237612713896,0.302,0.807,5.5993501504184e-65,"Granulocytes 1","Ccl3"
"Cxcr2",5.19295162709704e-69,1.92729105614198,0.7,0.152,8.7007904512011e-65,"Granulocytes 1","Cxcr2"
"Il1rn",1.0598408491121e-67,-2.42005021672409,0.359,0.807,1.77576334268732e-63,"Granulocytes 1","Il1rn"
"Cd274",5.11807676889757e-66,-2.22327802215689,0.141,0.644,8.57533762628788e-62,"Granulocytes 1","Cd274"
"Lrg1",6.88840933035131e-64,2.32318921852229,0.643,0.133,1.15415298330036e-59,"Granulocytes 1","Lrg1"
"Nfkbia",8.48357477183744e-62,-1.94965512067758,0.58,0.869,1.42142295302136e-57,"Granulocytes 1","Nfkbia"
"Cxcl2",1.91522129873182e-61,-2.91424359611791,0.48,0.843,3.20895328602517e-57,"Granulocytes 1","Cxcl2"
"Lcn2",1.21824432029837e-60,-2.17720016219945,0.598,0.888,2.04116835865992e-56,"Granulocytes 1","Lcn2"
"Cebpd",1.44377950350596e-59,1.77791574067022,0.665,0.17,2.41905255812424e-55,"Granulocytes 1","Cebpd"
"Coro1a",1.20646116834087e-58,1.55275355303688,0.808,0.378,2.02142568755512e-54,"Granulocytes 1","Coro1a"
"Tmsb4x",1.54192510018997e-58,1.24335396721877,0.992,0.991,2.5834955053683e-54,"Granulocytes 1","Tmsb4x"
