"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"P2ry12",1.50118747048902e-186,1.65100373779479,0.995,0.715,2.51523960680435e-182,"Microglia 1","P2ry12"
"Cx3cr1",2.41878293009789e-178,1.43824921817668,1,0.866,4.05267079937902e-174,"Microglia 1","Cx3cr1"
"Gpr34",3.08342605608783e-152,1.31980845723537,0.997,0.777,5.16628035697515e-148,"Microglia 1","Gpr34"
"Malat1",5.76861554638688e-151,1.54791685500147,1,0.667,9.66531534797121e-147,"Microglia 1","Malat1"
"Arhgap5",2.90517443327759e-149,1.55409000593709,0.948,0.482,4.8676197629566e-145,"Microglia 1","Arhgap5"
"Rhob",3.35166182300195e-148,1.47726454048462,0.967,0.577,5.61570938443977e-144,"Microglia 1","Rhob"
"Gapdh",1.7788185701954e-146,-1.80221877805307,0.808,0.964,2.9804105143624e-142,"Microglia 1","Gapdh"
"Selplg",3.78910662396846e-145,1.22562426622099,0.998,0.769,6.34864814845916e-141,"Microglia 1","Selplg"
"Serinc3",4.20520363849867e-145,1.12649352787473,1,0.852,7.04581869630453e-141,"Microglia 1","Serinc3"
"Jun",4.90677444600238e-136,1.75816801030975,0.938,0.522,8.22130058427699e-132,"Microglia 1","Jun"
"Tgfbr1",1.70977798780691e-132,1.40030320472761,0.958,0.571,2.86473301857048e-128,"Microglia 1","Tgfbr1"
"Rpl41",4.56214632511046e-132,-0.999128186805148,0.995,0.997,7.64387616772258e-128,"Microglia 1","Rpl41"
"Rps2",6.16995657805348e-132,-1.14960275255249,0.957,0.991,1.03377622465286e-127,"Microglia 1","Rps2"
"Maf",6.45453127967556e-132,1.42757367678387,0.953,0.607,1.08145671590964e-127,"Microglia 1","Maf"
"Kctd12",2.51293358022692e-128,1.31186641221045,0.978,0.694,4.21042021367021e-124,"Microglia 1","Kctd12"
"Mef2a",3.46922201194821e-127,1.29814459798816,0.957,0.549,5.81268148101923e-123,"Microglia 1","Mef2a"
"Siglech",6.98845528182208e-121,1.23793154928449,0.982,0.64,1.17091568246929e-116,"Microglia 1","Siglech"
"Marcks",1.24251234809972e-118,1.0005834317597,1,0.889,2.08182943924108e-114,"Microglia 1","Marcks"
"Zfhx3",1.77104313207679e-118,1.33528727553009,0.92,0.536,2.96738276779467e-114,"Microglia 1","Zfhx3"
"Csf1r",2.87024191070816e-117,0.929229974906593,1,0.917,4.80909032139153e-113,"Microglia 1","Csf1r"
"Tspo",2.02496543537857e-116,-1.57873063973749,0.577,0.893,3.3928295869768e-112,"Microglia 1","Tspo"
"Epb41l2",3.16188779400819e-111,1.2122325419453,0.95,0.643,5.29774299886072e-107,"Microglia 1","Epb41l2"
