"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"C1qc",2.38575840775585e-89,-3.47251883437355,0.312,0.854,3.99733821219492e-85,"Mono/Mac 1","C1qc"
"Cst3",4.12522435190449e-86,-2.18775364562065,0.982,1,6.91181340161598e-82,"Mono/Mac 1","Cst3"
"Hexb",1.74718778073575e-84,-2.69622714914786,0.647,0.83,2.92741312662275e-80,"Mono/Mac 1","Hexb"
"C1qa",3.55107553364101e-80,-3.64558159183585,0.256,0.83,5.94982705661551e-76,"Mono/Mac 1","C1qa"
"C1qb",1.47603753919495e-75,-2.97409823734553,0.399,0.871,2.47310089692115e-71,"Mono/Mac 1","C1qb"
"H2-Eb1",1.36876786665158e-62,-3.16773585074157,0.232,0.69,2.29337056057472e-58,"Mono/Mac 1","H2-Eb1"
"H2-Ab1",3.68931076487799e-61,-2.68309223287057,0.46,0.743,6.18144018655308e-57,"Mono/Mac 1","H2-Ab1"
"S100a11",5.27840203902502e-59,1.4836825662693,0.984,0.596,8.84396261638643e-55,"Mono/Mac 1","S100a11"
"H2-Aa",5.36746205632419e-58,-2.87143538003804,0.309,0.713,8.99318267537118e-54,"Mono/Mac 1","H2-Aa"
"Sparc",9.21968644057101e-54,-2.76625873164309,0.035,0.339,1.54475846311767e-49,"Mono/Mac 1","Sparc"
"S100a6",1.78249862865166e-46,1.37057273033022,0.977,0.643,2.98657645230585e-42,"Mono/Mac 1","S100a6"
"Anxa2",4.18053299388345e-46,1.26379649227367,0.912,0.398,7.00448303125172e-42,"Mono/Mac 1","Anxa2"
"Prdx5",9.69256393654742e-45,1.34445625741349,0.989,0.678,1.62398908756852e-40,"Mono/Mac 1","Prdx5"
"S100a4",2.48433454314378e-44,2.02253360818357,0.874,0.374,4.1625025270374e-40,"Mono/Mac 1","S100a4"
"Csf1r",7.20747849227252e-44,-0.980444173729082,0.919,0.778,1.20761302138026e-39,"Mono/Mac 1","Csf1r"
"Pitpna",3.08577080363749e-43,0.81748128387543,0.917,0.415,5.17020898149462e-39,"Mono/Mac 1","Pitpna"
"Cebpb",5.43025641058415e-43,1.32548514861933,0.981,0.673,9.09839461593375e-39,"Mono/Mac 1","Cebpb"
"Actg1",6.63162499595847e-43,1.42239754751668,0.988,0.713,1.11112876807284e-38,"Mono/Mac 1","Actg1"
"Hsp90b1",8.4061373101279e-43,-1.47799434627825,0.807,0.819,1.40844830631193e-38,"Mono/Mac 1","Hsp90b1"
"S100a10",8.54506944481874e-43,1.32568524852269,0.924,0.456,1.43172638547938e-38,"Mono/Mac 1","S100a10"
"Hp",1.04359607370009e-42,2.2074048795675,0.761,0.211,1.74854522148451e-38,"Mono/Mac 1","Hp"
"Cd81",2.16833600535044e-42,-2.48509772858859,0.149,0.433,3.63304697696466e-38,"Mono/Mac 1","Cd81"
"Cd74",3.66648736509085e-42,-2.27734400423458,0.676,0.766,6.14319958020972e-38,"Mono/Mac 1","Cd74"
"Mcl1",6.7231434271036e-42,0.875391844853116,0.976,0.585,1.12646268121121e-37,"Mono/Mac 1","Mcl1"
"H2-K1",1.90976050325513e-39,-0.473132026382714,0.976,0.766,3.19980372320397e-35,"Mono/Mac 1","H2-K1"
"Unc93b1",1.61165371895032e-38,-0.602500416278422,0.837,0.637,2.70032580610126e-34,"Mono/Mac 1","Unc93b1"
"Lamp1",2.95475789584879e-38,-0.461192008427427,0.962,0.719,4.95069685449465e-34,"Mono/Mac 1","Lamp1"
"Mrpl52",4.40861433701578e-37,0.587309899446008,0.961,0.561,7.38663332166995e-33,"Mono/Mac 1","Mrpl52"
"Emb",1.26899067607709e-36,0.896727922850511,0.79,0.269,2.12619387776717e-32,"Mono/Mac 1","Emb"
"Serinc3",5.3899593432407e-36,-1.18616119876627,0.741,0.69,9.03087687959979e-32,"Mono/Mac 1","Serinc3"
"Ly86",1.20940303304056e-35,-1.12469715699282,0.723,0.737,2.02635478185946e-31,"Mono/Mac 1","Ly86"
"Olfml3",1.46545116303602e-35,-2.15360955485555,0.091,0.374,2.45536342366684e-31,"Mono/Mac 1","Olfml3"
"Marcks",2.64876827912908e-35,-1.25008657636527,0.821,0.801,4.43801125168078e-31,"Mono/Mac 1","Marcks"
"H2-DMa",3.29919968619441e-35,-0.890957693266923,0.638,0.532,5.52780907421873e-31,"Mono/Mac 1","H2-DMa"
"Arl6ip1",6.20657893521052e-35,-0.851720470886568,0.765,0.556,1.03991230059452e-30,"Mono/Mac 1","Arl6ip1"
"Vim",9.32452317144138e-35,1.20311847563827,0.967,0.667,1.562323857375e-30,"Mono/Mac 1","Vim"
"Spi1",1.00819250777079e-34,0.532533557196091,0.951,0.556,1.68922654676996e-30,"Mono/Mac 1","Spi1"
"P2ry12",1.01885665362802e-34,-2.06513218208561,0.118,0.327,1.70709432315375e-30,"Mono/Mac 1","P2ry12"
"Ndufa2",2.39665576642663e-34,0.307774208395113,0.924,0.515,4.01559673664782e-30,"Mono/Mac 1","Ndufa2"
"Mcemp1",4.77056069359549e-34,1.25953020921826,0.678,0.175,7.99307444211925e-30,"Mono/Mac 1","Mcemp1"
"Ptma",5.90216584615822e-34,-0.86424109706958,0.955,0.901,9.88907887523809e-30,"Mono/Mac 1","Ptma"
"Clec4e",8.59553300035218e-34,1.83948875222145,0.575,0.088,1.44018155420901e-29,"Mono/Mac 1","Clec4e"
"Ybx1",8.63362319778396e-34,0.09705635093666,0.953,0.614,1.4465635667887e-29,"Mono/Mac 1","Ybx1"
"Fxyd5",1.14473636687935e-33,0.549255060833598,0.986,0.673,1.91800578270635e-29,"Mono/Mac 1","Fxyd5"
"Cx3cr1",1.22628407421984e-33,-1.74102418289715,0.503,0.696,2.05463896635534e-29,"Mono/Mac 1","Cx3cr1"
"Btg1",1.26690326155787e-33,0.78081994641608,0.972,0.626,2.12269641474022e-29,"Mono/Mac 1","Btg1"
"Aprt",1.42143119757185e-33,0.956015638494776,0.912,0.491,2.38160797153163e-29,"Mono/Mac 1","Aprt"
"Gnai2",1.68983196532421e-33,0.338652652594217,0.977,0.643,2.83131345790072e-29,"Mono/Mac 1","Gnai2"
"H2-D1",1.99066172230536e-33,-0.126688543951153,0.995,0.778,3.33535371572263e-29,"Mono/Mac 1","H2-D1"
"Arpc1b",2.49099090219854e-33,0.495181535142712,0.98,0.649,4.17365525663365e-29,"Mono/Mac 1","Arpc1b"
"Cdc42",3.1899634395095e-33,0.225301595128923,0.985,0.678,5.34478374289816e-29,"Mono/Mac 1","Cdc42"
"F10",4.38997662042061e-33,1.01977488167537,0.729,0.228,7.35540582751472e-29,"Mono/Mac 1","F10"
"Fcrls",4.67846767912273e-33,-2.35797853969731,0.065,0.351,7.83877259637013e-29,"Mono/Mac 1","Fcrls"
"Ccl12",5.70959786662238e-33,-2.5733358200916,0.141,0.409,9.56643122552581e-29,"Mono/Mac 1","Ccl12"
"Scand1",8.47676694301807e-33,0.17038941612137,0.939,0.591,1.42028230130268e-28,"Mono/Mac 1","Scand1"
