"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Spp1",4.10575971721221e-07,4.55500227661489,0.7,0.053,0.00687920040618906
"C1qb",5.76110238491009e-06,3.31950577071465,0.6,0.191,0.0965272704591686
"C1qc",1.21413706231438e-06,3.2791568737324,0.7,0.122,0.0203428664790774
"Cd63",1.25120352943499e-07,3.24502482760529,0.7,0.05,0.00209639151356832
"C1qa",3.6576182810734e-05,3.23711232204018,0.6,0.118,0.612833942993848
"Apoe",4.75543083876959e-09,3.11662014790432,0.7,0.424,7.96772437035844e-05
"Tyrobp",6.80249637032129e-07,2.91605373306208,0.7,0.218,0.0113975826684733
"Ctsl",2.29980123659478e-07,2.84728958933248,0.8,0.103,0.00385331697191455
"Ctsd",4.76125245337375e-11,2.79562866351263,0.9,0.5,7.97747848562771e-07
"Ftl1",2.15568293048799e-06,2.70728751043107,1,0.947,0.0361184675003263
"Ctsb",2.15011382325481e-10,2.63393034512043,0.7,0.359,3.60251571086343e-06
"Fcer1g",1.51900602716595e-05,2.5463004887468,0.8,0.279,0.254509459851654
"Hexb",2.90152463952281e-06,2.49785558877549,0.8,0.198,0.0486150453352048
"Hist1h1b",0.00301313848849985,2.48511479635201,0.2,0.019,1
"Hist1h2ap",0.0117425811602708,2.28372886867734,0.4,0.088,1
"Cst3",2.09835512918388e-08,2.20901776346122,0.9,0.615,0.000351579401894759
"Aif1",2.12008951514607e-05,2.17904893011451,0.6,0.053,0.355220998262724
"Basp1",2.89153081820492e-06,2.09467867112381,0.7,0.065,0.0484475988590235
"Fcrls",0.000104282893525669,2.08524870285305,0.5,0.061,1
"Ly86",4.21473375230934e-05,2.08507802016206,0.6,0.065,0.70617864019943
"Tnfrsf23",0.0340445622932908,2.07959404825687,0.1,0.011,1
"Cd9",2.02014846161814e-05,1.99864578896852,0.7,0.183,0.33847587474412
"Stmn1",0.0259694316734847,1.98711702469526,0.3,0.095,1
"Ltc4s",1.25603886660123e-05,1.98442947467229,0.5,0.023,0.210449312099037
"Olfml3",7.71837779313178e-05,1.97507141110439,0.5,0.042,1
"Wfdc21",0.0570151807850127,1.93922031068212,0.1,0.004,1
"Lgmn",0.000344478065934588,1.92506447460621,0.5,0.107,1
"Ctsz",1.65458180309262e-05,1.88182197211712,0.6,0.237,0.277225181108168
"Trem2",0.000197879638210194,1.87366753235229,0.5,0.076,1
"Grn",2.52683515786103e-05,1.86237222337793,0.6,0.084,0.423371230699615
"Cd68",7.9171810654927e-05,1.82606054633827,0.4,0.046,1
"Atp6v0c",5.84464413596383e-06,1.78768676315836,1,0.496,0.097927012498074
"Fth1",0.00113365244672436,1.75483451968487,1,0.992,1
"Ctss",0.00259430137284601,1.731123358403,0.8,0.504,1
"Psap",0.000422153603792021,1.72899526639576,0.9,0.378,1
"Cstb",0.0176752393701994,1.68713411182045,0.5,0.363,1
"Cd14",0.0038579154218588,1.66920428290384,0.3,0.027,1
"Birc5",0.00215391728748705,1.6669500368506,0.2,0.004,1
"Fcgr3",4.51648355442924e-05,1.65328942988626,0.5,0.053,0.756736819544619
"Lgals3",0.0651005785084234,1.64335000098344,0.3,0.218,1
"Hist1h4d",0.00661049087463055,1.61309490804895,0.4,0.359,1
"Msrb1",0.0158665946947109,1.60112290592346,0.5,0.156,1
"Cd81",0.00660267345692163,1.58457166552031,0.5,0.103,1
"Cd300c2",0.00647965328650861,1.58350095547217,0.4,0.061,1
"Alox5ap",3.93891497477625e-06,1.57862284431695,0.6,0.046,0.0659965204023761
"Hexa",1.74588828609601e-05,1.53393189682962,0.6,0.111,0.292523582335386
"Cxcr4",0.0138724868740657,1.52435566054092,0.6,0.191,1
"Plin2",0.00277845436513584,1.51313591507127,0.4,0.08,1
"Sparc",0.000558162100784878,1.47601337056171,0.5,0.053,1
"Marcks",0.000289366413786989,1.47282528848711,0.5,0.053,1
"Pclaf",0.0104664229995459,1.45668293163448,0.2,0.011,1
"Bnip3l",0.00819692704082681,1.42322562157564,0.5,0.45,1
"Wfdc17",0.00685435893831842,1.4036928874373,0.4,0.065,1
"Atp6v0b",3.18326486755374e-07,1.40051184599648,0.6,0.37,0.0053335602855863
"Ube2c",0.0446176047047339,1.38330828549113,0.1,0.011,1
"Hist1h2ab",0.0232576520815522,1.35197289443542,0.1,0,1
"Ccl12",0.0615287227326589,1.34756205607047,0.3,0.061,1
"Mpeg1",0.000166596142131843,1.33039603744318,0.5,0.038,1
"Cd24a",0.00215391728748705,1.31065865276639,0.2,0.004,1
"Hist1h2bc",0.0397827574286323,1.30522383676656,0.3,0.057,1
"Lyz2",0.00137668328132834,1.30150207072399,0.8,0.328,1
"Hist1h2ae",0.00379920458739053,1.28824828360945,0.1,0.053,1
"Amdhd2",0.00565379179986787,1.28382312080474,0.3,0.084,1
"Clec4d",0.0343089088859697,1.26695536429139,0.1,0.011,1
"Npl",0.00184438262128303,1.26122621377809,0.3,0.019,1
"Mkrn1",0.0107287540567813,1.25767740376119,0.7,0.298,1
"Mt1",0.000901115487580276,1.25446574042975,0.5,0.057,1
"Creg1",0.000700126450996453,1.23202742234978,0.7,0.156,1
"Hist1h1e",0.0555419229084671,1.22504021479122,0.3,0.355,1
"Serf1",0.00882278237647544,1.22235046819667,0.3,0.038,1
"Timp2",0.00233720473888353,1.21325859491439,0.5,0.118,1
"Tpd52",0.00231812821545663,1.1964900952684,0.5,0.076,1
"Gnpda1",0.00140699132124764,1.17432489243634,0.3,0.069,1
"Armt1",0.0551576988508918,1.1720985348883,0.2,0.069,1
"Hmgb2",0.0656754304116944,1.16635304602856,0.6,0.74,1
"Blvrb",0.00103569540558123,1.16293449595939,0.4,0.034,1
"Mafb",7.45223077827327e-05,1.161401936227,0.5,0.031,1
"Syngr1",4.96527113342157e-05,1.15262887851381,0.5,0.027,0.831931178404784
"Lamp1",0.00451183930949045,1.1469242695834,0.5,0.237,1
"Ccni",0.0212432923282151,1.12992800529543,0.6,0.191,1
"1110032A03Rik",0.194216973561754,1.12307142856344,0.2,0.057,1
"Map3k11",0.00912345810303079,1.10355626148678,0.4,0.057,1
"Taf13",0.0017658126257544,1.09918892514552,0.1,0.069,1
"H2afv",0.0232102155325249,1.09755605352362,0.8,0.492,1
"Bcl2l11",0.0354425553186251,1.09258419704377,0.6,0.214,1
"Fabp5",0.013978752293261,1.08427627120329,0.4,0.08,1
"Hist1h4i",0.00498914994470632,1.0600098502871,0.3,0.042,1
"E030030I06Rik",0.002585482836235,1.05605309020516,0.3,0.038,1
"Ctsh",0.00272390843056502,1.05521800621729,0.5,0.076,1
"Top2a",0.0126478033921574,1.05370966315185,0.1,0.042,1
"Bri3",0.00541860025861561,1.05304323048681,0.9,0.408,1
"Hist1h2bb",0.0232576520815522,1.05303037242369,0.1,0,1
"Pgam1",0.172873566607334,1.0399811499837,0.4,0.286,1
"Ckb",0.0589014881853678,1.03787657562092,0.5,0.176,1
"Cited2",0.141891741173924,1.03279269455847,0.5,0.24,1
"Pcna",0.00494585125310684,1.02225577790795,0.4,0.214,1
"Ly96",0.000256296321833664,1.02209252638879,0.5,0.042,1
"Lcn2",0.0162165945375236,1.01728540486776,0.3,0.031,1
"Ctsa",0.0165668649523673,1.01102526257106,0.6,0.244,1
"Qk",0.00179686737010315,1.00605720514141,0.6,0.115,1
"Sgpl1",0.000574633649944451,1.00249532092193,0.1,0.092,1
"E230032D23Rik",0.0125937732404452,0.989213866958705,0.2,0.061,1
"Gabarap",0.0307061115415233,0.982032561182647,0.9,0.698,1
"Tpi1",0.0559652749637622,0.981343683213436,0.6,0.24,1
"Ehd1",0.0119406762695673,0.97720789327361,0.3,0.069,1
"Csf2ra",0.000332175761238221,0.9769882067986,0.4,0.027,1
"Itgam",0.00838660534955837,0.975331910766299,0.3,0.027,1
"Csf1r",0.0255779786178652,0.97373552153546,0.4,0.084,1
"Mki67",0.0865072716903106,0.967021858451198,0.2,0.042,1
"Cd300lb",0.0570151807850127,0.966945643378231,0.1,0.004,1
"Fcgr1",0.00764131983489377,0.965935706860024,0.3,0.027,1
"Hist1h2be",0.00282402712884477,0.960581096023693,0.2,0.046,1
"Cxcl2",0.333117633610959,0.957222052541508,0.1,0.023,1
"Ctsc",0.0112426858565572,0.955862865962245,0.4,0.187,1
"Ero1l",0.17326972798191,0.95443464963946,0.2,0.118,1
"Fbxo5",0.0252986840412943,0.954179621715021,0.2,0.027,1
"Cdca8",0.093716987852705,0.950583585193818,0.1,0.008,1
"Ftl1-ps1",0.00791025039069466,0.948841364103811,0.3,0.038,1
"Myo1f",0.0263601366171933,0.944665292568632,0.4,0.16,1
"Tubb4b",0.0421686141257674,0.944531173158308,0.7,0.309,1
"Rgs10",0.0231832184123046,0.943977969071972,0.9,0.508,1
"Cd300a",0.0003648576001117,0.943655202977907,0.3,0.004,1
"P2ry12",0.0666522494345722,0.939554186637283,0.2,0.027,1
"Spc25",0.0770382514181818,0.938520536162951,0.1,0.011,1
"Zfp52",0.105203818503125,0.938253641372804,0.2,0.038,1
"Arl11",0.022137713715305,0.932342934865022,0.2,0.019,1
"Hist1h1d",0.0125249079510141,0.931826502328282,0.1,0.042,1
"Ccdc34",0.00426053974405498,0.931693199262789,0.4,0.046,1
"Ubc",0.418352425269691,0.929139730109688,0.8,0.683,1
"Ntpcr",0.0165347944697761,0.928717084545005,0.4,0.095,1
"Ccl3",0.032471635453177,0.924792864833686,0.2,0.015,1
"Mif",0.466253515687748,0.924686546387719,0.8,0.725,1
"Dnmt3a",0.00949223276431427,0.916233462409208,0.4,0.061,1
"Tuba1b",0.173322711010264,0.90969701976875,0.4,0.305,1
"Ms4a6d",0.0069713062488315,0.908522034237059,0.5,0.095,1
"Rab5if",0.0140744224900426,0.908497343861899,0.6,0.355,1
"Alkbh5",0.0012306589079763,0.903387662207621,0.7,0.164,1
"Vat1",0.00170426569283981,0.89928491019215,0.3,0.011,1
"Erp29",0.0476216954728224,0.897957188229583,0.7,0.336,1
"Hist2h2ac",0.0398341368275098,0.896183707548223,0.2,0.145,1
"Sidt2",0.00440495549355476,0.89515836001287,0.6,0.137,1
"Ccdc126",0.0667908525238495,0.895154061542185,0.1,0.023,1
"Derl1",0.0825106810639694,0.894546587873891,0.5,0.218,1
"Spi1",0.025498569005345,0.892929749673685,0.3,0.038,1
"Lockd",0.132336967600241,0.892076543222206,0.2,0.149,1
"Ifi30",0.0445109086474767,0.886216763147988,0.5,0.16,1
"Exoc6b",0.0463284546768017,0.885742257104211,0.3,0.069,1
"Rps27l",0.0198697189763492,0.885665784965647,0.8,0.63,1
"Jmjd1c",0.134911913177818,0.885085009948387,0.5,0.221,1
"Canx",0.0699819934829623,0.884604554015808,0.6,0.298,1
"Cebpd",0.0282563303253348,0.880635471038282,0.2,0.031,1
"Cdk11b",0.0288961217906822,0.878682037899626,0.6,0.214,1
"Soat1",0.150539469842885,0.875328549666222,0.4,0.176,1
"Ifnar2",0.0374846721293277,0.873090672239738,0.7,0.309,1
"Hist2h2bb",0.0704356122484318,0.871841536591545,0.1,0.031,1
"Nptn",0.061157786611339,0.870920024655758,0.4,0.206,1
"Ap4e1",0.0345617433898977,0.869931715140065,0.1,0.034,1
"Fcgr2b",0.00429056374705,0.868710509495924,0.4,0.046,1
"Prdx5",0.0774806865590827,0.867734083187436,0.8,0.542,1
"Dzip3",0.0160573162178722,0.866006012338435,0.3,0.038,1
"Frrs1",0.0423357319254903,0.865871547773678,0.2,0.038,1
"Gatad1",0.0231386340701098,0.865369003628697,0.6,0.21,1
"Ier3",0.0649678684108465,0.864886678102789,0.2,0.027,1
"Acot2",0.0107519369295078,0.862937682481499,0.3,0.027,1
"Dcakd",0.0171086721442666,0.860288885515725,0.2,0.027,1
"Slc25a20",0.163483736939464,0.855983738950804,0.2,0.069,1
"B4galt1",0.0395143215201447,0.854162380321131,0.4,0.176,1
"Dstn",0.028638274768852,0.849344137819376,0.5,0.145,1
"Anxa7",0.0222483605506908,0.845979398518865,0.3,0.099,1
"Hlf",0.132834621378899,0.845110048443262,0.1,0.015,1
"Zc3h6",0.0110995088305458,0.833972611190282,0.4,0.061,1
"Gtf2b",0.16540877496787,0.827124357496879,0.4,0.183,1
"Kdelr1",0.0125175761652516,0.82292206336664,0.3,0.248,1
"Osgep",0.0129906883500031,0.822316036500193,0.6,0.172,1
"Tmem106b",0.0262505319365118,0.820300076917356,0.2,0.134,1
"Nt5dc1",0.0187004094043291,0.817844568320819,0.5,0.122,1
"Tgs1",0.0528465731827216,0.817475473286373,0.4,0.141,1
"Pcf11",0.0901971242708182,0.815840535134087,0.4,0.137,1
"Lamtor1",0.0928731234873044,0.815577174101301,0.6,0.336,1
"Acot1",0.0232576520815523,0.815160324546405,0.1,0,1
"2900097C17Rik",0.197117703281696,0.813952890924083,0.3,0.13,1
"Kansl1",0.00468020621394732,0.810365176744578,0.8,0.29,1
"Fnbp1l",0.0570151807850103,0.807957681539362,0.1,0.004,1
"Pex5",0.0151185313046173,0.806493861964518,0.3,0.031,1
"Lin52",0.0344072140302111,0.805363277162808,0.2,0.019,1
"Med13l",0.0126023587534444,0.802623055686186,0.5,0.111,1
"Rab32",0.0087456455963773,0.801883067876259,0.3,0.031,1
"Bag1",0.115187090085992,0.799751630114889,0.6,0.427,1
"Bin1",0.061742514272977,0.797754043819931,0.5,0.221,1
"Qars",0.0228620229089786,0.797134081246847,0.4,0.076,1
"Rtn4",0.0257787545892003,0.796006438161122,0.4,0.252,1
"C130050O18Rik",0.000562108748831552,0.795398934325978,0.2,0,1
"Cd300c",0.000562108748831552,0.795398934325978,0.2,0,1
"Fndc3a",0.108026104826951,0.793128884315746,0.2,0.103,1
"Ptgs1",0.0570151807850156,0.793125944236621,0.1,0.004,1
"Stk4",0.0263519405708122,0.791877259714702,0.6,0.447,1
"Gcnt1",0.0113853702831575,0.78617190491747,0.3,0.027,1
"Cpd",0.0114489862410802,0.785638695054178,0.4,0.061,1
"Neu1",0.0587017629186563,0.785152071255516,0.4,0.118,1
"Cebpg",0.00694828462935422,0.782130416666678,0.6,0.153,1
"Dtnbp1",0.0187484541176451,0.78199345475538,0.5,0.122,1
"Cenpf",0.0232576520815522,0.779544689066321,0.1,0,1
"Siglech",0.024787928193834,0.779388664321619,0.2,0.015,1
"Upf2",0.0280202570689737,0.775481415397155,0.6,0.202,1
"Slc25a39",0.014527290042819,0.775339063299783,0.5,0.115,1
"Hdac5",0.0162646527083596,0.774547377664705,0.3,0.031,1
"Alkbh2",0.085086692138194,0.772930734931625,0.3,0.073,1
"Nusap1",0.0570151807850124,0.768754164503594,0.1,0.004,1
"Eaf1",0.025333090995988,0.767874589631291,0.3,0.042,1
"Stx7",0.145246486940759,0.766555864861568,0.3,0.084,1
"Gga3",0.096086971854847,0.764697927240409,0.2,0.076,1
"Gls",0.152373069989389,0.76179224179703,0.4,0.279,1
"Jade2",0.0541921935418286,0.760623365685929,0.3,0.057,1
"Ints6",0.248935303713986,0.760026934230634,0.3,0.118,1
"Neurl3",0.741434647065017,0.758800313463568,0.3,0.252,1
"Npc1",0.0113452883295413,0.757473880790864,0.4,0.061,1
"Slc2a1",0.0324321557265041,0.755438093542895,0.3,0.042,1
"Eif4e",0.074222999043391,0.75530709926546,0.3,0.202,1
