pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	2.46899831108614e-35	2.09494506695659e-32	1.54318309134871	0.816258355086806	3.4543717440384	99	ATP5G1 NDUFA4 NDUFC1 NDUFA12 UQCR11 ATP5G2 ETFB NDUFS5 ATP5J2 UQCR10 NDUFB8 ATP5J NDUFA5 MT-ND1 UQCRQ NDUFB11 COX6C NDUFA11 NDUFC2 ATP5G3 UQCRB ATP5K ATP5O NDUFB2 NDUFAB1 NDUFA2 NDUFV3 MT-CYTB COX6A1 COX7B COX5A MT-ND2 COX7C COX4I1 COX6B1 NDUFS6 NDUFS8 NDUFA13 NDUFA8 NDUFA3 NDUFB10 COX20 NDUFB7 ATP5E COX5B COX8A NDUFB5 NDUFA1 CYCS MT-ND3 UCP2 NDUFA9 CYC1 NDUFS3 ATP5B SDHB NDUFV2 ATP5H MT-CO3 NDUFB4 ATP5D NDUFB6 NDUFS7 MT-ND4 SDHC NDUFAF2 NDUFS2 ATP5C1 ATP5L ATP5A1 MT-ATP8 MT-ATP6 ETFA MT-CO2 NDUFA7 NDUFB9 SDHD NDUFB3 NDUFV1
WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	1.58283876697715e-33	6.71519346890055e-31	1.50238688881415	0.828178157070306	3.4248999249736	88	ATP5G1 ATPIF1 NDUFA4 NDUFC1 NDUFA12 UQCR11 ATP5G2 SLC25A4 NDUFS5 ATP5J2 UQCR10 NDUFB8 ATP5J NDUFA5 MT-ND1 UQCRQ COX6C NDUFC2 ATP5G3 UQCRB ATP5K ATP5O NDUFB2 NDUFAB1 NDUFA2 NDUFV3 MT-CYTB COX6A1 COX7B COX5A MT-ND2 SLC25A5 COX7C COX4I1 COX6B1 NDUFS6 NDUFS8 MT-ND4L NDUFA8 NDUFA3 NDUFB10 NDUFB7 ATP5E COX7A2 COX5B COX8A NDUFB5 NDUFA1 MT-ND3 UCP2 NDUFA9 NDUFS3 ATP5B SDHB NDUFV2 ATP5H MT-CO3 NDUFB4 ATP5D NDUFB6 NDUFS7 MT-ND4 SDHC NDUFS2 ATP5C1 ATP5L ATP5A1 MT-ATP8 MT-ATP6 MT-CO2 NDUFA7 NDUFB9 SDHD NDUFB3 NDUFV1
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	4.63171153706662e-35	2.62000482613402e-32	1.54318309134871	0.773618154631667	3.40093803646862	123	ATP5G1 LDHB NDUFA4 NDUFC1 NDUFA12 UQCR11 ATP5G2 ETFB NDUFS5 ATP5J2 UQCR10 NDUFB8 ATP5J NDUFA5 MT-ND1 UQCRQ NDUFB11 COX6C NDUFA11 NDUFC2 ATP5G3 UQCRB ATP5K ATP5O NDUFB2 NDUFAB1 NDUFA2 NDUFV3 MT-CYTB COX6A1 COX7B MPC1 COX5A MT-ND2 COX7C COX4I1 COX6B1 NDUFS6 NDUFS8 NDUFA13 NDUFA8 NDUFA3 NDUFB10 COX20 NDUFB7 ATP5E COX5B COX8A NDUFB5 NDUFA1 CYCS MT-ND3 BSG UCP2 NDUFA9 CYC1 NDUFS3 ATP5B SDHB VDAC1 NDUFV2 ATP5H MT-CO3 NDUFB4 ATP5D NDUFB6 NDUFS7 MT-ND4 SDHC NDUFAF2 NDUFS2 ATP5C1 ATP5L ATP5A1 MT-ATP8 MT-ATP6 ETFA MT-CO2 NDUFA7 IDH3A NDUFB9 SDHD NDUFB3 NDUFV1 SUCLG2 SUCLG1
KEGG_PARKINSONS_DISEASE	5.13767368860636e-31	1.743726449913e-28	1.44620288250144	0.793441476499132	3.36150463388695	100	ATP5G1 NDUFA4 NDUFC1 UQCR11 ATP5G2 SLC25A4 NDUFS5 UQCR10 NDUFB8 ATP5J NDUFA5 MT-ND1 UQCRQ COX6C NDUFC2 ATP5G3 UQCRB ATP5O NDUFB2 PARK7 NDUFAB1 NDUFA2 NDUFV3 MT-CYTB COX6A1 COX7B COX5A MT-ND2 SLC25A5 COX7C COX4I1 COX6B1 NDUFS6 NDUFS8 MT-ND4L NDUFA8 NDUFA3 NDUFB10 NDUFB7 ATP5E COX7A2 COX5B COX8A VDAC2 NDUFB5 NDUFA1 CYCS MT-ND3 NDUFA9 CYC1 NDUFS3 ATP5B SDHB VDAC3 VDAC1 NDUFV2 ATP5H MT-CO3 NDUFB4 ATP5D NDUFB6 NDUFS7 MT-ND4 SDHC UBE2L3 NDUFS2 ATP5C1 ATP5A1 MT-ATP8 MT-ATP6 MT-CO2 NDUFA7 NDUFB9 SDHD NDUFB3 NDUFV1
REACTOME_TRANSLATION	1.42839897035857e-41	2.42399305269849e-38	1.67817787124255	0.704030736916782	3.29948295751063	208	RPS2 SSR4 RPS17 RPL22L1 RPL35 SEC11C RPS12 RPL12 RPS27L SSR2 RPS26 DDOST RPL10A RPL36A RPLP1 SPCS1 RPL31 MRPL20 EIF4A1 EEF1G RPL14 MRPL42 RPS8 MRPS14 SPCS2 MRPL51 RPL3 RPS29 RPL15 MRPL12 RPL36AL RPS25 RPL32 MRPL28 RPN1 RPL11 RPL5 RPS15 RPN2 RPL29 MRPL18 RPL7A RPS20 EIF2S1 MRPL11 CHCHD1 EIF2S2 RPS18 RPL26 MRPS28 MRPS15 MRPL34 RPS6 EIF3I EEF1B2 MRPL23 MRPS36 RPL13A RPL21 RPS23 RPL27A MRPL13 SSR1 RPS27A MRPS21 RPL39 RPL28 MRPS18A SEC61G UBA52 RPSA RPL13 EEF1D RPLP2 MRPL41 MRPL58 MRPL35 RPL6 MRPL27 MRPL17 RPS28 RPS11 PPA1 MRPS33 GADD45GIP1 RPL35A RPL23 RPL37 MRPS11 MRPS25 SARS RPL10 MRPL36 RPL19 RPL27 MRPS12 MRPL55 RPS15A RPL22 SEC61B MRPS16 TRMT112 RPS24 MRPS7 RPL23A RPS19 RPS10 MRPL49 SRP14 RPL38 AIMP1 RPS21 MRPS17 MRPS34 RPS3 RPL24 MRPS24 RPS5 MRPS18C RPL4 MRPL16 MRPS18B EIF1AX RPLP0 SRP9 MRPL54 MRPL57 RARS VARS MRPL21 RPS4X AURKAIP1 EIF4E SPCS3 MRPL15 MRPL2 TSFM RPL37A RPL7 RPL30 LARS MRPS6 RPS7 MRPL46 GSPT1 EEF1A1 TARS MRPL52 RPS3A1 MRPS10 MRPL53 RPL39L SRP19 EIF5B EIF3L MRPL48 RPL36 MRPS26 EIF3C
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	2.5548592807234e-26	6.19370885626802e-24	1.33449749081658	0.800694872076308	3.29183044352671	81	NDUFA4 NDUFC1 NDUFA12 UQCR11 ETFB NDUFS5 UQCR10 NDUFB8 NDUFA5 MT-ND1 UQCRQ NDUFB11 COX6C NDUFA11 NDUFC2 UQCRB NDUFB2 NDUFAB1 NDUFA2 NDUFV3 MT-CYTB COX6A1 COX7B COX5A MT-ND2 COX7C COX4I1 COX6B1 NDUFS6 NDUFS8 NDUFA13 NDUFA8 NDUFA3 NDUFB10 COX20 NDUFB7 COX5B COX8A NDUFB5 NDUFA1 CYCS MT-ND3 NDUFA9 CYC1 NDUFS3 SDHB NDUFV2 MT-CO3 NDUFB4 NDUFB6 NDUFS7 MT-ND4 SDHC NDUFAF2 NDUFS2 ETFA MT-CO2 NDUFA7 NDUFB9 SDHD NDUFB3 NDUFV1
KEGG_OXIDATIVE_PHOSPHORYLATION	5.80192154267536e-28	1.64097680965335e-25	1.37274298193398	0.778324714581494	3.28311849243243	97	ATP5G1 NDUFA4 NDUFC1 UQCR11 ATP5G2 NDUFS5 ATP5J2 UQCR10 NDUFB8 ATP5J NDUFA5 MT-ND1 UQCRQ COX6C NDUFA11 NDUFC2 ATP5G3 UQCRB ATP5K ATP5O NDUFB2 NDUFAB1 NDUFA2 NDUFV3 MT-CYTB COX6A1 COX7B COX5A MT-ND2 COX7C COX4I1 COX6B1 NDUFS6 NDUFS8 MT-ND4L NDUFA8 NDUFA3 NDUFB10 NDUFB7 ATP5E COX7A2 COX5B COX8A NDUFB5 NDUFA1 MT-ND3 NDUFA9 CYC1 NDUFS3 ATP5B SDHB NDUFV2 ATP5H MT-CO3 NDUFB4 ATP5D NDUFB6 NDUFS7 MT-ND4 SDHC PPA1 NDUFS2 ATP5C1 ATP5L ATP5A1 MT-ATP8 MT-ATP6 MT-CO2 NDUFA7 NDUFB9 SDHD NDUFB3 ATP6V1F NDUFV1
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	9.14516372467559e-25	1.72437142675272e-22	1.28710367230144	0.75169490044773	3.18464053867367	100	RPS2 SSR4 RPS17 RPL22L1 RPL35 SEC11C RPS12 RPL12 RPS27L SSR2 RPS26 DDOST RPL10A RPL36A RPLP1 SPCS1 RPL31 RPL14 RPS8 SPCS2 RPL3 RPS29 RPL15 RPL36AL RPS25 RPL32 RPN1 RPL11 RPL5 RPS15 RPN2 RPL29 RPL7A RPS20 RPS18 RPL26 RPS6 RPL13A RPL21 RPS23 RPL27A SSR1 RPS27A RPL39 RPL28 SEC61G UBA52 RPSA RPL13 RPLP2 RPL6 RPS28 RPS11 RPL35A RPL23 RPL37 RPL10 RPL19 RPL27 RPS15A RPL22 SEC61B RPS24 RPL23A RPS19 RPS10 SRP14 RPL38 RPS21 RPS3 RPL24 RPS5 RPL4 RPLP0 SRP9 RPS4X SPCS3 RPL37A RPL7
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	7.55128573515994e-25	1.6018164865708e-22	1.29512308741004	0.699226768469817	3.12267733705509	132	RPS2 RPS17 RPL22L1 PSMB6 RPL35 RPS12 RPL12 RPS27L RPS26 RPL10A RPL36A RPLP1 PSMC3 PSMC5 RPL31 RPL14 RPS8 RPL3 ELOC RPS29 RPL15 RPL36AL RPS25 PSMB2 RPL32 PSMB4 RPL11 RPL5 RPS15 RPL29 RPL7A RPS20 RPS18 PSMA5 PSMC1 RPL26 PSMA1 PSMB7 RPS6 ELOB PSMD12 RPL13A RPL21 RPS23 RPL27A RPS27A PSMD6 RPL39 RPL28 UBA52 RPSA RPL13 PSMC2 RPLP2 PSMA2 RPL6 PSMD13 RPS28 RPS11 RPL35A PSMB5 PSMB3 RPL23 RPL37 RPL10 PSMD1 RPL19 PSMD2 PSMA4 RPL27 PSMD8 RBX1 RPS15A RPL22 NCBP2 RPS24 PSMB1 RPL23A RPS19 RPS10 RPL38 RPS21 PSMA7 RPS3 RPL24 PSMA3 RPS5 RPL4 RPLP0
WP_OXIDATIVE_PHOSPHORYLATION	6.58271331197405e-21	8.59297268493843e-19	1.18665095279281	0.8330154293476	3.10026850284095	52	ATP5G1 NDUFA4 NDUFC1 ATP5G2 NDUFS5 ATP5J2 NDUFB8 ATP5J NDUFA5 MT-ND1 NDUFA11 NDUFC2 ATP5G3 ATP5K ATP5O NDUFB2 NDUFAB1 NDUFA2 NDUFV3 MT-ND2 NDUFS6 NDUFS8 MT-ND4L NDUFA8 NDUFA3 NDUFB10 NDUFB7 ATP5E NDUFB5 MT-ND3 NDUFA9 NDUFS3 ATP5B NDUFV2 ATP5H NDUFB4 ATP5D NDUFB6 NDUFS7 MT-ND4 NDUFS2 ATP5L ATP5A1 MT-ATP6 NDUFA7 NDUFB9
