"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","WP_NRF2_PATHWAY",5.405200009059e-08,3.70163007516937e-06,0.719512826338911,0.700384683953967,2.26182293628829,68,"SLC7A11 FTH1 TXN1 FTL1 SQSTM1 TXNRD1 BLVRB HSPA1A GCLM GSR HMOX1 PRDX1 SRXN1 MAFF NFE2L2 GSTM1 MAFG HSP90AA1 SLC2A1 PRDX6 ABCC5 NQO1 PGD SLC6A13 SLC2A3"
"2","WP_PHOTODYNAMIC_THERAPYINDUCED_HIF1_SURVIVAL_SIGNALING",1.92024111917993e-07,1.19174964459104e-05,0.690132458796796,0.831387146766786,2.25013919022849,29,"BNIP3 MCL1 PTGS2 LDHA BNIP3L PGK1 NOS2 BCL2A1A BAX PKM VEGFA SLC2A1 PFKL EGLN1 HK1 SLC2A3"
"3","REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES",1.92043943006732e-06,0.000103080884003073,0.627256739718528,0.831098913202347,2.23733432041162,26,"ATP6V1E1 ATP6V0C NOS2 ATP6V1A ATP6V1G1 ATP6V0E SLC11A1 NCF4 ATP6V1C1 RAC2 ATP6V1F ATP6V0D1 CYBB ATP6V1D ATP6V0B HVCN1 CYBA NCF1 ATP6V1B2"
"4","REACTOME_GLYCOLYSIS",1.48967661195559e-06,8.21804930928834e-05,0.643551836150722,0.71608757302702,2.22330891676745,50,"TPI1 ALDOA PGAM1 PGK1 PFKP GAPDH PKM ENO1 PFKFB3 HK2 PFKL GPI1 HK1 HK3 GNPDA1 PGP"
"5","PID_HIF1_TFPATHWAY",4.31540206585878e-06,0.000225536539547251,0.610526878385931,0.69175511029799,2.15705918317376,53,"BNIP3 ALDOA MCL1 PLIN2 LDHA EGLN3 PGK1 BHLHE40 NOS2 HMOX1 PKM FURIN ENO1 PFKFB3 VEGFA SLC2A1 HK2 PFKL TFRC CITED2 EGLN1 PGM1 HK1 ID2 NDRG1 CXCR4"
"6","WP_CORI_CYCLE",6.49643968219325e-08,4.30064306961193e-06,0.704975715167238,0.944142791676877,2.11688208675275,12,"TPI1 ALDOA LDHA PGAM1 PGK1 PFKP GAPDH TALDO1 SLC2A1 GPI1 HK1"
"7","BIOCARTA_P53HYPOXIA_PATHWAY",1.13884057398165e-05,0.000525985437192454,0.593325476396405,0.861331908073506,2.11572420210021,18,"CDKN1A GADD45A HSPA1A NFKBIB BAX MDM2 HSP90AA1 NQO1"
"8","WP_PHOTODYNAMIC_THERAPYINDUCED_NFKB_SURVIVAL_SIGNALING",2.30275989256359e-05,0.0010162846992514,0.575610261071129,0.792414538959414,2.11222936100078,25,"TNF PTGS2 IL1A IL1B BCL2A1A CFLAR ICAM1 VEGFA CXCL1 NFKB2 BIRC3 RELB REL"
"9","BIOCARTA_IL1R_PATHWAY",2.69408492801621e-05,0.00116278457687929,0.575610261071129,0.791158965677713,2.10888255371734,25,"IL1RN NFKBIA TNF IRAK3 IL1A IL1B IRAK2"
"10","WP_NUCLEAR_RECEPTORS_METAPATHWAY",7.4163155566001e-10,6.13700112308658e-08,0.801215574617779,0.583915596360134,2.10538093765169,164,"GADD45B SLC7A11 TNF FTH1 TXN1 FTL1 SQSTM1 TXNRD1 TNFAIP3 PTGS2 BLVRB SRGN HSPA1A GCLM IL1B BHLHE40 BAX CPEB4 GSR HMOX1 PRDX1 SRXN1 MAFF PLK2 NFE2L2 GSTM1 ALAS1 MAFG HSP90AA1 AKAP13 SLC2A1 NFKB2 PRDX6 JUNB ABCC5 NQO1 PGD IL12A PTGES3 SLC6A13 STOM ARL5B BIRC3 PDE4B SLC2A3"
"11","WP_SIGNAL_TRANSDUCTION_THROUGH_IL1R",3.40742657073701e-05,0.00138105085091504,0.557332238758646,0.777783878135672,2.10382917664375,27,"IL1RN NFKBIA TNF IRAK3 IL1A IL1B IRAK2"
"12","KEGG_GLYCOLYSIS_GLUCONEOGENESIS",3.65081418293251e-05,0.00145010339346079,0.557332238758646,0.72981326654865,2.08547773104607,36,"TPI1 ALDOA LDHA PGAM1 PGK1 PFKP GAPDH PKM ENO1 HK2 PFKL GPI1 PGM1 HK1 HK3"
"13","WP_MIRNAS_INVOLVEMENT_IN_THE_IMMUNE_RESPONSE_IN_SEPSIS",3.14757636714611e-05,0.0013023097219067,0.557332238758646,0.73957660865093,2.07541466502408,34,"LCN2 CCL3 CCL4 NFKBIA TNF IL1A ICAM1 NFKB2 IL10 RELB REL IKBKG TRAF3"
"14","BIOCARTA_NFKB_PATHWAY",4.45313240533889e-05,0.00170075403019289,0.557332238758646,0.813536068353823,2.06375963345793,20,"NFKBIA TNF TNFAIP3 TNFRSF1B IL1A IKBKG"
