pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.0589193152002356	0.304416461867884	0.321775918075361	0.428430629587506	1.50046874902221	17	FABP4 TKT CD36 NABP1 SCARB1 SCP2 BCL6 PPARG CMPK1 IFNGR1 ACAA2 UCP2 LIPE UQCRC1
HALLMARK_UV_RESPONSE_DN	0.0579150579150579	0.304416461867884	0.261663521711573	0.41906311321478	1.4676614177939	17	NFKB1 RBPMS TGFBR3 ADD3 NOTCH2 ZMIZ1 FYN PPARG GRK5 CDKN1B LDLR
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.117764471057884	0.405633178088268	0.183023938384487	0.362870710233168	1.33107808356847	20	KLF4 UNC119 HES1 CBFA2T3 RARA SCARB1 TGM2 XBP1 ADD3
HALLMARK_APICAL_JUNCTION	0.287644787644788	0.59171322160149	0.109250039480711	0.327878466660907	1.14831050519353	17	RRAS PTPRC FYB MSN ITGB1 ATP1A3 ZYX EVL CNN2 PTEN MYL12B ARPC2 ACTN4
HALLMARK_G2M_CHECKPOINT	0.305400372439479	0.59171322160149	0.103197466945307	0.391361256544503	1.13664752067992	10	SLC12A2 FOXN3 NOTCH2 CDKN1B CKS2 SMC1A JPT1 E2F2 TGFB1 HSPA8
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.41340782122905	0.640782122905028	0.0855356947987884	0.362565445026178	1.05301459273691	10	NOD1 PRKCB CDKN1B YWHAB RIPK1 ACTR3 PTEN CXCR4 VAV3 ACACA
HALLMARK_ESTROGEN_RESPONSE_LATE	0.390423572744015	0.637006881845498	0.0880945010398517	0.326956288557185	1.04362920484726	13	KLF4 PTPN6 SCARB1 XBP1 ADD3 CD44 ALDH3B1 BCL2 ELOVL5
HALLMARK_MITOTIC_SPINDLE	0.889305816135084	0.950637251730607	0.0481183992657975	0.182526537067557	0.629062075415061	16	FLNA NOTCH2 SPTAN1 CCDC88A NEDD9 NIN CAPZB
HALLMARK_HEME_METABOLISM	0.991471215351812	0.991471215351812	0.0489954089862481	-0.135201684097087	-0.451664118860889	16	SLC7A11 GDE1 SMOX HEBP1 ATP6V0A1 TENT5C
HALLMARK_XENOBIOTIC_METABOLISM	0.93681917211329	0.9680464778504	0.0525898950623616	-0.18082086788616	-0.559162869100014	13	NINJ1 TMEM176B SMOX ARG2
