"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","HALLMARK_INFLAMMATORY_RESPONSE",0.00560159882316324,0.0392111917621426,0.407017918923954,0.389462301654247,1.72736040638386,35,"RGS1 IFITM1 CSF1 OSM IL6 IL18R1 GPR183 CD69 IL18RAP AQP9 IL7R SELL KLF6 PTPRE KCNJ2"
"2","HALLMARK_DNA_REPAIR",0.0610859728506787,0.267251131221719,0.276500599254472,0.478893897168279,1.57424259304513,13,"MPC2 NT5C3 RFC2 STX3 GPX4 GTF2B XPC POLR2I TAF13"
"3","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0347302216467358,0.202592959605959,0.321775918075361,0.32126525892612,1.48695527243337,39,"CCL4 CSF1 IER2 FOSB EGR1 IL6 FOS GPR183 CD69 IL7R JUNB KLF6 IER3 ZFP36 PTPRE TNFAIP8 PNRC1 SLC2A3 DUSP5 JUN"
"4","HALLMARK_APOPTOSIS",0.364928909952607,0.510610079575597,0.107140237276725,0.251523665101649,1.06877898329301,30,"HGF IL6 ANXA1 ADD1 CD69 SATB1 TXNIP CASP3 IER3 DNAJA1 NEDD9 F2R JUN GPX4"
"5","HALLMARK_IL2_STAT5_SIGNALING",0.379310344827586,0.510610079575597,0.107140237276725,0.242992955594002,1.05741579752637,33,"CSF1 IL18R1 IGF1R IKZF2 SELL IL1RL1 KLF6 CASP3 CST7 ARL4A LTB IL3RA SLC2A3 FURIN GPX4 MXD1"
"6","HALLMARK_ESTROGEN_RESPONSE_LATE",0.397228637413395,0.514926011461808,0.10027910675413,0.350138164817878,1.05593813938489,11,"CDH1 FOS ZFP36 ADD3"
"7","HALLMARK_UV_RESPONSE_DN",0.688221709006928,0.752742494226328,0.070113215764256,0.274708162302807,0.828458177150579,11,"ID1 IGF1R ADD3 SYNE1 MAPK14"
"8","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.855203619909502,0.855203619909502,0.0585937568945671,0.207673328959173,0.682673556335015,13,"IGF1R FOS ADD3 CBFA2T3 GAB2 UGCG"
"9","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.854166666666667,0.855203619909502,0.0597317976364411,0.229584450826021,0.674578416342245,10,"IL4 DAPP1 RPS6KA3"
"10","HALLMARK_APICAL_JUNCTION",0.813445378151261,0.855203619909502,0.0471642455670861,-0.206029741429846,-0.719695892646965,19,"TGFBI EPB41L2 SIRPA YWHAH"
"11","HALLMARK_P53_PATHWAY",0.663747810858144,0.749392689678549,0.0584693210386381,-0.223155443525581,-0.848454558519476,27,"IFI30 CD81 HMOX1 APP"
"12","HALLMARK_GLYCOLYSIS",0.605172413793104,0.706034482758621,0.0621124188949471,-0.241339413959807,-0.898093809927693,24,"TGFBI MIF AKR1A1 PGK1 FAM162A P4HA1 MERTK"
"13","HALLMARK_HEME_METABOLISM",0.524390243902439,0.632884777123633,0.0696133438850965,-0.25928112304864,-0.94744985631491,23,"CTSB BSG LAMP2 SDCBP C3 NUDT4 LMO2 SMOX MPP1 SEC14L1 SLC25A37 HEBP1 LPIN2"
"14","HALLMARK_MYC_TARGETS_V1",0.493243243243243,0.616554054054054,0.0711327399327894,-0.274847870182556,-0.973211554062946,20,"PGK1 CANX HSPE1 PSMC6 PSMA2 SSBP1 PRDX4 ERH PSMB3 PSMA1 RPS6 RPS10 SF3B3 RPS5 MYC RPS3 HNRNPA2B1 SRPK1 RPL34 AP3S1"
"15","HALLMARK_ADIPOGENESIS",0.348275862068966,0.507902298850575,0.0908241419007155,-0.293968659469993,-1.09394246489184,24,"APOE LTC4S UQCRQ ABCA1 CD302 IFNGR1 NDUFB7 C3"
"16","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.331531531531532,0.504504504504505,0.096240602328129,-0.3740923088318,-1.11107416300299,12,"SOD2 FTL1 PRDX1 SELENOS TXNRD1 HMOX2 PRDX4"
"17","HALLMARK_HYPOXIA",0.256711409395973,0.417146144994246,0.107554375265169,-0.285206701890394,-1.1565865987101,33,"TGFBI MIF HMOX1 MT1 TPD52 GAPDH HEXA PRDX5 PGK1"
"18","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.262206148282098,0.417146144994246,0.11101149245045,-0.355061850678894,-1.16633690147714,16,"IFI30 ISG15 BST2 B2M"
"19","HALLMARK_FATTY_ACID_METABOLISM",0.235714285714286,0.4125,0.117249716749792,-0.393326835567844,-1.20749547745592,13,"MIF LTC4S YWHAH HPGD ERP29"
"20","HALLMARK_ANDROGEN_RESPONSE",0.228980322003578,0.4125,0.119348440591015,-0.391781686034747,-1.23018172810348,14,"B2M TPD52 MAF PMEPA1 HPGD MERTK"
"21","HALLMARK_UV_RESPONSE_UP",0.190394511149228,0.370211549456832,0.129442887745046,-0.347291408744192,-1.24520033803368,21,"CTSL SOD2 HMOX1 RHOB BSG LYN"
"22","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.134408602150538,0.294018817204301,0.160801401070022,-0.401478562920365,-1.34146060755097,17,"ATP6V0C UQCRQ CYCS NDUFC1 ATP6AP1 TIMM13 NDUFB7"
"23","HALLMARK_MITOTIC_SPINDLE",0.144144144144144,0.296767355590885,0.155241966228839,-0.452555948077722,-1.34411536765531,12,"MARCKS EPB41L2 ARHGAP5 BIN1 CD2AP OPHN1 DOCK4"
"24","HALLMARK_MYOGENESIS",0.122302158273381,0.294018817204301,0.169570644405628,-0.42163845795078,-1.35690357459178,15,"SPARC MEF2C CKB ITGB5 APP BIN1 ATP6AP1 PPFIA4 PLXNB2"
"25","HALLMARK_ALLOGRAFT_REJECTION",0.10797342192691,0.294018817204301,0.173747838999571,-0.333017104892522,-1.36767842051917,34,"CTSS LY86 B2M TPD52 CCR5 IRF8 LYN NCF4 FCGR2B H2-DMA HIF1A H2-DMB1 IFNGR1"
"26","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.12020905923345,0.294018817204301,0.16823816568964,-0.375147821249808,-1.37084314184069,23,"CXCL2 CD14 HMOX1 CSF3R TNFRSF1B IFNGR1 PTPN1 IL10RB SOCS3 CBL TLR2 TNFRSF1A IFNAR1"
"27","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0935374149659864,0.294018817204301,0.190023305279108,-0.331591336009472,-1.38312796545261,37,"IFI30 SOD2 ISG15 BST2 B2M FCGR1 IRF8 CFH H2-DMA PARP14 HIF1A PTPN1 SOCS3 EPSTI1 XAF1 PSMA2 CASP4 LAP3"
"28","HALLMARK_PEROXISOME",0.130052724077329,0.294018817204301,0.161978948883402,-0.474395300615192,-1.38890491141634,11,"SOD2 PRDX1 PRDX5 YWHAH"
"29","HALLMARK_XENOBIOTIC_METABOLISM",0.0922242314647378,0.294018817204301,0.197822021315103,-0.431661361416022,-1.41795738911045,16,"APOE HMOX1 TMEM176B IRF8 COMT TNFRSF1A NMT1 NPC1 SMOX PROS1"
"30","HALLMARK_KRAS_SIGNALING_UP",0.0609756097560976,0.267251131221719,0.241339976815091,-0.436654016824491,-1.49024000432229,18,"CTSS MAFB TMEM176B TMEM176A IRF8 CFH TNFRSF1B CLEC4A3 LAPTM5 CBL"
"31","HALLMARK_PROTEIN_SECRETION",0.0732142857142857,0.284722222222222,0.222056046145248,-0.488670871300181,-1.50019732624533,13,"CTSC TPD52 ABCA1 CLTA LAMP2 CLTC PPT1"
"32","HALLMARK_MTORC1_SIGNALING",0.00212979227272635,0.0186356823863555,0.431707695803346,-0.485965938819392,-1.93392605220528,31,"LGMN IFI30 CTSC GAPDH PRDX1 CALR PGK1 FKBP2 CANX SDF2L1 HSPE1 P4HA1 TXNRD1 NUPR1 SKAP2 PSMC6 NMT1 SLA BHLHE40 PSMB5"
"33","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0010232214764646,0.0119375838920871,0.45505986738723,-0.669366208103371,-2.05492378337157,13,"CXCL2 SPARC TGFBI BASP1 RHOB ITGB5 PMEPA1 LRP1"
"34","HALLMARK_COAGULATION",0.000585915838947288,0.0102535271815775,0.477270815362862,-0.569188835520127,-2.11811639662683,24,"C1QA CTSB LGMN CTSL SPARC CTSH APOC2 CFH LRP1 LAMP2"
"35","HALLMARK_COMPLEMENT",3.87144356069989e-07,1.35500524624496e-05,0.674962860011025,-0.641169876454863,-2.57523740049856,32,"C1QA CTSS C1QC CXCL2 CTSB LGMN CTSL CTSH MSRB1 GNGT2 TIMP2 CTSC LYN CFH LRP1 LAMP2"
