pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOBP_RESPONSE_TO_TYPE_I_INTERFERON	5.76878839864537e-10	4.66447747661897e-08	0.801215574617779	0.743393419171279	2.21673147945688	38	IFIT1 RSAD2 IFIT3 GBP2 ISG15 IFIT2 ZBP1 ISG20 XAF1 IFITM3 IRF7 USP18 PSMB8 OASL1 BST2 OAS3 STAT1 IRF1 H2-T23 STAT2 SP100 SAMHD1 H2-Q4 H2-K1 H2-Q7 H2-T22 IFI35 IFIT1BL1 OAS1A
GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY	4.5793124465027e-12	5.18378168944106e-10	0.887074988399873	0.654262466363084	2.07695924059144	91	CXCL10 RSAD2 IFIT3 GBP2 ISG15 IFIT2 ZBP1 ISG20 XAF1 IFITM3 PARP14 IRF7 USP18 IRGM1 PSMB8 TRIM30A OASL1 BST2 IL18BP OAS3 STAT1 IRF1 CCL5 H2-T23 PSMB9 CD74 PSME2 PSME1 B2M STAT2 H2-AB1 H2-EB1 SP100 PSMB10 SAMHD1 H2-Q4 SPPL2A SOCS1 NMI H2-K1 IRGM2 H2-Q7 TRIM12C H2-T22 IFI35 IFIT1BL1 TRIM30D OAS1A CASP4 IRF2 CCL4 PSMA5 TRIM34A FCGR1 OAS2 IL15RA
GOBP_RESPONSE_TO_VIRUS	1.37882414133231e-09	9.75518079992612e-08	0.788186810800237	0.663220326725347	2.07350803772542	67	CXCL10 IFIT1 RSAD2 IFIT3 GBP2 ISG15 IFIT2 ZBP1 ISG20 IFITM3 HERC6 IRF7 IRGM1 TRIM30A DDX60 OASL1 BST2 RTP4 OAS3 STAT1 IRF1 CCL5 DDX58 DTX3L SLFN8 STAT2 SAMHD1 NMI IRGM2 IFIH1 TRIM12C IFIT1BL1 TRIM30D FGL2 OAS1A EIF2AK2 NPC2 APOBEC3 IRF2 NT5C3 CCL4 TRIM34A ZC3HAV1 OAS2
GOBP_DEFENSE_RESPONSE_TO_VIRUS	8.50256570323968e-09	5.34716909781517e-07	0.747739663149885	0.660678696076454	2.04281539910808	58	CXCL10 IFIT1 RSAD2 IFIT3 GBP2 ISG15 IFIT2 ZBP1 ISG20 IFITM3 HERC6 IRF7 TRIM30A DDX60 OASL1 BST2 RTP4 OAS3 STAT1 IRF1 DDX58 DTX3L SLFN8 STAT2 SAMHD1 IFIH1 TRIM12C IFIT1BL1 TRIM30D FGL2 OAS1A EIF2AK2 APOBEC3 IRF2 NT5C3 TRIM34A ZC3HAV1 OAS2
GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM	1.39342969042839e-13	3.94340602391234e-11	0.943632225232838	0.626683184154909	2.02088250592268	136	CXCL10 IFIT1 RSAD2 IFIT3 GBP2 ISG15 IFIT2 GBP5 PLAC8 ZBP1 ISG20 XAF1 IFITM3 PARP14 HERC6 IRF7 USP18 IRGM1 PSMB8 TRIM30A DDX60 OASL1 GBP7 BST2 RTP4 OAS3 STAT1 IRF1 CCL5 H2-T23 GBP3 DDX58 PSMB9 CD74 PSME2 DTX3L TRAFD1 PSME1 CLEC2D SLFN8 B2M STAT2 H2-AB1 H2-EB1 SP100 PSMB10 SAMHD1 H2-Q4 SOCS1 NMI H2-K1 IRGM2 H2-Q7 IFIH1 TRIM12C H2-T22 SLAMF7 IFI35 CYBB IFIT1BL1 TRIM30D FGL2 OAS1A CASP4 EIF2AK2 APOBEC3 IRF2 NT5C3 CCL4 PSMA5 TRIM34A FCGR1 ZC3HAV1 OAS2
GOBP_RESPONSE_TO_BIOTIC_STIMULUS	5.57911334761112e-14	3.1577781547479e-11	0.965327754226083	0.62412737717231	2.0196536303526	146	CXCL10 IFIT1 RSAD2 IFIT3 GBP2 ISG15 IFIT2 GBP5 PLAC8 ZBP1 ISG20 XAF1 IFITM3 PARP14 HERC6 IRF7 USP18 IRGM1 PSMB8 TRIM30A DDX60 OASL1 GBP7 BST2 RTP4 OAS3 STAT1 IRF1 CCL5 H2-T23 GBP3 DDX58 PSMB9 CD74 PSME2 DTX3L CMPK2 TRAFD1 PSME1 CLEC2D SLFN8 B2M STAT2 CD274 H2-AB1 H2-EB1 SP100 PSMB10 SAMHD1 H2-Q4 SOCS1 NMI H2-K1 IRGM2 H2-Q7 IFIH1 TRIM12C H2-T22 SLAMF7 IFI35 CYBB IFIT1BL1 TRIM30D FGL2 OAS1A CASP4 EIF2AK2 TSPO NPC2 APOBEC3 IRF2 NT5C3 CCL4 PSMA5 TRIM34A FCGR1 ZC3HAV1 OAS2
GOBP_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY	1.0869198359317e-06	4.39426162240959e-05	0.643551836150722	0.676996890930438	2.01247683942737	36	GBP2 PARP14 IRF7 IRGM1 TRIM30A OASL1 OAS3 STAT1 IRF1 H2-T23 B2M H2-AB1 H2-EB1 SP100 H2-Q4 SOCS1 NMI H2-K1 IRGM2 H2-Q7 TRIM12C H2-T22 TRIM30D OAS1A IRF2 TRIM34A FCGR1 OAS2 H2-D1
GOBP_INNATE_IMMUNE_RESPONSE	1.33837956732377e-12	2.52507611701751e-10	0.910119734774459	0.624961351374811	2.00757795402026	120	IFIT1 RSAD2 IFIT3 GBP2 ISG15 IFIT2 GBP5 ZBP1 ISG20 XAF1 IFITM3 PARP14 HERC6 IRF7 USP18 IRGM1 PSMB8 TRIM30A DDX60 OASL1 GBP7 BST2 OAS3 STAT1 IRF1 CCL5 H2-T23 GBP3 DDX58 PSMB9 CD74 PSME2 DTX3L TRAFD1 PSME1 CLEC2D B2M STAT2 H2-AB1 H2-EB1 SP100 PSMB10 SAMHD1 H2-Q4 SOCS1 NMI H2-K1 IRGM2 H2-Q7 IFIH1 TRIM12C H2-T22 SLAMF7 IFI35 CYBB IFIT1BL1 TRIM30D OAS1A CASP4 EIF2AK2 APOBEC3 IRF2 CCL4 PSMA5 TRIM34A FCGR1 ZC3HAV1 OAS2
GOBP_RESPONSE_TO_CYTOKINE	1.65310423611723e-11	1.55942832940392e-09	0.863415391606693	0.619526725415531	1.99181530961972	115	CXCL10 IFIT1 RSAD2 IFIT3 GBP2 ISG15 IFIT2 GBP5 ZBP1 ISG20 XAF1 IFITM3 PARP14 IRF7 USP18 IRGM1 PSMB8 TRIM30A OASL1 GBP7 BST2 IL18BP OAS3 STAT1 IRF1 CCL5 H2-T23 GBP3 DDX58 PSMB9 CD74 PSME2 PSME1 B2M STAT2 CD274 H2-AB1 H2-EB1 SP100 PSMB10 SAMHD1 H2-Q4 SPPL2A SOCS1 NMI H2-K1 IRGM2 H2-Q7 IFIH1 TRIM12C H2-T22 IFI35 IFIT1BL1 TRIM30D OAS1A CASP4 EIF2AK2 IRF2 CCL4 PSMA5 TRIM34A FCGR1 OAS2 IL15RA
GOBP_DEFENSE_RESPONSE	2.83859341061187e-12	4.0166096760158e-10	0.898671232061694	0.599587174907302	1.9401257029015	150	CXCL10 IFIT1 RSAD2 IFIT3 GBP2 ISG15 IFIT2 GBP5 PLAC8 ZBP1 ISG20 XAF1 IFITM3 PARP14 HERC6 IRF7 USP18 IRGM1 PSMB8 TRIM30A DDX60 OASL1 GBP7 BST2 RTP4 OAS3 STAT1 IRF1 CCL5 H2-T23 GBP3 DDX58 PSMB9 CD74 PSME2 DTX3L TRAFD1 PSME1 CLEC2D SLFN8 B2M STAT2 H2-AB1 H2-EB1 SP100 PSMB10 SP140 SAMHD1 H2-Q4 SOCS1 TAP1 NMI H2-K1 IRGM2 H2-Q7 IFIH1 TRIM12C H2-T22 SLAMF7 IFI35 CYBB IFIT1BL1 TRIM30D FGL2 OAS1A CASP4 EIF2AK2 APOBEC3 IRF2 NT5C3 CCL4 PSMA5 TRIM34A FCGR1 ZC3HAV1 OAS2
