"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA",0.000206901432890571,0.00680099225977718,0.518848077743792,0.49472491705566,2.0114379837224,47,"UCP2 COX6C NDUFA8 NDUFB7 SLC25A5 ATP5L NDUFS5 ATP5E COX6B1 ATP5C1 ATP5J COX6A1 UQCR11 ATP5H NDUFB8 NDUFA3 NDUFS6 NDUFB4 NDUFA4 COX7B MT-CO1 NDUFS7 COX5B ATP5J2 ATP5G3"
"2","REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS",0.00020476946467385,0.00680099225977718,0.518848077743792,0.473399099591132,1.95146267717026,52,"UCP2 NDUFB11 COX6C NDUFA8 NDUFB7 ATP5L NDUFS5 ATP5E COX6B1 ATP5C1 ATP5J COX6A1 UQCR11 ATP5H NDUFB8 NDUFA3 NDUFS6 NDUFA13 NDUFB4 NDUFA4 COX7B ETFB MT-CO1 NDUFS7 COX5B ATP5J2 ATP5G3 UQCRB COQ10B NDUFA11 SDHB UQCRH NDUFB5 NDUFB3"
"3","REACTOME_EPH_EPHRIN_SIGNALING",0.00211062923910764,0.0333792105592208,0.431707695803346,0.570501896320524,1.92772205598239,22,"MMP9 ACTB MYH9 ARPC1B ARPC2 ACTG1 MYL6 ARPC5 LYN PAK2 ACTR3 AP2S1 MYL12B ARPC4 ADAM10"
"4","WP_OXIDATIVE_PHOSPHORYLATION",0.00268721553795871,0.0417251285348497,0.431707695803346,0.552571222757811,1.88894932041872,23,"NDUFA8 NDUFB7 ATP5L NDUFS5 ATP5E ATP5J ATP5H NDUFB8 NDUFA3 NDUFS6 NDUFB4 NDUFA4 NDUFS7 ATP5J2 ATP5G3"
"5","REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL",0.00479674240536035,0.0553570001915911,0.407017918923954,0.479880402976345,1.83509848424718,35,"IFITM1 PILRA H2-Q10 CD300LD PIRB CD33 SELL HCST SIGLECF JAML TYROBP CD300LF PILRB2 ITGA4 CD300LB SIGLECE FCGR4"
"6","REACTOME_PARASITE_INFECTION",0.00608645710027717,0.0641707946127989,0.407017918923954,0.539990069214221,1.82462279818765,22,"ACTB MYH9 ARPC1B FGR WIPF1 ARPC2 ACTG1 WAS FCGR4 ARPC5 LYN BRK1 ACTR3 ARPC4 GRB2 ARPC3 CDC42 MAPK1"
"7","REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING",0.00760297828350821,0.0733132099744549,0.407017918923954,0.554243756461603,1.797022284819,19,"MMP9 FOS GNG10 GNGT2 GNAI2 CDKN1B GNG2"
"8","PID_IL6_7_PATHWAY",0.0069659589642689,0.0708205828034005,0.407017918923954,0.562676634964967,1.78889348603432,17,"CEBPD FOS SOCS3 IL6RA JUNB STAT3"
"9","REACTOME_ANTIMICROBIAL_PEPTIDES",0.00971806945275665,0.082170607055982,0.380730400722792,0.6412909966784,1.77229561024098,11,"CAMP PGLYRP1 S100A9 LTF S100A8"
"10","REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES",0.00935731103918656,0.0816541538055673,0.380730400722792,0.550261205142872,1.74942164705091,17,"ACTB ARPC1B WIPF1 ARPC2 ACTG1 WAS ARPC5 BRK1 ACTR3 ARPC4 GRB2 ARPC3 CDC42 MAPK1"
