"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","HALLMARK_APICAL_JUNCTION",0.0212153947849953,0.0511665403638122,0.352487857583619,0.40362379432366,1.56408081488849,37,"MMP9 TGFBI ACTB ZYX PFN1 MYH9 PTPRC CNN2 ACTN1 RAC2 GNAI2 ARPC2 ACTG1 RSU1 CAP1 PTEN SKAP2 MAPK13 SIRPA ATP1A3 YWHAH MYL12B"
"2","HALLMARK_G2M_CHECKPOINT",0.100208768267223,0.195645690426484,0.204294756516886,0.361503212504354,1.3392507739856,30,"LMNB1 LBR HMGN2 CDKN1B TMPO MARCKS ARID4A ATRX JPT1 NOTCH2 BUB3 HNRNPU PRPF4B YTHDC1 KIF23"
"3","HALLMARK_ESTROGEN_RESPONSE_LATE",0.121848739495798,0.208158263305322,0.184706471207739,0.330027735109164,1.27888904500862,37,"FOS S100A9 LTF TSPAN13 ZFP36 XBP1 PTPN6 COX6C"
"4","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.118303571428571,0.208158263305322,0.193813302725311,0.285784666154156,1.2658907842595,73,"MPC1 COX6C NDUFA8 NDUFB7 MDH2 SLC25A5 ATP5L ISCU GPX4 ATP5E COX6B1 ATP5C1 ATP5J COX6A1 UQCR11 ATP5H NDUFB8 NDUFA3 NDUFS6 GLUD1 NDUFB4 NDUFA4 COX7B ETFB NDUFS7 MRPS15 SLC25A11 COX5B ATP5J2 ATP5G3"
"5","HALLMARK_ALLOGRAFT_REJECTION",0.136042402826855,0.223109540636042,0.158514105424824,-0.299480444270217,-1.26921776856904,64,"CCL4 TNF GBP2 NOS2 ICAM1 NLRP3 IFNAR2 B2M FAS H2-Q7 CAPG INHBA TAPBP IL10 IRF7 LY75 H2-T23 IL12A PSMB10"
"6","HALLMARK_MYOGENESIS",0.12109375,0.208158263305322,0.178219874951973,-0.448144582881192,-1.37208971275169,19,"GADD45B IFRD1 CDKN1A ITGB1 SCHIP1 NQO1 BHLHE40 SIRT2"
"7","HALLMARK_HEME_METABOLISM",0.0692883895131086,0.142041198501873,0.234392647294686,-0.363067614489697,-1.40142663399632,45,"SLC7A11 BLVRB ACP5 GDE1 BSG CTSB C3 GCLM SLC25A37 TFRC SMOX RNF19A BNIP3L RIOK3"
"8","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0191622920638667,0.0491033734136585,0.352487857583619,-0.430961459383574,-1.58355244146363,36,"CXCL3 CXCL2 TNF CXCL10 HMOX1 TNFRSF1B CD14 FAS CXCL1 EBI3 CD9"
"9","HALLMARK_KRAS_SIGNALING_UP",0.0259151016532524,0.0590288426546305,0.352487857583619,-0.415815409758521,-1.58617670132755,42,"SPP1 CXCL10 SLPI TRAF1 TNFAIP3 TNFRSF1B PTGS2 PSMB8 FCER1G INHBA PPP1R15A ID2 ADAM17 HSD11B1 GPNMB LY96 G0S2"
"10","HALLMARK_PEROXISOME",0.0375867085888082,0.0811081606390072,0.321775918075361,-0.547572136420922,-1.5911820544363,16,"SOD2 PRDX1 PRDX5 ABCC5"
"11","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.0179589155380746,0.0490877024707373,0.352487857583619,-0.482524576712766,-1.60426879138655,26,"SOD2 PRDX1 FTL1 TXNRD1 GCLM SRXN1 ABCC1 TXN1 PFKP NQO1 HMOX2 PRDX6"
"12","HALLMARK_P53_PATHWAY",0.0159814878092246,0.0468029285841577,0.352487857583619,-0.400714261576422,-1.6650228599098,58,"HMOX1 SLC7A11 IL1A FAM162A CDKN1A ATF3 ABCC5 IER3 RALGDS NINJ1 BAX UPP1 SLC3A2 FAS PLK2 DDIT4 PPP1R15A NUPR1"
"13","HALLMARK_IL2_STAT5_SIGNALING",0.00712408834767638,0.0224682786349794,0.407017918923954,-0.397293728251579,-1.67513293193231,62,"GADD45B SPP1 CXCL10 CTSZ TRAF1 NFKBIZ TNFRSF1B MAPKAPK2 P4HA1 PLIN2 HK2 MAFF CAPG GBP3 IL10 MAP3K8 P2RX4 FURIN BATF BHLHE40 RNH1 SOCS1 IFITM3"
"14","HALLMARK_XENOBIOTIC_METABOLISM",0.00607882423081643,0.0207693161219561,0.407017918923954,-0.473113509512919,-1.73843863938605,36,"HMOX1 F10 BLVRB NINJ1 UPP1 PTGES FAS ID2 HSD11B1 NQO1 SMOX PSMB10 ACP2 NPC1 ETS2 POR PTGES3 PTGR1"
"15","HALLMARK_COMPLEMENT",0.00287495056521929,0.0107157248339992,0.431707695803346,-0.437497714280982,-1.78484844984927,55,"CXCL3 CXCL2 F10 TNFAIP3 EHD1 CTSB DOCK10 LGALS3 C3 CXCL1 MAFF CASP4 FCER1G OLR1 IRF7 PLEK HSPA5 F3 LIPA"
"16","HALLMARK_APOPTOSIS",0.00174621797099012,0.00715949368105951,0.45505986738723,-0.450524185305652,-1.81415988341754,52,"GADD45B SOD2 TNF HMOX1 SQSTM1 IL1A CDKN1A ATF3 BCL2L11 CD14 IER3 BAX CFLAR FAS ISG20 LGALS3 CASP4"
"17","HALLMARK_UV_RESPONSE_UP",0.00161432950365284,0.00715949368105951,0.45505986738723,-0.495246785568979,-1.89508782096666,43,"SOD2 NFKBIA HMOX1 SQSTM1 BSG CREG1 ATF3 ICAM1 BCL2L11 H2-Q7 ALDOA CXCL1 ATP6V1C1 TST NR4A1 FURIN TFRC EIF5 H2-T23"
"18","HALLMARK_GLYCOLYSIS",0.000132025920410899,0.000676632842105857,0.518848077743792,-0.553766692111532,-2.06426644045892,38,"TPI1 FAM162A MIF LDHA IER3 PGK1 P4HA1 ISG20 PGAM1 ALDOA HK2 EGLN3 TXN1 DDIT4 PFKP ZFP292 VEGFA HSPA5 AKR1A1 ENO1"
"19","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",3.4664146411567e-05,0.000203032857553464,0.557332238758646,-0.656666057155555,-2.18324394797534,26,"CXCL3 CXCL2 GADD45B SPP1 TNFAIP3 BASP1 THBS1 FAS ITGB1 CXCL1 CAPG INHBA ID2 VEGFA"
