pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA	5.78282095302683e-09	2.61263627384122e-07	0.761460801445585	0.530041345163044	2.27556276410315	98	JUN CX3CR1 TGFBR1 FOS ZFHX3 ZFP36L1 HPGD ZFP36L2 MEF2C PMEPA1 SMAD7 ROCK2 EP300 ZMIZ1 NR3C1 F11R SKIL SKI ITGB5 CFLAR ARRB2 CBL ZBTB7A LIMS1 CITED2 TGFBR2 TGFB1 UBC ENG CREB1 SMAD1 LDLRAD4 CREBBP RNF111 HSPA1A ZFP703 HIPK2 ADAM17 BCL9L TGFBRAP1 SMURF2 SPRED1 ROCK1 USP15 NRROS
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	3.25878682015632e-16	3.18274846101934e-14	1.03769615548758	0.422990292485315	2.20367464300729	435	JUN EGR1 JUND MAF FOS ZFHX3 MEF2A SOX4 NRIP1 MAFB SALL1 MEF2C POU2F2 JUNB IER5 SMAD7 FOSB TCF4 KLF6 EP300 ADRB2 PDGFB ZMIZ1 KLF4 ZEB2 FLI1 ZFP292 NR3C1 PIK3R1 CRLF3 ASH1L PPP3CA SKI RPS6KA1 OGT NIPBL ITGA6 HHEX HEXB BMPR2 AKIRIN2 IRF2 ZBTB18 BCLAF1 RUNX1 RREB1 UBE3A KMT2C MAML3 CEBPA PID1 KMT2A BPTF SENP2 LMO2 SFPQ ARID4A REL IRF8 NFIA AKNA NFAT5 CITED2 CREBRF BACH1 CEBPG PHIP ELF1 KAT6A CEBPZ DDX3X MAPK14 TCF7L2 TGFB1 UBC KLF7 MDM4 ZFP62 DDX17 TET3 ETS1 NFATC1 ENG LPIN2 CREB1 HLTF ELK3 AKAP8L CHD6 TLR3 CDK12 ABL1 SMAD1 MLXIPL TFE3 ZFP148 DMTF1 TBL1XR1 NCOA3 CREBBP NFKB1 ATRX RNF111 NFIX BRD4 TET2 CHD8 MYSM1 CCPG1 IRF2BPL LDB1 ASXL2 NLRP3 USF2 LPIN1 SIRT7 PPP1R12A IRF5 CHD7 TBK1 RSF1 NR2C2 ETV1 HIPK2 YY1 XBP1 IER2 MAFG SMO SP1 TMF1 BCL9L TBL1X KDM1A NCK1 SMARCA2 MAML2 ARHGEF2 CEBPD MEF2D MLLT10 GCN1 CDC5L RLF MEPCE CTBP2 CDK13 CREB3L2 PCBP1 FOXJ2 VEZF1 WASL ATF1 ARID3B GTF2I NFIC ZBTB38 MECP2 KLF13 SMAD4 SP3 RPS6KA3 PPP3CB NOTCH1 GMEB1 ETV6 WAS WBP2 ZFP715 KDM3A SLC11A1 BRD8 IKBKB POU2F1 CCNT2 CCNT1 PRDM2 TNFRSF1A THAP3 RPRD1B ATF4 ZFP451 ATAD2B TCF12 PKD1
GOBP_SMOOTH_MUSCLE_CONTRACTION	1.0964774644812e-05	0.000241554809844355	0.593325476396405	0.741961570572342	2.20020993374645	17	RGS2 DOCK4 ROCK2 ADRB2 PTAFR RAP1GDS1 SLC8A1 ATP2B1 TIFAB ROCK1 PIK3C2A
GOBP_HEART_DEVELOPMENT	1.01206023343864e-09	5.93067296795044e-08	0.788186810800237	0.470739622466253	2.19458057744275	162	TGFBR1 MEF2A RGS2 ZFP36L1 SOX4 DUSP6 SALL1 MEF2C SMAD7 ADAP2 ROCK2 EP300 PDGFB ZMIZ1 TAB2 SPARC NIPBL PTEN BMPR2 RUNX1 VGLL4 RB1CC1 ARRB2 SENP2 CITED2 SLC8A1 TGFBR2 MAPK14 ANK2 TGFB1 MDM4 SETD2 NFATC1 ENG CASP8 CREB1 PDCD4 BASP1 GRK2 TMEM100 SMAD1 TNFRSF1B RTN4 GALNT11 ADAMTS1 AKAP13 CDKN1B STK4 CHD7 TCF25 YY1 SMO JARID2 MEF2D SPRED1 ROCK1 MATR3 MAP2K1 DHRS3 NOTCH2 TAZ ARID2 SMAD4 KDM6A PPP3CB NOTCH1 NRP1 PAK1 PDLIM4 TRIP11 PSEN1 TNFRSF1A OXCT1 PKD1
GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	1.37735335584442e-05	0.000286215981037174	0.593325476396405	0.714582694248629	2.17449368025101	19	MEF2C ADRB2 PPP3CA ZMYND8 PTEN PPP1R9A ARRB2 GSK3B P2RX7 ADRB1 GABBR1 RAB3GAP1 PTK2B MECP2
GOBP_POSITIVE_REGULATION_OF_PRI_MIRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_II	9.5503973812946e-06	0.000220335939584198	0.593325476396405	0.745666774084204	2.17275133116542	16	JUN EGR1 FOS PDGFB KLF4 NR3C1 TGFB1 ETS1 SMAD1
GOBP_RESPONSE_TO_PURINE_CONTAINING_COMPOUND	1.74948404108584e-05	0.000353516430371139	0.575610261071129	0.597656821351079	2.15064390761942	38	JUN P2RY12 FOS ZFP36L1 FOSB SPARC P2RY6 ITPR2 PTAFR PTEN AKAP9 PIK3CG SLC8A1 P2RX7 DUSP1 EEF2K
GOBP_PRI_MIRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_II	7.15444717893246e-05	0.00113926794751479	0.538434096309916	0.679841370617816	2.12795965557176	21	JUN EGR1 FOS DDX5 PDGFB KLF4 NR3C1 TGFB1 ETS1 SMAD1
GOBP_RESPONSE_TO_ORGANOPHOSPHORUS	2.89704230104281e-05	0.000527225710686673	0.575610261071129	0.594388379874835	2.12511312149063	37	JUN P2RY12 FOS ZFP36L1 FOSB SPARC P2RY6 ITPR2 PTAFR PTEN AKAP9 PIK3CG SLC8A1 P2RX7 DUSP1 EEF2K
GOBP_CHEMICAL_SYNAPTIC_TRANSMISSION_POSTSYNAPTIC	2.1493907614059e-05	0.000406304189091566	0.575610261071129	0.727660947814059	2.1202852908953	16	MEF2C ADRB2 PPP3CA ZMYND8 PTEN PPP1R9A ARRB2 GSK3B P2RX7 RAB3GAP1 PTK2B MECP2
