"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",5.12011747217554e-35,1.633317473624e-31,1.53645895003215,0.82169855083209,3.61271067665925,91,"RPS2 RPS26 SEC61B RPL38 RPS17 RPL35 RPSA RPL27 RPS28 RPL31 RPS20 RPS19 RPL19 UBA52 RPS8 RPLP2 RPS18 RPL14 RPLP0 RPS15A RPS16 RPL8 RPL28 RPS23 RPL12 RPL36A RPL32 RPL39 RPS15 RPL23 RPS25 RPS5 RPL15 RPS24 RPL29 RPL18 RPS27A RPL13 RPL26 RPS6 RPS12 RPL24 RPL11 RPL22 RPS11 RPL5 RPS3 RPS10 RPL36 RPL37A RPL34 RPL27A RPL37 SRP9 RPL9 SRP14 RPL10A RPS7 RPL23A RPS21 RPS13 RPL13A RPL7A RPL35A RPS29 RPL10 SSR2 RPS14 RPL3 RPL7 RPS3A1 RPL18A RPL21 RPL30 RPL17 RPL6 ARL6IP1 RPLP1 RPL4"
"2","GOBP_OXIDATIVE_PHOSPHORYLATION",1.26727674799591e-33,2.02130641305348e-30,1.50926283727233,0.788120309813539,3.55475853613023,105,"UQCRQ NDUFC1 ATP5G1 UQCR10 ATP5J2 COX6C ATP5J ATP5K COX7A2 NDUFA4 COX6B1 COX5A NDUFS5 COX8A CHCHD2 UQCR11 CYCS ATP5E COX5B COX7B ATP5L NDUFA12 CDK1 NDUFV3 COX6A1 ATP5O NDUFB8 NDUFB2 ATP5G3 UQCC2 NDUFA3 CHCHD10 NDUFA11 NDUFA2 NDUFB7 UQCRB ATP5H COX7C NDUFB11 NDUFA5 COX4I1 NDUFS6 NDUFA7 NDUFA13 NDUFA1 PARK7 NDUFB6 ATP5D NDUFAB1 ATP5G2 NDUFB10 NDUFB9 NDUFA8 NDUFS8 UQCRH ATP5B CCNB1 NDUFV2 NDUFB5 NDUFB4 NDUFS7 NDUFB3 DNAJC15 NDUFC2 CYC1 ATP5C1 NDUFS3 NDUFS4 UQCRFS1 ATP5A1 NDUFV1 SDHC MT-ND1"
"3","GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM",3.08577686359556e-30,3.28120939828995e-27,1.43181244608859,0.783426905410791,3.47781638515479,98,"SEC61G RPS2 RPS26 SEC61B RPL38 RPS17 RPL35 RPSA RPL27 RPS28 RPL31 RPS20 RPS19 RPL19 UBA52 RPS8 RPLP2 RPS18 RPL14 RPLP0 RPS15A RPS16 RPL8 RPL28 RPS23 RPL12 RPL36A RPL32 RPL39 RPS15 RPL23 RPS25 RPS5 RPL15 RPS24 RPL29 RPL18 RPS27A RPL13 RPL26 RPS6 RPS12 RPL24 RPL11 RPL22 RPS11 RPL5 RPS3 RPS10 RPL36 CHMP4B RPL37A RPL34 RPL27A RPL37 SRP9 RPL9 SRP14 RPL10A RPS7 RPL23A RPS21 RPS13 RPL13A RPL7A RPL35A SPCS1 RPS29 RPL10 RPS14 RPL3 RPL7 RPS3A1 RPL18A RPL21 RPL30 RPL17 RPL6 RPLP1 RPL4"
"4","GOBP_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN",4.98437755247498e-28,3.18003287847904e-25,1.37274298193398,0.803165818016313,3.47594864715722,81,"UQCRQ NDUFC1 UQCR10 COX6C NDUFA4 COX6B1 COX5A NDUFS5 COX8A CHCHD2 UQCR11 CYCS COX5B COX7B NDUFA12 CDK1 NDUFV3 COX6A1 NDUFB8 NDUFB2 NDUFA3 NDUFA11 NDUFA2 NDUFB7 UQCRB COX7C NDUFB11 NDUFA5 COX4I1 NDUFS6 NDUFA7 NDUFA13 ETFB NDUFA1 PARK7 NDUFB6 NDUFAB1 NDUFB10 NDUFB9 NDUFA8 NDUFS8 UQCRH CCNB1 SDHB NDUFV2 NDUFB5 NDUFB4 NDUFS7 NDUFB3 DNAJC15 NDUFC2 CYC1 ETFA NDUFS3 NDUFS4 UQCRFS1 NDUFV1 SDHC MT-ND1"
"5","GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY",4.40627065402957e-29,3.51400084658859e-26,1.40258870935552,0.758089439276486,3.40745202885203,103,"RPS2 RPS26 RPL38 RPS17 RPL35 RPSA RPL27 RPS28 RPL31 RPS20 RPS19 RPL19 UBA52 RPS8 RPLP2 RPS18 RPL14 RPLP0 RPS15A RPS16 RPL8 RPL28 RPS23 RPL12 RPL36A RPL32 RPL39 RPS15 RPL23 RPS25 RPS5 RPL15 RPS24 RPL29 RPL18 RPS27A RPL13 RPL26 RPS6 RPS12 RPL24 RPL11 RPL22 RPS11 RPL5 RPS3 RPS10 RPL36 RPL37A RPL34 RPL27A RPL37 RPL9 RPL10A RPS7 RPL23A RPS21 RPS13 RPL13A RPL7A RPL35A RBM8A RPS29 RPL10 RPS14 RPL3 RPL7 RPS3A1 MAGOH RPL18A RPL21 RPL30 RPL17 RPL6 RPLP1 RPL4 ETF1 NCBP2"
"6","GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT",3.69139049795513e-25,1.17755356884769e-22,1.30309315086572,0.80328596951529,3.3972616097924,75,"UQCRQ NDUFC1 UQCR10 COX6C NDUFA4 COX6B1 COX5A NDUFS5 COX8A CHCHD2 UQCR11 CYCS COX5B COX7B NDUFA12 CDK1 NDUFV3 COX6A1 NDUFB8 NDUFB2 NDUFA3 NDUFA11 NDUFA2 NDUFB7 UQCRB COX7C NDUFB11 NDUFA5 COX4I1 NDUFS6 NDUFA7 NDUFA13 NDUFA1 PARK7 NDUFB6 NDUFAB1 NDUFB10 NDUFB9 NDUFA8 NDUFS8 UQCRH CCNB1 NDUFV2 NDUFB5 NDUFB4 NDUFS7 NDUFB3 DNAJC15 NDUFC2 CYC1 NDUFS3 NDUFS4 UQCRFS1 NDUFV1 SDHC MT-ND1"
"7","GOBP_ELECTRON_TRANSPORT_CHAIN",3.95492944750365e-27,1.80231784821952e-24,1.34992572002205,0.747216986054279,3.37819156434981,106,"UQCRQ NDUFC1 UQCR10 COX6C COX7A2 NDUFA4 COX6B1 COX5A NDUFS5 COX8A CHCHD2 UQCR11 CYCS COX5B COX7B NDUFA12 CDK1 NDUFV3 COX6A1 NDUFB8 NDUFB2 NDUFA3 NDUFA11 NDUFA2 NDUFB7 UQCRB COX7C NDUFB11 NDUFA5 COX4I1 NDUFS6 NDUFA7 NDUFA13 ETFB NDUFA1 AKR1A1 PARK7 NDUFB6 NDUFAB1 NDUFB10 NDUFB9 PHGDH NDUFA8 NDUFS8 UQCRH CCNB1 SDHB NDUFV2 NDUFB5 NDUFB4 GLRX NDUFS7 NDUFB3 AKR1B3 DNAJC15 NDUFC2 CYC1 ALDH2 FDX2 CYBB GLRX2 NDUFAF2 ETFA NDUFS3 NDUFS4 UQCRFS1 NDUFV1 SDHC MT-ND1 GSR CYBA QDPR SDHD NDUFA6 MT-ND4L MT-CO3 CYB5A AA467197 ADH5"
"8","GOBP_CELLULAR_RESPIRATION",2.03578738471196e-26,8.11770219653895e-24,1.33449749081658,0.74036158872108,3.36912938998415,109,"UQCRQ NDUFC1 UQCR10 COX6C NDUFA4 COX6B1 COX5A NDUFS5 COX8A CHCHD2 UQCR11 CYCS COX5B COX7B NDUFA12 CDK1 NDUFV3 COX6A1 NDUFB8 NDUFB2 NDUFA3 NDUFA11 NDUFA2 NDUFB7 UQCRB COX7C NDUFB11 NDUFA5 COX4I1 PRELID1 NDUFS6 NDUFA7 NDUFA13 ETFB NDUFA1 PARK7 NDUFB6 ATP5D NDUFAB1 NDUFB10 NDUFB9 NDUFA8 CISD1 NDUFS8 UQCRH CCNB1 MDH1 SDHB NDUFV2 NDUFB5 BLOC1S1 NDUFB4 NDUFS7 NDUFB3 DNAJC15 NDUFC2 CYC1 MDH2 ETFA NDUFS3 NDUFS4 UQCRFS1 HIF1A NDUFV1 SDHC MT-ND1 SDHD IDH3A NDUFA6 MT-ND4L SDHAF4 MT-CO3"
"9","GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM",1.25840691824818e-24,3.64938006291973e-22,1.28710367230144,0.716962063221999,3.26499461363408,112,"SEC61G RPS2 RPS26 SEC61B RPL38 RPS17 RPL35 RPSA RPL27 RPS28 RPL31 RPS20 RPS19 RPL19 UBA52 RPS8 RPLP2 RPS18 RPL14 RPLP0 RPS15A RPS16 RPL8 RPL28 RPS23 RPL12 RPL36A RPL32 RPL39 RPS15 RPL23 RPS25 RPS5 RPL15 RPS24 RPL29 RPL18 RPS27A RPL13 RPL26 RPS6 RPS12 RPL24 RPL11 RPL22 RPS11 RPL5 RPS3 RPS10 RPL36 CHMP4B RPL37A RPL34 RPL27A RPL37 SRP9 RPL9 SRP14 RPL10A RPS7 RPL23A RPS21 RPS13 RPL13A RPL7A RPL35A SPCS1 RPS29 RPL10 RPS14 RPL3 RPL7 RPS3A1 RPL18A RPL21 RPL30 RPL17 RPL6 RPLP1 RPL4"
"10","GOBP_ATP_METABOLIC_PROCESS",1.57230879877975e-27,8.359441780179e-25,1.36517960216169,0.64608359151332,3.13293264398855,177,"GAPDH PKM UQCRQ NDUFC1 ATP5G1 UQCR10 ALDOA ATP5J2 TSPO COX6C ATP5J ATP5K PGAM1 COX7A2 NDUFA4 TMSB4X LDHA COX6B1 COX5A NDUFS5 COX8A CHCHD2 UQCR11 PGK1 CYCS ATP5E COX5B COX7B ATP5L TPI1 NDUFA12 CDK1 NDUFV3 COX6A1 ATP5O ATPIF1 NDUFB8 NDUFB2 ATP5G3 UQCC2 NDUFA3 ENO1 CHCHD10 NDUFA11 NDUFA2 NDUFB7 UQCRB ATP5H COX7C NDUFB11 NDUFA5 COX4I1 NDUFS6 NDUFA7 NDUFA13 NDUFA1 FIS1 PARK7 NDUFB6 ATP5D NDUFAB1 ATP5G2 NDUFB10 NDUFB9 NDUFA8 IGF1 ATP6V0C NDUFS8 UQCRH ATP5B CCNB1 HSPA8 NDUFV2 NDUFB5 NDUFB4 NDUFS7 NDUFB3 GALK1 DNAJC15 NDUFC2 CYC1 ATP5C1"
