"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB",9.90561110286665e-07,8.08958240067443e-06,0.643551836150722,0.506764919163716,2.16589572257471,87,"JUN BTG2 EGR1 RHOB FOS BTG1 JUNB MARCKS IER5 PMEPA1 ZFP36 FOSB SGK1 KLF6 KLF4 GPR183 IL6ST PNRC1 SLC16A6 PTPRE CFLAR CCNL1 IL7R REL ABCA1 NFAT5 MCL1 DUSP1 ATP2B1 NFKB1 IFNGR2 TRIB1 B4GALT1 PPP1R15A SAT1 SNN"
"2","HALLMARK_TGF_BETA_SIGNALING",4.83847598656057e-05,0.000263428137046075,0.557332238758646,0.592421550745998,2.11758548743297,35,"TGFBR1 JUNB PMEPA1 SMAD7 SKIL SKI BMPR2 TGFB1 TJP1 ENG SMAD1 XIAP APC IFNGR2 PPP1R15A HIPK2 SMURF2 ARID4B"
"3","HALLMARK_KRAS_SIGNALING_DN",0.000683102294514716,0.00239085803080151,0.477270815362862,0.579229608873442,1.95004385781773,27,"BTG2 SGK1 SLC29A3 SKIL SELENOP CAMK1D MAST3 PTPRJ KLK8 SNN"
"4","HALLMARK_ANDROGEN_RESPONSE",0.00117054751827263,0.00337393108207993,0.45505986738723,0.489306052061063,1.84275075284281,45,"MAF HPGD MERTK PMEPA1 SGK1 ZMIZ1 SELENOP INPP4B SLC38A2 ITGAV PIAS1 ARID5B ADAMTS1 B4GALT1 SAT1 UBE2J1 LIFR PTK2B CDK6 RPS6KA3 SLC26A2 FKBP5 APPBP2"
"5","HALLMARK_UV_RESPONSE_DN",0.000765247486299133,0.00249980845524383,0.477270815362862,0.455427387807872,1.83561686583386,66,"SMAD7 CELF2 ZMIZ1 NR3C1 GCNT1 NIPBL PTEN RUNX1 INPP4B CITED2 ATP2C1 TGFBR2 MAPK14 PMP22 TJP1 YTHDC1 DUSP1 PHF3 ATP2B1 PRKCA NFKB1 ATRX NEK7 MGLL PIK3CD CDKN1B"
"6","HALLMARK_HEDGEHOG_SIGNALING",0.00312288153504211,0.00765105976085317,0.431707695803346,0.658211001839388,1.79618976351681,13,"ADGRG1 OPHN1 RTN1 CDK5R1 RASA1 LDB1 CDK6 NRP1 TLE3 NF1"
"7","HALLMARK_MITOTIC_SPINDLE",0.000386510464359756,0.00157825106280234,0.49849310876659,0.398691030900651,1.77454876979137,112,"ARHGAP5 EPB41L2 SSH2 MARCKS DOCK4 WASF2 RAPGEF5 OPHN1 TUBGCP5 FSCN1 CD2AP RAPGEF6 HOOK3 DST CLIP1 FGD4 MID1IP1 NUMA1 PREX1 ARAP3 RICTOR ABI1 ABL1 TRIO APC ARHGAP27 RALBP1 PAFAH1B1 RASA1 AKAP13 PCM1 NCK1 CCDC88A ARHGEF2 ROCK1 BIN1 NOTCH2 RAB3GAP1 WASL SUN2 ARHGEF12 DOCK2 MAP1S"
"8","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0618204862087377,0.100973460807605,0.321775918075361,0.370860274587915,1.44769420163925,54,"FOS NRIP1 NAV2 KLF4 RETREG1 IL6ST MED13L CBFA2T3 ELF1 OLFML3 B4GALT1 MLPH XBP1"
"9","HALLMARK_APICAL_SURFACE",0.0940594059405941,0.130282675622726,0.186432558434075,0.562497432172209,1.43142634303287,10,"RTN4RL1 LYN ADAM10 B4GALT1"
"10","HALLMARK_APICAL_JUNCTION",0.0472312703583062,0.0857160091687779,0.266350657088526,0.364077795756516,1.42650153664005,56,"EPB41L2 SIRPA FSCN1 PTPRC FYB PTEN YWHAH CD86 MAPK14 TJP1 SGCE ARHGEF6 SYK B4GALT1 RASA1 WASL ITGA9 TIAL1 EVL CTNND1 ITGB1 PKD1 PBX2 TAOK2 NF1 VAV2 ZYX JUP CD276 CDK8 PLCG1 VASP"
"11","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.0741989881956155,0.117282271664037,0.213927855492356,0.516115386439986,1.40842552209912,13,"NUMB CSNK1E CUL1 ADAM17 NOTCH1 PPARD NCSTN NCOR2"
