pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	2.15955995622659e-26	3.73171960435955e-23	1.33449749081658	0.806019275715034	3.23574699082385	86	RPLP0 RPSA RPS5 UBA52 RPS10 RPS7 RPS16 RPL7 RPS3A1 RPL19 RPS18 RPS27A RPS15A RPS4X RPS27 RPS13 RPL4 RPS24 RPL9 EEF1B2 RPL28 FAU RPL22L1 RPL37A RPL35 RPL22 RPS9 RPL34 RPL24 RPL8 RPS19 RPL13 RPS3 RPL17 RPL26 RPS20 RPL32 RPL18 RPS26 RPS14 RPL18A RPL36 RPL39 RPL35A RPL36A RPS28 RPL15 RPS11 RPL37 RPL21 RPL23 RPS6 RPL27A RPL27 RPL29 RPL10 RPL11 RPL6 RPL3 RPS2 RPS23 RPL38 EEF1A1
KEGG_RIBOSOME	3.62895209244093e-25	3.13541460786896e-22	1.30309315086572	0.810278214680835	3.22353932489887	82	RPLP0 RPSA RPS5 UBA52 RPS10 RPS7 RPS16 RPL7 RPS3A1 RPL19 RPS18 RPS27A RPS15A RPS4X RPS27 RPS13 RPL4 RPS24 RPL9 RPL28 FAU RPL22L1 RPL37A RPL35 RPL22 RPS9 RPL34 RPL24 RPL8 RPS19 RPL13 RPS3 RPL17 RPL26 RPS20 RPL32 RPL18 RPS26 RPL18A RPL36 RPL39 RPL35A RPL36A RPS28 RPL15 RPS11 RPL37 RPL21 RPL23 RPS6 RPL27A RPL27 RPL29 RPL10 RPL11 RPL6 RPL3 RPS2 RPS23 RPL38
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS	5.63346628625522e-25	3.24487658088301e-22	1.29512308741004	0.809227551243574	3.2193594582236	82	RPLP0 RPSA RPS5 UBA52 RPS10 RPS7 RPS16 RPL7 RPS3A1 RPL19 RPS18 RPS27A RPS15A RPS4X RPS27 RPS13 RPL4 RPS24 RPL9 RPL28 FAU RPL37A RPL35 RPL22 RPS9 RPL34 RPL24 RPL8 RPS19 RPL13 RPS3 RPL17 RPL26 RPS20 RPL32 RPL18 RPS26 RPS14 RPL18A RPL36 RPL39 RPL35A RPL36A RPS28 RPL15 RPS11 RPL37 RPL21 RPL23 RPS6 RPL27A RPL27 RPL29 RPL10 RPL11 RPL6 RPL3 RPS2 RPS23 RPL38
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	6.43014564943371e-23	2.77782292055536e-20	1.23789667319529	0.770718648964243	3.11188982729157	92	CEBPB RPLP0 RPSA RPS5 UBA52 RPS10 RPS7 RPS16 RPL7 RPS3A1 RPL19 RPS18 RPS27A RPS15A RPS4X RPS27 RPS13 RPL4 RPS24 RPL9 RPL28 FAU RPL22L1 RPL37A RPL35 RPL22 RPS9 RPL34 RPL24 RPL8 RPS19 RPL13 RPS3 RPL17 RPL26 RPS20 RPL32 RPL18 RPS26 RPS14 RPL18A ATF3 RPL36 RPL39 RPL35A RPL36A RPS28 RPL15 RPS11 RPL37 RPL21 RPL23 RPS6 RPL27A RPL27 RPL29 RPL10 RPL11 RPL6 RPL3 RPS2 RPS23 RPL38
REACTOME_SELENOAMINO_ACID_METABOLISM	2.46550148839536e-21	8.52077314389436e-19	1.19534448258848	0.750262794939353	3.05201030772655	97	RPLP0 GSR RPSA RPS5 UBA52 RPS10 RPS7 RPS16 RPL7 RPS3A1 RPL19 RPS18 RPS27A RPS15A RPS4X RPS27 RPS13 RPL4 RPS24 RPL9 RPL28 FAU RPL22L1 RPL37A RPL35 RPL22 RPS9 RPL34 RPL24 RPL8 RPS19 RPL13 RPS3 RPL17 RPL26 RPS20 RPL32 RPL18 RPS26 RPS14 RPL18A RPL36 RPL39 RPL35A RPL36A RPS28 RPL15 RPS11 RPL37 RPL21 RPL23 RPS6 RPL27A RPL27 RPL29 RPL10 RPL11 RPL6 RPL3 RPS2 RPS23 RPL38 TXNRD1
REACTOME_CELLULAR_RESPONSE_TO_STARVATION	2.43233294817505e-20	7.00511889074416e-18	1.16906996676109	0.685579148848921	2.92299372595841	125	CEBPB RPLP0 RPSA RPS5 UBA52 RPS10 RPS7 RPS16 RPL7 RPS3A1 RPL19 RPS18 RPS27A RPS15A RPS4X RPS27 RPS13 ATP6V1E1 RPL4 RPS24 RPL9 RPL28 FAU RPL22L1 RPL37A RPL35 RPL22 RPS9 RPL34 RPL24 RPL8 RPS19 RPL13 RPS3 RPL17 RPL26 RPS20 RPL32 RPL18 RPS26 RPS14 RPL18A ATF3 RPL36 RPL39 RPL35A RPL36A RPS28 ATP6V1F ATP6V1D RPL15 RPS11 RPL37 RPL21 RPL23 RPS6 RPL27A RPL27 RPL29 RPL10 RPL11 RPL6 LAMTOR4 RPL3 RPS2 RPS23 RPL38
REACTOME_NONSENSE_MEDIATED_DECAY_NMD	5.19345692445241e-17	1.28204193792197e-14	1.06720998682811	0.683181850727076	2.81807119062612	107	RPLP0 RPSA RPS5 UBA52 RPS10 RPS7 RPS16 RPL7 RPS3A1 RPL19 RPS18 RPS27A RPS15A RPS4X RPS27 RPS13 RPL4 RPS24 RPL9 RPL28 FAU RPL22L1 RPL37A RPL35 RPL22 RPS9 RPL34 RPL24 RPL8 RPS19 RPL13 RPS3 RPL17 RPL26 RPS20 RPL32 RPL18 RPS26 RPS14 RPL18A RPL36 RPL39 RPL35A RPL36A RPS28 RPL15 RPS11 RPL37 RPL21 RPL23 RPS6 RPL27A RPL27 RPL29 RPL10 RPL11 RPL6 RPL3 RPS2 RPS23 RPL38 ETF1
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	2.71961808252957e-16	5.87437505826387e-14	1.03769615548758	0.663052646106246	2.76315300967061	112	RPLP0 RPSA EIF4EBP1 RPS5 UBA52 EIF3F RPS10 RPS7 RPS16 RPL7 RPS3A1 RPL19 RPS18 RPS27A RPS15A RPS4X RPS27 RPS13 RPL4 RPS24 RPL9 RPL28 FAU RPL22L1 EIF3K RPL37A RPL35 RPL22 RPS9 RPL34 RPL24 RPL8 RPS19 RPL13 RPS3 RPL17 RPL26 RPS20 RPL32 RPL18 RPS26 RPS14 RPL18A RPL36 RPL39 RPL35A RPL36A RPS28 RPL15 RPS11 RPL37 RPL21 RPL23 RPS6 RPL27A RPL27 EIF3H RPL29 RPL10 RPL11 RPL6 RPL3 RPS2 RPS23 RPL38 EIF3E
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	1.62168862907444e-14	2.80227795104063e-12	0.97599468306432	0.656163169006693	2.67886412494767	104	RPLP0 RPSA RPS5 UBA52 SEC61G RPS10 RPS7 RPS16 RPL7 RPS3A1 RPL19 RPS18 RPS27A RPS15A RPS4X RPS27 RPS13 RPL4 RPS24 RPL9 RPL28 FAU RPL22L1 RPL37A RPL35 RPL22 RPS9 RPL34 RPL24 RPL8 RPS19 RPL13 RPS3 RPL17 RPL26 RPS20 RPL32 RPL18 RPS26 SEC61B RPS14 RPL18A RPL36 RPL39 RPL35A RPL36A RPS28 SRP19 RPL15 RPS11 RPL37 RPL21 RPL23 RPS6 RPL27A RPL27 RPL29 RPL10 RPL11 RPL6 RPL3 RPS2 RPS23 RPL38
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	2.12226877275054e-14	3.3338913084663e-12	0.97599468306432	0.593792292532123	2.58445958809448	147	RPLP0 RPSA RPS5 UBA52 RPS10 RPS7 SEM1 RPS16 RPL7 RPS3A1 RPL19 RPS18 PSMA7 RPS27A RPS15A RPS4X RPS27 RPS13 RPL4 RPS24 RPL9 RPL28 FAU RPL22L1 RPL37A RPL35 RPL22 RPS9 RPL34 RPL24 RPL8 RPS19 RPL13 RPS3 RPL17 RPL26 RPS20 RPL32 RPL18 RPS26 RPS14 RPL18A RPL36 RPL39 RPL35A RPL36A RPS28 RPL15 RPS11 RPL37 RPL21 RPL23 PSMD8 RPS6 RPL27A RPL27 RPL29 RPL10 RPL11 RPL6 RPL3 RPS2 RPS23 RPL38 PSMB1 ETF1
