pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_G2M_CHECKPOINT	0.000681410682508156	0.00417364043036246	0.477270815362862	0.485977184230125	1.76020599295017	115	MARCKS CCND1 STMN1 RAD21 NCL ATRX SRSF1 HMGN2 CKS2 NUMA1 ILF3 MKI67 CENPF HNRNPU CTCF FOXN3 PRPF4B YTHDC1 STAG1 TACC3 CDKN3 KIF2C SMC4 CCNB2 EWSR1 DKC1 CUL1 SMARCC1 CUL4A KMT5A UBE2C CCNT1 KPNB1 MYC G3BP1 UPF1 NOLC1 NEK2
HALLMARK_MITOTIC_SPINDLE	0.000491706696434397	0.00344194687504078	0.477270815362862	0.471843629264537	1.73108771734011	125	MARCKS ARHGAP5 DST DOCK2 FSCN1 EPB41L2 DYNC1H1 RAPGEF5 YWHAE ABI1 NUMA1 CD2AP CENPF CLIP1 SASS6 SPTAN1 MYH9 OPHN1 CSNK1D KIF2C SMC4 CCNB2 CEP250 BIN1 ARAP3 PKD2 DLG1 SUN2 ARHGEF2 NEK2 HOOK3 WASL MYO9B PXN BIRC5 LATS1 DOCK4 PREX1 KIF5B WASF2 RASA2 CLIP2 APC CCDC88A ABL1 PCM1 ARHGEF11 SAC3D1 RASA1
HALLMARK_MYOGENESIS	0.00333267507917951	0.014845552625436	0.431707695803346	0.533955579450979	1.70920478708468	54	SPARC MEF2C CKB CD36 COX6A2 EIF4A2 ITGB5 SPTAN1 MYH9 BIN1 SH2B1 RB1 MEF2A SCD2 PPFIA4
HALLMARK_MYC_TARGETS_V2	0.0127348908579944	0.0416006434694484	0.380730400722792	0.544110074110228	1.61526651808386	35	CBX3 DDX18 NOP2 HSPE1 RABEPK NPM1 TCOF1 MYC HSPD1 TMEM97 NOLC1 PES1 NOP56 MYBBP1A SRM WDR43 SORD NIP7 PPRC1 MPHOSPH10
HALLMARK_E2F_TARGETS	0.00467004652489047	0.0176024830553564	0.407017918923954	0.446909174477635	1.59221599905258	101	STMN1 TUBB5 RAD21 SRSF1 EIF2S1 CKS2 ILF3 MKI67 CTCF PRDX4 RAN SSRP1 STAG1 TACC3 CDKN3 KIF2C SMC4 CCNB2 RANBP1 RAD50 TRP53 CDCA8 DNMT1 MYC NOLC1 RBBP7 BIRC5 DEK NOP56 CSE1L GSPT1 CBX5 LUC7L3 LIG1 GINS4 EXOSC8 UBE2S DLGAP5 UBR7 TMPO NUP153 HELLS ATAD2 ORC2 RFC2 SMC6 SMC1A HNRNPD
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.0228788913247729	0.0590034565744144	0.352487857583619	0.437486741832968	1.50860198979099	82	HSP90B1 HSPA5 CALR EIF4G1 EIF4A2 PDIA6 DNAJC3 EIF2S1 SPCS3 FUS SEC11A EDEM1 DNAJB9 PSAT1 EXOSC1 SDAD1 HSPA9 TUBB2A NFYA SPCS1 DKC1 BANF1 NPM1 SSR1 EXOSC10 NOLC1 EIF4A1 NOP56 KIF5B
HALLMARK_COMPLEMENT	0.0123130233333242	0.0416006434694484	0.380730400722792	0.410372291498143	1.48091078369623	112	C1QA C1QC S100A9 HSPA5 CTSD LGMN TIMP2 CTSL CFH CTSB CTSS CD36 PDGFB DOCK10 LAP3 DUSP6 LAMP2 STX4A VCPIP1
HALLMARK_COAGULATION	0.0336473755047106	0.0806389771644471	0.287857117255149	0.454284280030866	1.47320426802132	57	C1QA SPARC PF4 CD9 LGMN CTSL CFH CTSB PDGFB TRF DUSP6 LAMP2 ANG
HALLMARK_PROTEIN_SECRETION	0.0447570332480818	0.0996861195070914	0.241339976815091	0.409201398590762	1.41106457661515	82	CD63 CLTC DST LMAN1 TMED10 CLN5 LAMP2 RAB14 COPB2 GLA RAB5A M6PR ABCA1 CLCN3 RPS6KA3 SCAMP3 STX16 COPB1 TMX1 AP3B1 GALC IGF2R
HALLMARK_ANDROGEN_RESPONSE	0.0846774193548387	0.153673835125448	0.176694268938498	0.41444377896009	1.35042798054629	60	SELENOP CCND1 PMEPA1 MAF HPGD LMAN1 MERTK B2M SPCS3 ADAMTS1 LIFR DNAJB9 SCD2 CDK6 RPS6KA3 TMEM50A PTK2B SRF ZMIZ1 PGM3
