pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	2.39633900139537e-08	1.06589158782066e-05	0.73376198835648	0.833372327891227	2.09858510849742	45	APOE FTL1 FTH1 SPARC STAB1
REACTOME_COMPLEMENT_CASCADE	1.16330979418226e-07	3.6960014032305e-05	0.704975715167238	0.858777422715539	2.08188951738433	37	C1QB C1QC C1QA CD81 PROS1 C3AR1 CFH C5AR1
KEGG_LYSOSOME	4.50541774527981e-09	5.01002453275115e-06	0.761460801445585	0.719422014533112	2.0601204697447	112	CD63 CTSL CTSD CTSB HEXB LGMN CTSZ CD68 ATP6V0C CTSS PSAP HEXA ATP6V0B LAMP1 CTSH CTSA CTSC AP4E1 NEU1 GGA3 NPC1 ATP6V0D1 GM2A CLTA PLA2G15 LAPTM5 ASAH1 AP3S1 NAGLU LAMP2 HGSNAT AGA NPC2 ARSB TPP1 SUMF1 LAPTM4A CTSF LIPA TCIRG1 CLTC
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	9.65428523816676e-09	7.15704345656096e-06	0.747739663149885	0.748220166717263	2.04390182208264	86	SPP1 CTSL CTSD CTSB CTSS TIMP2 ADAM15 FN1 BSG ADAM17 LAMC1 FURIN ADAM9 MMP9
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	1.0876486965895e-07	3.6960014032305e-05	0.704975715167238	0.968657013594333	2.02411475435479	18	C1QB C1QC C1QA C2
REACTOME_COLLAGEN_DEGRADATION	3.87850557872478e-07	9.58421823009323e-05	0.674962860011025	0.83214748807534	2.01595071080602	38	CTSL CTSD CTSB ADAM17 FURIN ADAM9 MMP9
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	2.52709596928914e-06	0.000510932857790822	0.627256739718528	0.802476179421804	1.96652600090877	41	C1QB C1QC C1QA PROS1 PLAUR C3AR1 CFH C5AR1
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	7.28732974117659e-06	0.00108046808962512	0.610526878385931	0.821570906608607	1.9486675107927	34	CTSL CTSB CTSS ITGA6 MMP9 COL27A1 LAMB3
NABA_ECM_REGULATORS	1.41665909850238e-07	3.93831229383662e-05	0.690132458796796	0.662194243386298	1.93432868197991	134	CTSL CTSD CTSB CST3 CTSZ CTSS CSTB TIMP2 CTSH CTSA CTSC ADAM15 ST14 ADAM17 PLOD1 CTSF HYAL2 ADAM9 TGM2 CST7 MMP9
WP_COMPLEMENT_AND_COAGULATION_CASCADES	1.08197417799303e-05	0.00150394410741031	0.593325476396405	0.782494540117988	1.91755954652747	41	C1QB C1QC C1QA PROS1 PLAUR C3AR1 CFH C5AR1 CLTC
WP_MICROGLIA_PATHOGEN_PHAGOCYTOSIS_PATHWAY	1.33683130517065e-05	0.0017488898957056	0.593325476396405	0.784468375811367	1.912557604826	40	C1QB C1QC C1QA TYROBP FCER1G TREM2 ITGAM FCGR1 HCK RAC1 LYN NCF1 VAV1 SYK NCF2 ARPC1B NCKAP1L PIK3CD CYBA VAV3
REACTOME_COLLAGEN_FORMATION	2.56806136709352e-05	0.00317298248911999	0.575610261071129	0.739477271447181	1.90806441118533	52	CTSL CTSB CTSS ITGA6 PLOD1 MMP9 COL27A1 CRTAP LAMB3
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	1.86308559187758e-08	1.03587558908393e-05	0.73376198835648	0.998817556458738	1.89964468233696	12	C1QB C1QC C1QA COLEC11
REACTOME_SCAVENGING_BY_CLASS_A_RECEPTORS	1.51648136968133e-06	0.000337265456617128	0.643551836150722	0.972394574169678	1.89076220558122	14	APOE FTL1 FTH1 HSP90B1
REACTOME_NEUTROPHIL_DEGRANULATION	1.47842175361879e-12	3.28800998004818e-09	0.910119734774459	0.578443675686145	1.86618455411608	434	CD63 TYROBP CTSD FTL1 CTSB FCER1G HEXB CST3 CTSZ GRN CD68 ATP6V0C FTH1 CTSS PSAP CSTB CD14 FCGR3 LGALS3 LYZ2 CLEC4D CREG1 TIMP2 SYNGR1 LAMP1 FABP5 CTSH BRI3 PGAM1 LCN2 CTSA ITGAM CXCL2 CTSC TUBB4B CD300A MIF VAT1 B4GALT1 LAMTOR1 NEU1 TUBB5 DNAJC13 GPR84 1600012H06RIK GM2A CANT1 HK3 SRP14 RAC1 PLAUR PSMA2 ASAH1 PLEKHO2 FGR PSMD6 AP2A2 NFAM1 NDUFC2 TRAPPC1 PDAP1 CYFIP1 C3AR1 AGL LAIR1 SDCBP LAMP2 SURF4 FAF2 ATP6V1D HGSNAT AGA NPC2 CD33 ACPP ARSB GYG PSMD12 DEGS1 COTL1 VPS35L C5AR1 CD53 NHLRC3 RAB7 SLC15A4 RHOA FCGR4 ANO6 ACTR1B PGM2 MVP PSMD2 PYGB RAB14 TCIRG1 ATG7 DNAJC3 PSMD3 VCP RAB5C PKM ACLY PSMC2 PGM1 IDH1 TMEM179B ALDH3B1 SELL MMP9 GUSB TNFRSF1B COPB1 CKAP4 PLD1 SIGLECF DYNC1LI1 NCKAP1L PYCARD GAA RAP2C RAP2B COMMD3 ERP44 ADGRE5 CYBA HMOX2 VAMP8 CAB39 PLAU CD44 PYGL HMGB1 ANPEP FOLR2 JUP RAB4B GHDC DDX3X GLIPR1 TOM1 ACAA1A RAB5B PSEN1
WP_COMPLEMENT_ACTIVATION	3.06480184166388e-06	0.000568009941321706	0.627256739718528	0.974974036956036	1.85429684604933	12	C1QB C1QC C1QA C2
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE	6.19657976904357e-05	0.00656247305064424	0.538434096309916	0.712593987555547	1.84720885101028	55	APOE SOAT1 NPC1 MYLIP CLTA MTTP AP2A2 NPC2 ABCA1 LIPA CLTC ABCG1 FURIN HDLBP MBTPS1 AP2M1 MBTPS2 AP2A1
REACTOME_FERTILIZATION	4.24419286729658e-06	0.000712871596932075	0.610526878385931	0.956873039120459	1.84707692002259	13	CD9 B4GALT1 ADAM30
WP_PROXIMAL_TUBULE_TRANSPORT	0.000107215049364447	0.0103672291211535	0.538434096309916	0.756283959914592	1.8321646203455	38	ATP6V0C ATP6V0B SLC2A1 ATP6V1G1 ATP6V1A ATP6V1D ATP6V1E1 ATP6V1F FXYD2 SLC3A2 SLC7A8 ABCB1A ABCC4
PID_INTEGRIN1_PATHWAY	0.000115083830612143	0.0106644349700586	0.538434096309916	0.732853846092841	1.81116100329911	43	SPP1 CD14 CD81 ITGA6 PLAUR FN1 LAMC1 ITGB1 THBS1 TGM2 PLAU ITGA1 LAMB3
REACTOME_IRON_UPTAKE_AND_TRANSPORT	0.0003091455289102	0.0237082640102167	0.49849310876659	0.701502419604808	1.80512472722902	50	FTL1 ATP6V0C FTH1 ATP6V0B LCN2 UBC ATP6V0D1 ATP6V1G1 ATP6V1A NEDD8 ATP6V1D ATP6V1E1 TRF TCIRG1 HFE ATP6V1F HMOX2 ATP6V1B2 ATP6V1G3 UBB FLVCR1
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	0.000600638893254463	0.0370091555306769	0.477270815362862	0.806611236324529	1.7945863730527	24	CTSL TIMP2 FURIN MMP9
REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR	0.00020421525721147	0.0181409480088558	0.518848077743792	0.925151404599432	1.75953950222388	12	CTSL CTSB LGMN CTSS UNC93B1
PID_INTEGRIN_A9B1_PATHWAY	0.000400379824300335	0.0287240235239982	0.49849310876659	0.809784708950681	1.75754412244475	22	SPP1 CSF2RA ADAM15 RAC1 SAT1 FN1 ITGB1 PXN TGM2
REACTOME_PLASMA_LIPOPROTEIN_CLEARANCE	0.000552270634645264	0.0350928540414591	0.477270815362862	0.767550420373421	1.75352005246904	29	APOE SOAT1 NPC1 MYLIP CLTA AP2A2 NPC2 LIPA CLTC HDLBP AP2M1 AP2A1
WP_TYROBP_CAUSAL_NETWORK	0.000374564881604839	0.0277677432229721	0.49849310876659	0.671972717579814	1.75346388369744	58	SPP1 C1QC TYROBP ITGAM TGFBR1 LYL1 SFT2D2 GAL3ST4 APBB1IP NPC2 STAT5A PLEK IL10RA NRROS TCIRG1 NCF2 TNFRSF1B CD84 NCKAP1L PYCARD MAF LGALS9 GPX1 SLC1A5 ABCC4 CXCL16
WP_EXTRACELLULAR_VESICLES_IN_THE_CROSSTALK_OF_CARDIAC_CELLS	0.0010022143061241	0.0518354562051164	0.45505986738723	0.837780130550923	1.75063319560455	18	SPP1 CD63 BIRC5 CD81 PDLIM5 MMP9 SOD1
NABA_ECM_AFFILIATED	3.91430713959587e-05	0.00458179951497959	0.557332238758646	0.63133639715925	1.74873340293004	92	C1QB C1QC C1QA LGALS3 CLEC4D ANXA7
REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING	0.0010345617606397	0.0522923944468794	0.45505986738723	0.771495634535643	1.74281005692074	27	ATP6V0C ATP6V0B ATP6V0D1 ATP6V1G1 ATP6V1A ATP6V1D ATP6V1E1 TRF TCIRG1 HFE ATP6V1F ATP6V1B2 ATP6V1G3
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	7.61426736468835e-05	0.00769733209957586	0.538434096309916	0.615484483035766	1.74036834256345	104	CTSL CTSD CTSB LGMN CTSS CTSH CTSA CTSC TUBB4B TUBA1B IFI30 CANX KIF23 DCTN3 CLTA AP2A2 DCTN1 KIF22 CENPE KIF11 KLC1 RAB7 CTSF ACTR1B RACGAP1 CLTC H2-DMA ACTR1A AP2M1 DYNC1LI1
REACTOME_GLYCOSPHINGOLIPID_METABOLISM	0.000882182293323723	0.0467136528655228	0.477270815362862	0.72591211280445	1.73606449961136	35	HEXB PSAP HEXA CTSA NEU1 GM2A ASAH1 ARSB SUMF1 B4GALNT1
