"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",1.91878929571317e-14,1.45636107544629e-11,0.97599468306432,0.861864476968139,2.08198901473305,97,"RPS19 RPL12 RPS28 RPS17 RPS20 RPL32 RPS18 RPLP1 RPL31 RPL8 RPL13 RPL10A RPL19 RPS2 RPL35 RPS12 RPL3 RPLP2 RPS15 RPL6 RPL36 RPS15A RPL35A RPS8 RPL15 RPL21 RPSA RPL7A RPL28 RPS26 RPL36A RPL38 RPL23 RPS11 RPL18 RPL11 RPS3A1 RPL5 RPS5 RPL26 RPS14 RPS3 RPL22 RPS6 RPLP0 RPL14 RPL4 RPS25 RPL23A RPL29 RPL13A RPS29 RPL10 RPS23 SRP14 RPS4X RPL34 SEC62 RPS7 SSR2 RPS24 RPL27A RPS13 SSR1 SRP9 SRP19 RPL24 SSR3 RPL7 RPS21 SRP72 RPL30 RPS10 ARL6IP1 RPL17 RPS16 SRP54A RPL9 UBA52 RPL37A"
"2","GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM",1.56658149492787e-15,2.37807070930051e-12,1.01754479730988,0.851266744302649,2.07178448735091,108,"RPS19 RPL12 RPS28 RPS17 RPS20 RPL32 RPS18 RPLP1 RPL31 RPL8 RPL13 RPL10A RPL19 RPS2 RPL35 RPS12 RPL3 RPLP2 RPS15 RPL6 RPL36 RPS15A RPL35A RPS8 RPL15 RPL21 RPSA RPL7A RPL28 RPS26 RPL36A RPL38 RPL23 RPS11 RPL18 RPL11 RPS3A1 SPCS2 RPL5 RPS5 RPL26 RPS14 RPS3 RPL22 RPS6 RPLP0 SEC61G RPL14 RPL4 RPS25 RPL23A RAB10 RPL29 RPL13A RPS29 RPL10 RPS23 SRP14 RPS4X RPL34 SEC62 RPS7 RPS24 RPL27A HSPA5 RPS13 SRP9 EDEM1 SRP19 RPL24 SSR3 RPL7 RPS21 SRP72 RPL30 RPS10 RPL17 RPS16 SRP54A RPL9 UBA52 RPL37A"
"3","GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY",8.020119757838e-15,7.30472507543885e-12,0.986546283587582,0.831167745353181,2.04727482008918,118,"RPS19 RPL12 RPS28 RPS17 RPS20 RPL32 RPS18 RPLP1 RPL31 RPL8 RPL13 RPL10A RPL19 RPS2 RPL35 RPS12 RPL3 RPLP2 RPS15 RPL6 RPL36 RPS15A RPL35A RPS8 RPL15 RPL21 RPSA RPL7A RPL28 RPS26 RPL36A RPL38 RPL23 RPS11 RPL18 RPL11 RPS3A1 RPL5 RPS5 RPL26 RPS14 RPS3 RPL22 RPS6 RPLP0 RPL14 RPL4 RPS25 RPL23A RPL29 RPL13A RPS29 RPL10 RPS23 RPS4X RBM8A RPL34 RPS7 RPS24 NCBP2 EIF4A3 GSPT1 PPP2R2A RPL27A RPS13 RNPS1 RPL24 RPL7 RPS21 RPL30 EXOSC10 ETF1 MAGOHB UPF3B RPS10 DHX34 RPL17 RPS16 RPL9 UBA52 RPL37A"
"4","GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM",2.28520068440264e-15,2.60170097919241e-12,1.00731795687447,0.821581923820677,2.0458573433151,134,"RPS19 RPL12 RPS28 RPS17 RPS20 RPL32 RPS18 RPLP1 RPL31 RPL8 RPL13 RPL10A RPL19 RPS2 RPL35 RPS12 RPL3 RPLP2 RPS15 RPL6 RPL36 RPS15A RPL35A RPS8 RPL15 RPL21 RPSA RPL7A RPL28 RPS26 RPL36A RPL38 RPL23 RPS11 RPL18 RPL11 RPS3A1 SPCS2 RPL5 RPS5 RPL26 RPS14 RPS3 RPL22 RPS6 RPLP0 SEC61G RPL14 RPL4 KDELR2 RPS25 RPL23A RAB10 RPL29 RPL13A RPS29 RPL10 VAPA RPS23 SRP14 RPS4X RPL34 SEC62 RPS7 RPS24 RPL27A INSIG2 HSPA5 RPS13 SRP9 EDEM1 SRP19 RPL24 SSR3 RPL7 RPS21 SRP72 RPL30 RPS10 RPL17 KDELR1 RPS16 SRP54A RPL9 UBA52 RPL37A"
"5","GOBP_TRANSLATIONAL_INITIATION",4.22412065919009e-16,1.92366454819517e-12,1.03769615548758,0.785435655261883,2.00955166040271,183,"TNF RPS19 RPL12 RPS28 RPS17 RPS20 RPL32 RPS18 RPLP1 RPL31 RPL8 RPL13 RPL10A RPL19 RPS2 RPL35 RPS12 RPL3 RPLP2 RPS15 RPL6 RPL36 RPS15A RPL35A RPS8 EIF4A1 RPL15 RPL21 RPSA RPL7A EIF2S2 RPL28 RPS26 RPL36A RPL38 RPL23 RPS11 RPL18 RPL11 EIF5B RPS3A1 EIF3I EIF5 EIF2S1 RPL5 RPS5 RPL26 POLR2G RPS14 DENR RPS3 RPL22 RPS6 RPLP0 EIF4E RPL14 RPL4 RPS25 RPL23A KHDRBS1 EIF3D EIF4E2 YTHDF2 RPL29 RPL13A RPS29 RPL10 RPS23 EIF3A EIF3H EIF6 EIF3K COPS5 RPS4X TMED2 RPL34 ABCE1 EIF2S3X RPS7 EIF3L EIF3M EIF3J1 EIF1B TPR RPS24 NCBP2 RPL27A EIF3G RPS13 EIF3B RPL24 CSDE1 EIF3C RPL7 NPM1 RPS21 RPL30 EIF4G2 RPS10 EIF4H RPL17 RPS16 RPL9 ATF4 UBA52 RPL37A EIF1AX"
"6","GOBP_PROTEIN_TARGETING_TO_MEMBRANE",3.52790968418661e-14,2.07880802972535e-11,0.965327754226083,0.77812307684294,1.97728183691572,176,"RPS19 RPL12 RPS28 RPS17 RPS20 RPL32 RPS18 RPLP1 RPL31 RPL8 RPL13 RPL10A RPL19 RPS2 RPL35 RPS12 NACA RPL3 RPLP2 RPS15 RPL6 RPL36 RPS15A RPL35A RPS8 RPL15 RPL21 RPSA RPL7A RPL28 RPS26 RPL36A RPL38 RPL23 RPS11 RPL18 RPL11 RPS3A1 RPL5 RPS5 RPL26 RPS14 RPS3 RPL22 RPS6 RPLP0 SEC61G SDCBP RPL14 RPL4 RPS25 RPL23A RPL29 RPL13A RPS29 RPL10 RPS23 SRP14 RPS4X RPL34 SEC62 RPS7 SSR2 RPS24 VPS37A STOM VPS37B RPL27A HSPA5 RPS13 SSR1 SRP9 SRP19 RPL24 SSR3 RPL7 YIF1B RPS21 SRP72 RPL30 ZDHHC18 RPS10 ARL6IP1 FIS1 RPL17 MYO1C RPS16 SRP54A RPL9 UBA52 RPL37A EXOC4 MFF RABGEF1 CIB1"
"7","GOBP_VIRAL_GENE_EXPRESSION",3.65183667935942e-14,2.07880802972535e-11,0.965327754226083,0.764019769068443,1.96191731832371,191,"CCL3 CCL4 RPS19 RPL12 RPS28 RPS17 RPS20 RPL32 RPS18 RPLP1 RPL31 RPL8 RPL13 RPL10A RPL19 RPS2 RPL35 RPS12 RPL3 RPLP2 RPS15 RPL6 RPL36 RPS15A RPL35A RPS8 RPL15 RPL21 RPSA RPL7A RPL28 RPS26 RPL36A RPL38 POLR2F RPL23 RPS11 POLR2J RPL18 RPL11 RPS3A1 POLR2K RPL5 PSMC3 RPS5 RPL26 POLR2G RPS14 DENR RPS3 RPL22 RPS6 RPLP0 SSB RPL14 RPL4 RPS25 RPL23A EIF3D RPL29 RPL13A RPS29 RPL10 RPS23 EIF3A RPS4X RPL34 NUP54 GTF2F1 RPS7 EIF3L NELFE TPR RPS24 MDFIC RPL27A EIF3G POLR2I RPS13 SUPT5 TAF11 TARDBP EIF3B RPL24 CSDE1 RPL7 USF2 RPS21 RPL30 FURIN POLR2A DHX9 POLR2H PCBP2 POLR2E NUP62 RPS10 NUP50 RSF1 RPL17 RPS16 RPL9 UBA52 RPL37A POLR2D SPCS1 SEC13 NUCKS1 POLR2L"
"8","GOBP_CYTOPLASMIC_TRANSLATION",2.49475592756247e-09,7.10069905882468e-07,0.774939030136436,0.794383400536169,1.91501731314729,96,"RPS28 RPL32 RPLP1 RPL31 RPL8 RPL10A RPL19 RPLP2 RPL6 RPL36 RPL35A EIF4A1 RPL15 RPSA EIF2S2 RPS26 RPL36A RPL38 RPL18 RPL11 EIF3I EIF5 RPL26 DENR RPL22 RPLP0 EIF3D DHX36 YTHDF2 RPL29 RPL13A RPS29 RPS23 EIF3A EIF3H EIF3K EIF2S3X EIF3L EIF3M EIF3J1 ZC3H15 GSPT1 EIF3G EIF3B RPL24 EIF3C TMA7 RPS21 RPL30 ETF1 DHX9 RWDD1 DPH3 EIF4H RPL17 DRG1 RPL9 DPH5"
"9","GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE",9.25096719849636e-16,2.10644523109762e-12,1.01754479730988,0.722684776015935,1.9058953464009,306,"HSP90AA1 BAX RPS19 RPL12 RPS28 RPS17 RILPL2 RPS20 RPL32 RPS18 RPLP1 RPL31 TIMM8B RPL8 RPL13 RPL10A RPL19 RPS2 RPL35 RPS12 NACA RPL3 RPLP2 RPS15 RPL6 RPL36 RPS15A RPL35A RPS8 RPL15 RPL21 RPSA RPL7A RACK1 TIMM13 PDCD5 ROMO1 RPL28 RPS26 RPL36A RPL38 RPL23 RPS11 CD24A RPL18 RPL11 RPS3A1 EMC6 RPL5 RPS5 RPL26 RAB7 NMT1 RPS14 NPC1 RPS3 RPL22 RPS6 RPLP0 SEC61G SDCBP RPL14 RPL4 YWHAG RPS25 RPL23A TOMM22 RAB10 PMAIP1 RPL29 RPL13A RPS29 CALM1 RPL10 VPS35 EMC4 RPS23 SRP14 TIMM10 RPS4X RPL34 EMC7 SEC62 RPS7 SSR2 RPS24 SAMM50 VPS37A STOM VPS37B RPL27A HSPA5 RPS13 YWHAE SSR1 SRP9 SRP19 RPL24 SSR3 RPL7 YIF1B RPS21 SRP72 RPL30 YWHAB ZDHHC18 UBL4A TRP53 EMC8 RPS10 ARL6IP1 FIS1 LYPLA1 RPL17 BCL2L11 MYO1C CALM3 RPS16 VAMP3 SRP54A RPL9 UBA52 RPL37A EXOC4 MFF ARFRP1 RABGEF1 CIB1"
"10","GOBP_SPERM_EGG_RECOGNITION",5.43097718334406e-07,9.16024818257364e-05,0.659444398037935,0.89619253065217,1.85979227893396,32,"CD9 B4GALT1 VDAC2 CCT8 CCT2 CCT3 TCP1 HVCN1 CCT7 CCT5 ALDOA CCT4"
