pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	4.91393734147869e-07	8.18989556913115e-06	0.659444398037935	0.658036476641807	1.7728151968707	153	SPP1 SPARC BASP1 RHOB CXCL3 SERPINE2 THBS1 PMP22 DST CXCL2 FUCA1 ID2 CALU JUN PLOD1 ITGAV CADM1 PDLIM4 ITGB5 CD44 GADD45B INHBA COPA PPIB PMEPA1 LRP1 LGALS1 TNFAIP3 ITGB1 IGFBP4 FN1 ITGB3 VIM ITGA5 VEGFA SGCB SDC4 NID2
HALLMARK_PROTEIN_SECRETION	0.000436492536117716	0.00436492536117716	0.49849310876659	0.630888007185361	1.60590342542172	93	CD63 ABCA1 CLN5 DST CLTC GLA BNIP3 TMED10 COPB2 LAMP2 AP3S1 RAB14 GOSR2 RAB5A M6PR IGF2R USO1 ARF1 RPS6KA3 ADAM10 GALC MON2 GNAS AP3B1 TMED2 NAPG COPB1 RAB2A LMAN1 CLCN3 BET1 ATP6V1H CLTA ANP32E CAV2 ARCN1 AP1G1 ARFIP1 GOLGA4
HALLMARK_ANDROGEN_RESPONSE	0.00193051463912133	0.0107250813284518	0.45505986738723	0.605647845971298	1.54612100546511	96	SELENOP MAF SGK1 MERTK HPGD ADAMTS1 SPCS3 DNAJB9 ZMIZ1 SCD2 VAPA ITGAV ACTN1 CDK6 CCND1 ABHD2 LIFR RPS6KA3 PGM3 INPP4B NGLY1 PMEPA1 MAP7 UBE2J1 TMEM50A LMAN1 NCOA4 SORD SRF SLC26A2 PIAS1 GNAI3 B4GALT1 FADS1 APPBP2
HALLMARK_HEDGEHOG_SIGNALING	0.0131368554879385	0.0437895182931282	0.380730400722792	0.700917798331719	1.50982012531861	27	ADGRG1 MYH9 OPHN1 CDK6 CDK5R1 NF1 VEGFA NRP1
HALLMARK_MYOGENESIS	0.00138145630322201	0.00863410189513754	0.45505986738723	0.556765579296896	1.49770557566491	151	SPARC CDKN1A CD36 MEF2C COX6A2 CKB BIN1 EIF4A2 MYH9 APP SCD2 RB1 NOTCH1 SPTAN1 ITGB5 SH2B1 GADD45B MEF2A PDE4DIP ITGB1 CRAT GABARAPL2 SPEG BHLHE40 PTP4A3 GPX3 MYBPH MYL2 COX7A1 MYOZ1 MYLPF TSC2 TGFB1 COL15A1 PRNP LPIN1 IGF1 NAV2 AK1 MAPRE3
HALLMARK_COAGULATION	0.00430370460783509	0.0189337734385815	0.407017918923954	0.578262712976841	1.48975434580221	105	PF4 SPARC CD9 CTSL C1QA CFH LGMN CTSB PLEK THBS1 PDGFB FURIN ANG LAMP2 TRF F10 PEF1 LRP1 ADAM9 FN1 ITGB3 PROS1 MMP9 PREP CASP9 FBN1 GP9 F9 PLAU PECAM1
HALLMARK_G2M_CHECKPOINT	0.00132527871524163	0.00863410189513754	0.45505986738723	0.539780814204656	1.47943006051897	192	STMN1 MARCKS SRSF1 HMGN2 CKS2 SFPQ MKI67 KMT5A CENPF SMC4 UPF1 CCNB2 PAFAH1B1 CUL4A GSPT1 UBE2C CDKN3 KIF2C G3BP1 YTHDC1 UBE2S TACC3 CENPA CCNT1 SYNCRIP KIF5B CCND1 NEK2 SS18 STAG1 CUL5 NOLC1 CUL1 DKC1 CASP8AP2 RAD21 RAD23B PRC1 TPX2 CTCF SLC7A1 BIRC5 SRSF2 SLC7A5 ODC1 ATRX NUP50 KPNB1 MAP3K20 SMARCC1 FOXN3 ABL1 EWSR1 GINS2 HIF1A TOP2A MYC KPNA2 KIF15 CDC25B TGFB1 HMMR MTF2 SLC12A2 NCL CDC20 HNRNPU RPA2 AMD1 ILF3 NUMA1 KIF23 XPO1 CCNF
HALLMARK_UV_RESPONSE_DN	0.00363045295003063	0.0181522647501531	0.431707695803346	0.562203679026102	1.47646397616929	129	PMP22 SMAD7 TFPI MT1 ATP2B4 ZMIZ1 TJP1 DYRK1A ATP2C1 TGFBR2 YTHDC1 ATP2B1 GCNT1 SFMBT1 RUNX1 RASA2 ADGRL2 DLG1 RXRA INPP4B ATXN1 ADD3 TOGARAM1 MGLL PHF3 SLC7A1 ITGB3 ATRX CDK13 NRP1 ABCC1 BHLHE40 NR3C1 DUSP1 PRKCE CELF2 MRPS31 ACVR2A MYC IGF1R PLPP3
HALLMARK_MITOTIC_SPINDLE	0.000943452748885932	0.0078621062407161	0.477270815362862	0.537978438762448	1.47258891897247	197	EPB41L2 MARCKS ARHGAP5 FSCN1 DST RAPGEF5 BIN1 CEP250 MYH9 CLIP1 DOCK2 CSNK1D ABI1 CENPF YWHAE DYNC1H1 ARAP3 SASS6 SMC4 CD2AP CCDC88A CCNB2 LATS1 PAFAH1B1 PKD2 OPHN1 WASL KIF2C ARHGEF11 KIF5B SPTAN1 PPP4R2 RASA2 DLG1 BCL2L11 NEK2 MYO9B NF1 PRC1 PXN HOOK3 TPX2 DLGAP5 DYNLL2 RHOT2 BIRC5 STAU1 EZR CENPJ RAPGEF6 FLNB LRPPRC PCM1 ITSN1 ABL1 TOP2A ARHGAP29 KIF15 TLK1 ARHGEF2 PCGF5 EPB41 MAPRE1 NUMA1 KIF23 MYO1E FGD6 CDC42EP4 RACGAP1 CENPE SAC3D1 APC TUBGCP5 CDC42BPA NCK1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.0125447551772146	0.0437895182931282	0.380730400722792	0.559825755863054	1.4496861498398	110	HSP90B1 HSPA5 SPCS1 CALR SEC11A EIF2S1 EIF4G1 EDEM1 PSAT1 EIF4A2 SPCS3 DNAJB9 DNAJC3 ATP6V0D1 EIF4A1 GOSR2 EXOSC10 SRPR PDIA6 KIF5B EXOSC1 HSPA9 ATF4 CNOT6 NOLC1 NFYA FUS DKC1 SDAD1 SSR1 EXOSC2 BAG3 CCL2 NHP2 SLC7A5 NFYB YWHAZ VEGFA PDIA5 YIF1A PAIP1
