"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","HALLMARK_ANDROGEN_RESPONSE",0.00145609561319321,0.0104006829513801,0.45505986738723,0.534166636919626,1.57795751224001,96,"HPGD MAF ZMIZ1 PMEPA1 DNAJB9 SELENOP PLPP1 MERTK NCOA4 UBE2I SGK1 CAMKK2 SCD2 PTK2B SORD HMGCS1 PDLIM5 ELOVL5 SPCS3 GNAI3 SRP19 PA2G4 RPS6KA3 PGM3 XRCC5 ARID5B MAP7 PIAS1 ELL2 INPP4B LMAN1"
"2","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.00599197413456568,0.0299598706728284,0.407017918923954,0.609554098986968,1.55419317541643,37,"CUL1 ADAM17 NOTCH1 CSNK1E NCOR2 NUMB KAT2A HDAC11 TRP53 FZD8 DVL2 MAML1"
"3","HALLMARK_NOTCH_SIGNALING",0.0144217328650408,0.0655533312047307,0.380730400722792,0.63701240446808,1.52714415751472,27,"ST3GAL6 CUL1 PRKCA TCF7L2 NOTCH1 RBX1 APH1A KAT2A"
"4","HALLMARK_BILE_ACID_METABOLISM",0.00504455506585174,0.0299598706728284,0.407017918923954,0.507877811827757,1.49469474365954,91,"TTR ABCA9 IDH2 NPC1 HSD17B11 SLC23A2 LONP2 LIPE ABCD2 PNPLA8 SCP2 ACSL1 PRDX5 ABCD3 ALDH9A1 GCLM ABCD1 PEX12"
"5","HALLMARK_PEROXISOME",0.00542972944006823,0.0299598706728284,0.407017918923954,0.494863157352512,1.45644157597002,90,"TTR CADM1 IDH2 CNBP HSD17B11 BCL10 CRAT SLC25A17 SLC23A2 LONP2 ABCD2 YWHAH SCP2 ACSL1 PRDX5 ELOVL5 ABCD3 SOD2 ALDH9A1 ACOX1 ABCD1 CLN8 IDE VPS4B"
"6","HALLMARK_TGF_BETA_SIGNALING",0.0220403712889381,0.0724931074576545,0.352487857583619,0.534196997442698,1.4423437869819,52,"TGFBR1 TGFB1 SKI PMEPA1 TJP1 JUNB TRIM33 PPP1R15A SKIL SMURF2 UBE2D3 NCOR2 SERPINE1 ENG MAP3K7 FKBP1A ACVR1 IFNGR2"
"7","HALLMARK_HEME_METABOLISM",0.015949938601352,0.0664580775056332,0.352487857583619,0.418982921860428,1.34467885252142,173,"LMO2 BTG2 ADIPOR1 RBM5 BNIP3L NCOA4 USP15 KLF3 BLVRA MKRN1 SMOX SEC14L1 VEZF1 HTRA2 NEK7 FBXO34 MGST3 NR3C1 SLC11A2 NUDT4 SIDT2 UROD BACH1 RAD23A GCLM CPOX SYNJ1 CTNS GMPS TNRC6B BMP2K TNS1 AGPAT4 SLC2A1 ADD1 MAP2K3 ELL2 DCAF11 FBXO9 NFE2L1 EIF2AK1 SLC25A38 TOP1 GLRX5 XPO7 BLVRB ABCG2 FBXO7 ARL2BP DAAM1 MOSPD1 RBM38 ERMAP SELENBP1 SLC25A37 PCX SLC6A8 FN3K FECH SLC30A1 ALDH6A1 DCAF10"
"8","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0231977943864494,0.0724931074576545,0.352487857583619,0.422417224381489,1.34335198434456,162,"FOS MLPH XBP1 RETREG1 NAV2 AMFR IGF1R IL6ST KLF4 IGFBP4 FLNB ASB13 TIAM1 SH3BP5 JAK2 SNX24 ELOVL5 TUBB2B NCOR2 FKBP4 TGM2 ARL3 CBFA2T3 SLC2A1 ISG20L2 DHCR7 BLVRB DHRS3 MINDY1 MED13L AFF1"
"9","HALLMARK_COAGULATION",0.0747508305647841,0.177978168011391,0.211400189384923,0.430739075377768,1.29036020569945,105,"DUSP6 TRF ISCU CD9 PROS1 MSRB2 SPARC KLK8 RAC1 CFH GP9 CASP9 PDGFB ITGB3 SH2B2 F3 USP11 SERPINE1 LRP1 MAFF CLU"
"10","HALLMARK_SPERMATOGENESIS",0.1,0.208333333333333,0.184706471207739,0.430676560673627,1.26141509733823,93,"SLC12A2 SLC2A5 CLGN PSMG1 LPIN1 PARP2 MLLT10 VDAC3 TLE4 IDE JAM3 COIL MAP7 CSNK2A2 GSTM5 ARL4A SIRT1 PRKAR2A GMCL1 BRAF DBF4 GSG1 ZC3H14 AGFG1 TOPBP1 TSN RFC4 IL12RB2 PHKG2 ACRBP"
