"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Saa3",3.36373664370207e-10,2.75739020573902,0.293,0.131,5.63594074652282e-06
"Ccl3",6.18747003105568e-59,2.27109380124525,0.757,0.244,1.03671060370338e-54
"Sod2",5.05937208207701e-64,2.25678429486127,0.774,0.288,8.47697792352004e-60
"Cxcl3",3.30482811904333e-15,2.17326689597604,0.275,0.075,5.53723951345710e-11
"Psap",3.16542695303818e-56,2.13613784763719,0.81,0.476,5.30367285981547e-52
"Tnf",9.48442313926768e-28,2.11520070877851,0.436,0.123,1.5891150969843e-23
"Ccl4",3.13739855749314e-32,2.09458066339192,0.549,0.175,5.25671128307975e-28
"Cstb",1.17629252900006e-90,2.07153152793285,0.954,0.668,1.97087813233959e-86
"Gadd45b",5.45321911474482e-58,2.0638941412417,0.859,0.504,9.13686862675495e-54
"Hspa1a",0.036901317121859,2.0584844926953,0.035,0.01,1
"Gdf15",3.46924733049034e-20,2.03981596691546,0.212,0.021,5.81272390223656e-16
"Creg1",5.79721825832335e-48,1.91552112991496,0.732,0.442,9.71323919182077e-44
"F10",1.41338217328729e-58,1.91067332312974,0.654,0.144,2.36812183134286e-54
"Ccrl2",2.48152821807151e-53,1.86230703995629,0.737,0.252,4.15780052937881e-49
"Il1rn",3.05209636232087e-41,1.83920803183973,0.727,0.36,5.11378745506861e-37
"Esd",8.62542503304326e-52,1.79497866624867,0.808,0.463,1.4451899642864e-47
"Ftl1",1.5142664269014e-79,1.78313156932082,1,0.995,2.5371533982733e-75
"Prdx1",2.80990393021823e-33,1.77383727807905,0.545,0.172,4.70799403508064e-29
"Cxcl2",1.11800455556418e-23,1.76060501130906,0.771,0.491,1.87321663284779e-19
"Fth1",4.19959407615566e-93,1.71684820591907,1,0.997,7.03641987459881e-89
"Blvrb",5.57658127523305e-32,1.64299630844802,0.464,0.129,9.34356192665297e-28
"Lcn2",2.32145564534636e-30,1.6189793068036,0.825,0.614,3.88959893377782e-26
"Hilpda",7.16678335956895e-43,1.61200501499649,0.64,0.195,1.20079455189578e-38
"Bcl2a1b",2.45989125366901e-33,1.60030295938824,0.503,0.139,4.12154779552243e-29
"Hspa1b",0.17972321343197,1.58636621071377,0.039,0.021,1
"Acp5",5.60487884886867e-11,1.58111672252447,0.12,0.013,9.39097451127946e-07
"Cd274",3.96353862131266e-33,1.57198900185343,0.538,0.165,6.64090896000937e-29
"Anxa5",6.52749938170736e-32,1.47295194988486,0.319,0.039,1.09368252140507e-27
"Serf1",1.88661465875025e-19,1.44283694067776,0.3,0.069,3.16102286073605e-15
"Cd63",8.50413134456469e-41,1.42654095007116,0.806,0.463,1.42486720678181e-36
"Rilpl2",2.92510994600417e-30,1.42188875390375,0.459,0.126,4.90102171452999e-26
"Hsp90aa1",8.04573653874723e-17,1.41867106263924,0.6,0.362,1.3480631570671e-12
"Capg",9.44193212074e-42,1.4143855622022,0.683,0.265,1.58199572682999e-37
"Ero1l",1.43556082163274e-16,1.39367075302001,0.513,0.265,2.40528215664565e-12
"Bax",9.05210111801055e-35,1.39081814247719,0.61,0.237,1.51667954232267e-30
"Ctsb",1.2690849023093e-55,1.36602982156827,0.944,0.71,2.12635175381923e-51
"Gstm1",3.41796757400044e-24,1.35488698114499,0.245,0.023,5.72680467023774e-20
"Slc7a11",8.1490496682296e-29,1.34749728100039,0.635,0.29,1.36537327191187e-24
"Bri3",1.18226355164666e-52,1.3405635194447,0.864,0.671,1.98088258078397e-48
"Itpr2",2.21846993330123e-19,1.33584961741739,0.436,0.188,3.71704637324622e-15
