"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hmox1",0.00113292443851716,0.959340303522852,0.309,0.246,1
"P2ry12",1.62804180249061e-30,0.796541887197656,0.859,0.776,2.72778404007302e-26
"Ttr",0.659625665738054,0.753616760093465,0.08,0.07,1
"Fabp5",5.79777314571652e-06,0.657496285814515,0.302,0.196,0.0971416890564803
"Hpgd",1.4830820329713e-18,0.597484108412626,0.684,0.499,2.48490394624341e-14
"Cst3",9.57754842009531e-22,0.586104731087852,0.999,0.997,1.60471823778697e-17
"Malat1",2.90205831873335e-14,0.580602937658547,0.833,0.746,4.86239871303773e-10
"Jun",5.57054174886684e-13,0.578535659586404,0.735,0.613,9.3334427002264e-09
"Smap2",1.02443131960174e-21,0.578259543511151,0.71,0.499,1.71643467599271e-17
"Jund",2.49980371767997e-20,0.573213187514308,0.769,0.576,4.1884211289728e-16
"Tgfbr1",5.37802421842089e-19,0.556360954941429,0.79,0.632,9.01087957796421e-15
"Cd164",2.18633589249301e-16,0.554429257331516,0.579,0.387,3.66320578787205e-12
"P2ry13",6.93720205830614e-17,0.547629267611885,0.684,0.499,1.16232820486919e-12
"Entpd1",1.74225034534805e-15,0.544244834151267,0.672,0.501,2.91914045363066e-11
"Maf",6.91395802593716e-19,0.542336750275824,0.813,0.65,1.15843366724577e-14
"Hspa1b",2.2574911960359e-08,0.53389169306245,0.138,0.052,0.000378242649895815
"Cx3cr1",2.12524195602799e-18,0.524371675705462,0.933,0.897,3.56084289732489e-14
"Gpr34",2.13449502558532e-19,0.521200479552385,0.899,0.814,3.57634641536821e-15
"Arhgap5",6.81488548299692e-14,0.500257538833741,0.724,0.58,1.14183406267613e-09
"Siglech",1.89667806345345e-18,0.491885556073127,0.821,0.707,3.17788409531626e-14
"Mtdh",4.17774735604973e-18,0.489120109030134,0.828,0.672,6.99981569506133e-14
"Enpp2",0.345858908910006,0.486705757557342,0.02,0.011,1
"Sox4",1.55534660405583e-11,0.481122611273602,0.305,0.156,2.60598323509555e-07
"Ptgs1",1.95196397109521e-15,0.478683158677627,0.734,0.565,3.27051563357002e-11
"Ivns1abp",5.99991288492293e-15,0.478580691051462,0.66,0.476,1.00528540386884e-10
"Cxcl2",0.00548213412148509,0.475873020375368,0.048,0.019,1
"Plxdc2",1.36154141862805e-18,0.463590009054981,0.778,0.58,2.2812626469113e-14
"Serpine2",8.78923126159733e-19,0.459916389813924,0.69,0.466,1.47263569788063e-14
"Pmepa1",9.76356645423655e-13,0.451605773776932,0.817,0.689,1.63588555940733e-08
"Zfhx3",1.84085006327394e-13,0.449628733432777,0.753,0.595,3.08434428101548e-09
"Slc2a5",2.94480222691523e-11,0.447460893609751,0.448,0.286,4.93401613119647e-07
"Abca9",4.05450440085649e-10,0.440489757734744,0.488,0.334,6.79332212363506e-06
"Rgs2",5.16943633797556e-15,0.439173964671085,0.785,0.621,8.66139058427805e-11
"Adgrg1",2.16581589207744e-14,0.437837838690657,0.481,0.289,3.62882452717574e-10
"Dusp6",2.26931833129682e-13,0.434239359791155,0.485,0.298,3.80224286408782e-09
"Trf",8.18647025817855e-17,0.432351794887672,0.881,0.756,1.37164309175782e-12
"Vsir",3.64612453723617e-14,0.432125467658252,0.808,0.673,6.1090816621392e-10
"Lag3",9.03196087586246e-13,0.428479905819416,0.481,0.301,1.51330504475076e-08
"Fscn1",5.18467308540539e-11,0.427991679872351,0.441,0.286,8.68691975459673e-07
"Hpgds",2.11825240752312e-14,0.4217203953046,0.85,0.711,3.54913190880498e-10
"Sirpa",5.88329451082428e-14,0.420729914899608,0.798,0.655,9.85745995288609e-10
"Tmem119",2.27292792002411e-14,0.416273059951482,0.869,0.78,3.80829073000039e-10
"Cfh",4.57462935435523e-11,0.416215114369351,0.755,0.624,7.66479148322218e-07
"Nav2",1.40060921581415e-09,0.415232020018173,0.48,0.332,2.3467207410966e-05
"St3gal6",7.19663472242835e-12,0.413922191866351,0.557,0.382,1.20579614774287e-07
"Mertk",3.08668395907829e-11,0.41255024888253,0.655,0.49,5.17173897343568e-07
"Qk",6.89017052748043e-13,0.407086896849858,0.876,0.752,1.15444807187935e-08
"Rhob",4.00946389587222e-12,0.404709279115313,0.79,0.647,6.7178567575339e-08
"Selplg",1.39167419791803e-14,0.403718816847472,0.887,0.818,2.33175011861166e-10
"Csf1r",7.65392782399553e-16,0.403492326840122,0.962,0.933,1.28241560691045e-11
"Slc40a1",2.28008681589328e-10,0.401246010373983,0.363,0.212,3.82028546002919e-06
"Slc1a3",5.97737581103854e-11,0.398104713170413,0.398,0.239,1.00150931713951e-06
"Marcks",3.10961248087326e-13,0.394118154295013,0.945,0.914,5.21015571170315e-09
"Fosb",6.59635847498925e-10,0.391065409866303,0.267,0.137,1.10521986248445e-05
"Fam102b",1.71967394061936e-12,0.384404848474878,0.528,0.345,2.88131368750773e-08
"1700017B05Rik",7.0417233253474e-10,0.380431679542494,0.408,0.257,1.17984074316196e-05
"Adrb2",5.34008468663244e-13,0.378267332882628,0.409,0.234,8.94731189245265e-09
"Cmtm6",1.37641256018375e-10,0.377981399132515,0.55,0.389,2.30617924458787e-06
"Serinc3",2.827099516576e-12,0.377750664614744,0.93,0.881,4.73680524002308e-08
"Pou2f2",5.17678907866809e-11,0.377360613328225,0.715,0.557,8.67371010130839e-07
"Hook3",1.59918552969752e-08,0.373856049254088,0.385,0.252,0.00026794353550082
"Tgfbr2",1.94309734026937e-10,0.371700519267904,0.627,0.473,3.25565959362133e-06
"Csnk1e",4.04421710272179e-09,0.364526099313764,0.512,0.365,6.77608575561036e-05
"Sall1",2.03900598493941e-09,0.364482177926157,0.572,0.416,3.41635452776598e-05
"Cd300a",1.20894563937462e-11,0.359075606788703,0.415,0.248,2.02558841877217e-07
