"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cxcl3",2.04739141431395e-27,3.45622907924274,0.261,0.024,3.43040431468302e-23
"Spp1",9.86380733685749e-53,3.36703360681787,0.68,0.222,1.65268091929047e-48
"Cxcl2",6.04752084014111e-22,3.32925328243974,0.346,0.091,1.01326211676564e-17
"Pf4",5.16714555035559e-42,3.31371711673403,0.456,0.093,8.6575523696208e-38
"Saa3",3.85316571330875e-38,2.96253844551531,0.68,0.307,6.4559791526488e-34
"Ptgs2",5.23576680465432e-18,2.71957526493834,0.232,0.049,8.77252728119831e-14
"S100a8",1.37135173353021e-28,2.58980405974492,0.423,0.208,2.29769982952987e-24
"Lcn2",3.31838176928569e-24,2.43618563610707,0.312,0.094,5.55994865443817e-20
"Fabp5",3.44885437651518e-30,2.35453768365992,0.651,0.333,5.77855550785119e-26
"Ccl3",2.51426613778484e-20,2.28799896173563,0.239,0.082,4.21265291385849e-16
"Arg1",1.59549854076483e-36,2.26236126810094,0.618,0.255,2.67325780505147e-32
"Cd9",5.52989330397242e-56,2.21171397784517,0.688,0.277,9.26533623080578e-52
"Ccl4",3.98821410377481e-14,2.18094692805089,0.228,0.057,6.6822527308747e-10
"Slpi",9.72591074949076e-18,2.17774085039901,0.478,0.454,1.62957634607718e-13
"Nos2",2.43555980924206e-24,2.17198806352402,0.309,0.058,4.08078046038506e-20
"C1qa",7.95960300906525e-26,2.16381911121581,0.581,0.272,1.33363148416888e-21
"Sparc",3.80137486039535e-26,2.11816985335256,0.235,0.031,6.36920357859242e-22
"Ptges",1.82460172706023e-30,2.10181394960577,0.287,0.039,3.05712019368941e-26
"C1qc",7.96742324543653e-23,2.06584705783994,0.599,0.335,1.33494176477289e-18
"Hilpda",2.02377405133309e-31,2.05172547159142,0.379,0.101,3.3908334230086e-27
"Cd63",8.70402794349162e-37,2.04461630894125,0.581,0.214,1.45835988193202e-32
"Fcrls",1.89398205835984e-25,1.98615725018366,0.265,0.057,3.17336693878191e-21
"Hexb",6.95303904867544e-27,1.96650905464241,0.743,0.656,1.16498169260557e-22
"Cd81",5.29944126514871e-25,1.92522993369706,0.32,0.153,8.87921383975667e-21
"Hmox1",7.3640735963744e-27,1.89795121390643,0.728,0.583,1.23385053107253e-22
"Gpnmb",5.18538023244751e-25,1.71373871895169,0.368,0.082,8.68810457946581e-21
"Pdpn",2.79059405407035e-35,1.65010449940256,0.368,0.049,4.67564033759486e-31
"Syngr1",1.6886713584581e-24,1.6343539662381,0.349,0.137,2.82936886109655e-20
"Olfml3",1.24751910532952e-20,1.6283293169608,0.261,0.094,2.09021826097962e-16
"Ero1l",3.19838903742236e-29,1.60540282417702,0.434,0.272,5.35890083220116e-25
"Ctsd",6.371684447992e-45,1.59197923337684,0.985,0.91,1.06757572926106e-40
"Siglech",3.73596642487958e-19,1.56676099903565,0.136,0.009,6.25961174488573e-15
"Slc7a11",9.54766551024044e-22,1.55288161311283,0.375,0.132,1.59971135624079e-17
"Basp1",3.09068447952312e-39,1.53223181122802,0.746,0.448,5.17844184544098e-35
"P2ry12",1.74555260802744e-19,1.52502908312643,0.243,0.121,2.92467339474998e-15
"C1qb",8.54234924339536e-21,1.52453216956531,0.702,0.396,1.43127061573089e-16
"Ccl12",1.76343266622686e-11,1.48551954999942,0.276,0.156,2.9546314322631e-07
"Inhba",3.35789845645194e-23,1.48100594106102,0.235,0.022,5.62615886378523e-19
"Mt2",1.79242498407256e-14,1.47929959516904,0.125,0.008,3.00320806081357e-10
"Ctsl",3.52586771905025e-33,1.46933717568729,0.875,0.744,5.9075913632687e-29
"Ccl7",4.2018210120911e-14,1.44929585288086,0.162,0.022,7.04015110575864e-10
"Gpr34",3.26479265936618e-17,1.41146431638284,0.147,0.044,5.47016010076804e-13
"Mt1",1.8819270316412e-25,1.38989021202837,0.632,0.585,3.15316874151483e-21
"S100a9",0.000561831787594284,1.37026886842774,0.114,0.146,1
"Serpinb2",1.60109377768919e-11,1.36496688995958,0.121,0.019,2.68263262451823e-07
"Cd24a",1.26631206788552e-29,1.33893327353598,0.419,0.099,2.12170586974218e-25
"Fth1",1.35250198986187e-43,1.30332281008726,1,0.997,2.26611708401356e-39
"Cst3",1.368700360024e-05,1.2958574903127,0.971,0.992,0.229325745322021
"Ctsb",2.34101893959628e-36,1.25941407903036,0.978,0.984,3.92237723329356e-32
"Abca1",1.07900103251888e-22,1.20188209444494,0.632,0.44,1.80786622998539e-18
"Ltc4s",9.95185962012135e-12,1.1801420743067,0.154,0.046,1.66743407935133e-07
"Cd14",2.80840457665057e-16,1.16108561820798,0.559,0.527,4.70548186817803e-12
"Gm15056",0.269738401061421,1.14045009115631,0.029,0.014,1
"Il1a",3.0889183392048e-23,1.1403548834115,0.235,0.02,5.17548267733764e-19
"Il7r",4.91664835677407e-16,1.11411547762349,0.309,0.102,8.23784432177495e-12
"Plin2",2.64831226124962e-36,1.10983110724812,0.728,0.679,4.43724719372374e-32
"Hsp90aa1",3.37271100870639e-22,1.10924030817353,0.706,0.646,5.65097729508755e-18
"Slc7a2",1.10393900038369e-15,1.10913726035992,0.18,0.027,1.84964979514287e-11
"Kctd12",2.08133517801866e-22,1.09063794451861,0.434,0.436,3.48727709077026e-18
"Map4k4",1.02347594032385e-23,1.08624541510705,0.511,0.436,1.71483393801261e-19
"AA467197",1.76170773020385e-08,1.06618683035526,0.43,0.33,0.000295174130195654
"Tnfrsf9",2.10082562250434e-15,1.05497423328004,0.14,0.011,3.51993333050602e-11
"Bnip3",1.17595827874455e-18,1.04970435918463,0.496,0.393,1.97031809603649e-14
"Nfkbia",2.30132869115682e-20,1.0453838642686,0.596,0.656,3.85587622203325e-16
"Cpd",4.0997753335809e-18,1.03053473410088,0.401,0.19,6.8691735714148e-14
"Hspa5",1.46726344559282e-15,1.02248254486301,0.765,0.692,2.45839990309078e-11
"Hsp90b1",6.74220041987424e-18,1.01390194471406,0.82,0.805,1.12965568034993e-13
"Il1b",8.93674341228066e-07,1.0115930184013,0.43,0.5,0.0149735135872763
"Hspa1b",9.53232485108824e-06,0.984226317204925,0.074,0.042,0.159714102879983
"Cd274",2.62249186274691e-13,0.969363466047013,0.357,0.159,4.39398511603244e-09
"Pdia3",1.06615762858497e-20,0.968627332885506,0.684,0.706,1.78634710669412e-16
"Bsg",2.16641430258749e-46,0.968248659300838,0.754,0.822,3.62982716398534e-42
"Ier3",3.58664301487696e-13,0.96556396386597,0.522,0.514,6.00942037142635e-09
"Id2",6.47595120984385e-14,0.956612441062516,0.496,0.341,1.08504562520934e-09
"Tmem119",2.0541184169758e-10,0.955827430271314,0.283,0.154,3.44167540764296e-06
"Ddit4",1.01709617693547e-15,0.954300401299661,0.29,0.102,1.70414464445538e-11
"Il1rn",9.81873711543793e-08,0.949184631514919,0.386,0.307,0.00164512940369163
"Abhd12",3.25596150104189e-19,0.94438672914439,0.346,0.343,5.45536349499569e-15
"Lgmn",8.52344352965554e-19,0.938295677587342,0.798,0.849,1.42810296339379e-14
"Cd93",6.22112771493333e-18,0.937103270376494,0.467,0.366,1.04234994863708e-13
