"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Il1b",0,2.08198677325152,0.976,0.732,0,"Granulocytes 1","Il1b"
"Hdc",0,2.02601665969028,0.9,0.348,0,"Granulocytes 1","Hdc"
"Lmnb1",0,2.02514238190593,0.797,0.186,0,"Granulocytes 1","Lmnb1"
"Entpd1",0,1.95941017559625,0.827,0.257,0,"Granulocytes 1","Entpd1"
"Actg1",0,1.92802154708899,0.986,0.771,0,"Granulocytes 1","Actg1"
"Ifitm1",0,1.90489743099745,0.964,0.728,0,"Granulocytes 1","Ifitm1"
"S100a11",0,1.85629455691532,0.99,0.888,0,"Granulocytes 1","S100a11"
"Actb",0,1.40993648958036,0.997,0.922,0,"Granulocytes 1","Actb"
"Srgn",0,1.24824357232111,0.997,0.977,0,"Granulocytes 1","Srgn"
"Mif",3.07109314393482e-298,-1.45313733701651,0.865,0.963,4.2408725224596e-294,"Granulocytes 1","Mif"
"Arpc3",1.03053565892052e-287,1.20227742060175,0.952,0.831,1.42306669140334e-283,"Granulocytes 1","Arpc3"
"Ftl1",4.39746312405193e-284,-1.71905369442836,0.991,0.995,6.07245682800331e-280,"Granulocytes 1","Ftl1"
"Ifitm2",1.38355802869367e-270,1.37486396442322,0.976,0.796,1.91055528182309e-266,"Granulocytes 1","Ifitm2"
"S100a9",1.41925603869564e-258,1.43981405334152,1,0.955,1.95985066383481e-254,"Granulocytes 1","S100a9"
"G0s2",5.18611184330567e-239,1.90028153006739,0.882,0.515,7.1615018444208e-235,"Granulocytes 1","G0s2"
"Dgat1",1.96997828746797e-219,1.47958260615136,0.6,0.158,2.72034301716452e-215,"Granulocytes 1","Dgat1"
"Plaur",2.78700936769379e-218,1.73078724537672,0.74,0.34,3.84858123584835e-214,"Granulocytes 1","Plaur"
"Ccl6",1.8476229601374e-217,1.8892329614367,0.652,0.208,2.55138254565374e-213,"Granulocytes 1","Ccl6"
"Rps28",1.74792494819033e-211,-1.74322106289733,0.662,0.83,2.41370956095603e-207,"Granulocytes 1","Rps28"
"Bri3",1.95779908810004e-204,-1.4289139987626,0.532,0.818,2.70352476075735e-200,"Granulocytes 1","Bri3"
"S100a8",3.19959454210361e-198,1.21457296727651,1,0.979,4.41832010319087e-194,"Granulocytes 1","S100a8"
"Trem1",4.32123221891576e-196,1.37585116530932,0.788,0.382,5.96718957110077e-192,"Granulocytes 1","Trem1"
"Rdh12",9.27169536052998e-195,1.47288288675916,0.587,0.176,1.28032841233559e-190,"Granulocytes 1","Rdh12"
"Il1r2",5.32351541700156e-192,1.51916123110449,0.694,0.254,7.35124243933746e-188,"Granulocytes 1","Il1r2"
"Fam107b",5.8932455535466e-186,1.34735995610693,0.642,0.214,8.1379827848925e-182,"Granulocytes 1","Fam107b"
"Lgals3",1.74159198932319e-185,-1.38683190290981,0.721,0.887,2.40496437805639e-181,"Granulocytes 1","Lgals3"
"Rplp2",1.92536450115723e-185,-1.36458014990573,0.785,0.866,2.65873583964801e-181,"Granulocytes 1","Rplp2"
"Mcemp1",8.4893647467812e-182,1.08384964997933,0.877,0.54,1.17229637788302e-177,"Granulocytes 1","Mcemp1"
"Spp1",6.74150903224426e-180,2.1875512534714,0.765,0.461,9.3093498226261e-176,"Granulocytes 1","Spp1"
"Capg",3.29385621333709e-178,-1.42334983762139,0.352,0.663,4.54848604499719e-174,"Granulocytes 1","Capg"
"Adam8",8.54141716752411e-174,1.28132722866747,0.708,0.306,1.1794842966634e-169,"Granulocytes 1","Adam8"
