"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Saa3",4.59796306860546e-06,1.65370324703766,0.21,0.102,0.0634932720143727
"Cx3cr1",0.641828549306028,1.06735340123402,0.025,0.017,1
"Ccl4",1.23885639149151e-08,0.918546524100492,0.649,0.54,0.000171073679101062
"Serf1",6.05472857036213e-07,0.721173902076935,0.405,0.288,0.00836097468281306
"Psap",7.11218892017476e-07,0.58675649109141,0.606,0.479,0.00982122167986932
"Prdx1",0.00323541558031905,0.5841342139802,0.212,0.14,1
"Furin",4.12893812350419e-06,0.567063339610239,0.544,0.419,0.0570165065474694
"G0s2",0.00370701729416884,0.555960953585475,0.546,0.502,1
"Prok2",0.0141665751616043,0.538807719691514,0.258,0.194,1
"AA467197",2.04190455425972e-06,0.490282313314951,0.663,0.627,0.0281966599897724
"Creg1",0.000808853085879459,0.484788551762837,0.491,0.419,1
"Fcer1g",8.70916915500429e-17,0.47837115466228,0.977,0.971,1.20264916861454e-12
"Id2",0.000153325527201038,0.469044480582731,0.328,0.238,1
"Cyba",9.2530446637222e-08,0.443471108971007,0.817,0.767,0.0012777529376134
"Tnf",0.0167104679181843,0.437610112063335,0.383,0.312,1
"Lcn2",1.13645701978991e-08,0.437535712245367,0.988,0.956,0.000156933349862788
"Rgs1",0.0565690690881554,0.431929979136042,0.12,0.096,1
"Wfdc17",0.000745070867455001,0.422840465902624,0.801,0.717,1
"Gde1",0.000147022596168322,0.417521873145955,0.503,0.398,1
"Nbeal1",0.000654512472803266,0.4139804790051,0.248,0.177,1
"Cpne2",8.58319615374583e-05,0.411780464702644,0.572,0.481,1
"Mpeg1",4.83825353219477e-05,0.410571819081425,0.627,0.523,0.668114430260776
"Gdf15",0.0164098402835473,0.409740958544693,0.046,0.017,1
"Lipa",0.00054295581244278,0.398042488942679,0.169,0.096,1
"Slpi",0.00133716263959592,0.386605428015283,0.943,0.91,1
"Fam20c",1.63190768257098e-05,0.385819413140475,0.135,0.058,0.225350131886227
"Bcl2a1b",0.00803658484577423,0.384298156652986,0.305,0.231,1
"Gadd45b",8.59117752148127e-09,0.382421498895818,0.934,0.9,0.000118635570394135
"Cd63",9.31301932880863e-05,0.377951040638334,0.63,0.575,1
"Slc32a1",0.00467019666792593,0.367156233150517,0.258,0.204,1
"Batf",0.000188330641418509,0.365218617910609,0.209,0.117,1
"Plgrkt",4.1345094661371e-09,0.36488440726455,0.667,0.483,5.70934412178873e-05
"Mpc1",0.000602993663256148,0.359531273301978,0.189,0.117,1
"Mthfsl",0.0192111233988122,0.358593856660364,0.258,0.2,1
"Fnip2",0.00749025278884678,0.354297494431588,0.393,0.34,1
"Txn1",1.50237754930473e-05,0.346281249853025,0.934,0.923,0.20746331578349
"Slc36a3os",0.00412742681269044,0.345007527630306,0.1,0.052,1
"Cd300c2",0.00447753987862401,0.343972874011692,0.339,0.254,1
"Plbd1",0.0266943012088303,0.340282069247584,0.394,0.331,1
"Rilpl2",0.00316391779740092,0.339431449927698,0.471,0.394,1
"Apoe",0.0108940021977888,0.335468913504149,0.066,0.029,1
"Ctsz",5.58527005556174e-05,0.333271787221896,0.768,0.685,0.771269941972521
"Ccrl2",0.00482768709357487,0.330130150985252,0.778,0.704,1
"Cstb",2.06091632651787e-07,0.324995516915839,0.949,0.925,0.00284591935528853
"Gla",0.0192152975501344,0.320730672300989,0.405,0.344,1
"mt-Co1",0.000225367535816567,0.32021157302204,0.73,0.631,1
"Hmgn2",0.00481459723679866,0.319925713680912,0.313,0.227,1
"Fabp5",0.0229651947392332,0.315978123368252,0.178,0.125,1
"Blvrb",0.0720750565816836,0.312762841668393,0.268,0.227,1
"Dtnbp1",0.00363941345878107,0.311279221036553,0.233,0.158,1
"Mtm1",0.00311871720357487,0.30943943871197,0.224,0.146,1
"Sh3bp5",0.0117676533493677,0.308024839458643,0.184,0.125,1
"F10",0.0158460711349355,0.306858892035603,0.693,0.629,1
