pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_GLYCOLYSIS	2.04419181415954e-09	1.33580072779118e-07	0.774939030136436	0.790481801905798	2.49309354387754	35	GPI1 TPI1 ALDOA GAPDH PKM PGK1 HK2 PGAM1 PFKP HK1 PFKFB3 ENO1 SEH1L PGP PFKL
REACTOME_GLUCOSE_METABOLISM	4.32922017723504e-09	2.62690895754369e-07	0.761460801445585	0.750420912026019	2.46183511905635	42	GPI1 TPI1 ALDOA GAPDH PKM PGK1 HK2 PGAM1 PFKP HK1 PFKFB3 ENO1 SEH1L PGP PFKL
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	5.29936460110572e-09	3.10469670940642e-07	0.761460801445585	0.827260091342388	2.44590560352042	26	GPI1 TPI1 ALDOA GAPDH LDHA PKM PGK1 HK2 PGAM1 PGM1 PFKP HK1 ENO1 PFKL
WP_GLYCOLYSIS_AND_GLUCONEOGENESIS	3.35052198823287e-07	1.30798324945539e-05	0.674962860011025	0.815995679443286	2.36605985202473	23	GPI1 TPI1 ALDOA GAPDH LDHA PKM PGK1 HK2 PGAM1 PFKP HK1 ENO1 PFKL
WP_PATHWAYS_IN_CLEAR_CELL_RENAL_CELL_CARCINOMA	4.62442682418341e-08	2.24482890693932e-06	0.719512826338911	0.736097848616525	2.35073011018366	38	GPI1 TPI1 ALDOA GAPDH LDHA VEGFA PKM PGK1 SQSTM1 HK2 PGM1 VHL PFKP HK1 ENO1 PFKL PTEN PBRM1 HK3 EP300
REACTOME_GLUCONEOGENESIS	1.78628780245548e-06	5.62019069698492e-05	0.643551836150722	0.871784069498094	2.2157564241917	14	GPI1 TPI1 ALDOA GAPDH PGK1 PGAM1 ENO1
WP_COMPUTATIONAL_MODEL_OF_AEROBIC_GLYCOLYSIS	1.09783142557446e-07	4.78260408218206e-06	0.704975715167238	0.943738488243642	2.20505154707754	10	GPI1 TPI1 ALDOA GAPDH LDHA PKM PGK1 HK1 ENO1
WP_CORI_CYCLE	6.32827773207007e-07	2.33733562321457e-05	0.659444398037935	0.894264936341263	2.18566465567967	12	GPI1 TPI1 ALDOA GAPDH LDHA PGK1 PGAM1 PFKP HK1 TALDO1
KEGG_STARCH_AND_SUCROSE_METABOLISM	6.70252983034638e-06	0.000196337899685492	0.610526878385931	0.841893529382571	2.17551967751668	15	GPI1 GBE1 GYS1 HK2 PGM1 AGL HK1 UGP2
REACTOME_SIGNALING_BY_INSULIN_RECEPTOR	1.49224650746138e-05	0.000408923680028529	0.593325476396405	0.670480259510037	2.11249302772523	37	ATP6V0C MAPK3 ATP6V1A ATP6V0E PIK3CB ATP6V0D1 ATP6V1C1 ATP6V1E1 ATP6V1G1 ATP6V0B ATP6V1B2 HRAS INSR ATP6V1D ATP6AP1 SOS1 TCIRG1
REACTOME_INSULIN_RECEPTOR_RECYCLING	5.77643485352262e-05	0.00146480042031865	0.557332238758646	0.788561309116874	2.11071297994791	17	ATP6V0C ATP6V1A ATP6V0E ATP6V0D1 ATP6V1C1 ATP6V1E1 ATP6V1G1 ATP6V0B ATP6V1B2 INSR ATP6V1D ATP6AP1 TCIRG1
PID_HIF1_TFPATHWAY	1.14095181869457e-05	0.000323079523327013	0.593325476396405	0.631624900569435	2.10794978352859	45	BNIP3 NOS2 ALDOA LDHA FURIN EGLN1 EGLN3 HMOX1 VEGFA PKM PGK1 HK2 PGM1 HK1 PFKFB3 PLIN2 ENO1 NDRG1 SMAD4 PFKL HDAC7 CITED2 MCL1 TFRC BHLHE40 EP300
REACTOME_METABOLISM_OF_CARBOHYDRATES	4.53724318974724e-08	2.24482890693932e-06	0.719512826338911	0.535051226850963	2.08041892236329	117	GPI1 GBE1 TPI1 ALDOA GAPDH GYS1 PKM PGK1 HK2 PGAM1 PGM1 AGL PFKP HK1 UBB CHST12 PFKFB3 ENO1 ABCC5 HYAL1 UGP2 SEH1L PGP GNS HYAL2 PFKL B4GALT5
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	0.000111227980401823	0.00251968451603595	0.538434096309916	0.771936786469377	2.06621473316377	17	TPI1 ALDOA HK2 PFKP HK1 PFKFB3 PFKL HK3
WP_GLYCOLYSIS_IN_SENESCENCE	4.69362175740427e-05	0.00122684051781998	0.557332238758646	0.882501417736537	2.06197070557081	10	GAPDH LDHA PKM PGK1 HK1 ENO1 G6PDX
KEGG_GALACTOSE_METABOLISM	9.60820955228483e-05	0.00223621205881259	0.538434096309916	0.819809598150928	2.05168301490531	13	HK2 PGM1 PFKP HK1 GLA UGP2 PFKL HK3
