"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS",1.69276405320467e-62,2.62547704652045e-59,2.06539036210435,0.935483082006342,2.87996377452265,84,"RPS19 RPL36 RPS18 RPL32 RPS8 RPL12 RPL38 RPL22 RPS17 RPL8 RPS26 RPS20 RPLP1 RPS2 RPL26 RPL13 RPS15 RPL35 RPS28 RPS5 RPL11 RPL5 RPSA RPL19 RPS15A RPS21 RPL21 RPS11 RPS3A1 RPL6 RPL35A RPLP2 RPS3 RPS25 RPL36A RPL14 RPS23 RPL31 RPS12 RPL18 RPL10A RPL34 RPL28 RPLP0 RPL30 RPL27A RPS14 RPS6 RPS7 RPS29 RPL9 RPL27 RPL37A RPS16 RPS10 RPL7 RPL18A RPL15 RPL24 RPS27A RPL39 RPS13 RPL23 RPL37 RPL13A RPL23A UBA52 RPS24 RPL17 RPS27 RPL4 RPL29 RPL7A"
"2","KEGG_RIBOSOME",2.97365953948427e-61,1.53738198191337e-58,2.0452397303766,0.936235278928519,2.87650785324735,83,"RPS19 RPL36 RPS18 RPL32 RPS27L RPS8 RPL12 RPL38 RPL22 RPS17 RPL8 RPL36AL RPS26 RPS20 RPLP1 RPS2 RPL26 RPL13 RPS15 RPL35 RPS28 RPS5 RPL11 RPL5 RPSA RPL19 RPS15A RPS21 RPL21 RPS11 RPS3A1 RPL6 RPL35A RPLP2 RPS3 RPS25 RPL36A RPL14 RPS23 RPL31 RPS12 RPL18 RPL10A RPL34 RPL28 RPLP0 RPL30 RPL27A RPS6 RPS7 RPS29 RPL9 RPL27 RPL37A RPS16 RPS10 RPL7 RPL18A RPL15 RPL24 RPS27A RPL39 RPS13 RPL23 RPL37 RPL13A RPL23A UBA52 RPS24 RPL17 RPS27 RPL4 RPL29"
"3","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION",8.66267105605856e-62,6.71790140397341e-59,2.0502959549786,0.931420029745477,2.87622298464254,87,"RPS19 RPL36 RPS18 RPL32 RPS27L RPS8 RPL12 RPL38 RPL22 RPS17 RPL8 RPL36AL RPS26 RPS20 RPLP1 RPS2 RPL26 RPL13 RPS15 RPL35 RPS28 RPS5 RPL11 RPL5 RPSA RPL19 RPS15A RPS21 RPL21 RPS11 RPS3A1 RPL6 RPL35A RPLP2 RPS3 RPS25 RPL36A RPL14 RPS23 RPL31 RPS12 RPL18 RPL10A RPL34 RPL28 RPLP0 RPL30 RPL27A RPS14 RPS6 RPS7 RPS29 RPL9 RPL27 RPL37A RPS16 RPS10 RPL7 RPL18A RPL15 RPL24 RPS27A RPL39 RPS13 EEF1D RPL23 RPL37 RPL13A RPL23A UBA52 RPS24 RPL17 RPS27 RPL4 RPL29 EEF1B2 RPL7A"
"4","REACTOME_SELENOAMINO_ACID_METABOLISM",2.57268765165181e-60,9.9755963692799e-58,2.02488858003307,0.914519988434207,2.86257947478221,98,"RPS19 RPL36 RPS18 RPL32 RPS27L RPS8 RPL12 RPL38 RPL22 RPS17 RPL8 RPL36AL RPS26 RPS20 RPLP1 RPS2 RPL26 RPL13 RPS15 RPL35 RPS28 RPS5 RPL11 RPL5 RPSA RPL19 RPS15A RPS21 RPL21 RPS11 RPS3A1 RPL6 RPL35A RPLP2 RPS3 RPS25 RPL36A RPL14 RPS23 RPL31 RPS12 RPL18 RPL10A RPL34 RPL28 RPLP0 RPL30 RPL27A RPS14 RPS6 RPS7 RPS29 RPL9 RPL27 RPL37A RPS16 RPS10 RPL7 RPL18A RPL15 RPL24 RPS27A RPL39 RPS13 RPL23 RPL37 RPL13A RPL23A UBA52 RPS24 RPL17 RPS27 RPL4 RPL29 RPL7A RPL3 GSR"
"5","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY",2.09521381467464e-56,5.41612771093394e-54,1.95728649762112,0.913402449147738,2.83647915223947,93,"RPS19 RPL36 RPS18 RPL32 RPS27L RPS8 RPL12 RPL38 RPL22 RPS17 RPL8 RPL36AL RPS26 RPS20 RPLP1 RPS2 RPL26 RPL13 RPS15 RPL35 RPS28 RPS5 RPL11 RPL5 RPSA RPL19 RPS15A RPS21 RPL21 RPS11 RPS3A1 RPL6 RPL35A RPLP2 RPS3 RPS25 RPL36A RPL14 RPS23 RPL31 RPS12 RPL18 RPL10A RPL34 RPL28 RPLP0 RPL30 RPL27A RPS14 RPS6 RPS7 RPS29 RPL9 RPL27 RPL37A RPS16 RPS10 RPL7 RPL18A RPL15 RPL24 RPS27A RPL39 RPS13 RPL23 RPL37 RPL13A RPL23A UBA52 RPS24 RPL17 RPS27 RPL4 RPL29 EIF2S2 RPL7A"
"6","REACTOME_NONSENSE_MEDIATED_DECAY_NMD",5.59426998428914e-57,1.73534254912649e-54,1.96783798376574,0.898378257201745,2.83573395548066,106,"RPS19 RPL36 RPS18 RPL32 RPS27L RPS8 RPL12 RPL38 RPL22 RPS17 RPL8 RPL36AL RPS26 RPS20 RPLP1 RPS2 RPL26 RPL13 RPS15 RPL35 RPS28 RPS5 RPL11 RPL5 RPSA RPL19 RPS15A RPS21 RPL21 RPS11 RPS3A1 RPL6 RPL35A RPLP2 RPS3 RPS25 RPL36A RPL14 RPS23 RPL31 RPS12 RPL18 RPL10A RPL34 RPL28 RPLP0 RPL30 RPL27A RPS14 RPS6 RPS7 RPS29 RPL9 RPL27 RPL37A RPS16 RPS10 RPL7 RPL18A RPL15 RPL24 RPS27A RPL39 RPS13 RPL23 RPL37 RPL13A RPL23A UBA52 RPS24 RPL17 RBM8A RPS27 RPL4 RPL29"
"7","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION",4.26224061677085e-55,9.44390742373083e-53,1.93601101252223,0.882148603566638,2.8109538082147,115,"RPS19 RPL36 RPS18 RPL32 RPS27L RPS8 RPL12 RPL38 RPL22 RPS17 RPL8 RPL36AL RPS26 RPS20 RPLP1 RPS2 RPL26 RPL13 RPS15 RPL35 RPS28 RPS5 RPL11 RPL5 RPSA RPL19 RPS15A RPS21 RPL21 RPS11 RPS3A1 RPL6 RPL35A RPLP2 RPS3 RPS25 RPL36A RPL14 RPS23 RPL31 RPS12 RPL18 RPL10A RPL34 RPL28 RPLP0 RPL30 RPL27A RPS14 RPS6 RPS7 RPS29 RPL9 RPL27 RPL37A RPS16 RPS10 RPL7 RPL18A RPL15 RPL24 RPS27A RPL39 RPS13 RPL23 RPL37 RPL13A RPL23A EIF3J1 UBA52 RPS24 RPL17 RPS27 RPL4 RPL29 EIF2S2 EIF3A EIF3K RPL7A EIF3H EIF5B RPL3 EIF3C EIF3G EIF1AX"
"8","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",3.71037144382439e-53,7.19348263671453e-51,1.90365200361396,0.888408177618348,2.80426336613052,106,"RPS19 RPL36 RPS18 RPL32 RPS27L RPS8 RPL12 RPL38 RPL22 RPS17 RPL8 RPL36AL RPS26 RPS20 RPLP1 RPS2 RPL26 RPL13 RPS15 RPL35 RPS28 RPS5 RPL11 RPL5 RPSA RPL19 RPS15A RPS21 RPL21 RPS11 RPS3A1 RPL6 RPL35A RPLP2 RPS3 RPS25 RPL36A RPL14 RPS23 RPL31 RPS12 RPL18 RPL10A RPL34 RPL28 RPLP0 RPL30 RPL27A RPS14 RPS6 RPS7 RPS29 RPL9 RPL27 RPL37A RPS16 RPS10 RPL7 RPL18A RPL15 RPL24 RPS27A RPL39 RPS13 RPL23 RPL37 SRP14 RPL13A RPL23A UBA52 SEC61B RPS24 RPL17 RPS27 RPL4 RPL29 SRP9 RPL7A SRP19 RPL3"
"9","REACTOME_CELLULAR_RESPONSE_TO_STARVATION",7.29760369863339e-52,1.02896212150731e-49,1.87625989921711,0.868003701773232,2.78124431176072,122,"RPS19 RPL36 RPS18 RPL32 RPS27L RPS8 RPL12 RPL38 RPL22 RPS17 RPL8 RPL36AL RPS26 RPS20 RPLP1 RPS2 RPL26 RPL13 RPS15 RPL35 RPS28 RPS5 RPL11 RPL5 RPSA RPL19 RPS15A RPS21 RPL21 RPS11 RPS3A1 RPL6 RPL35A RPLP2 RPS3 RPS25 RPL36A RPL14 RPS23 RPL31 RPS12 RPL18 RPL10A RPL34 RPL28 RPLP0 RPL30 RPL27A LAMTOR2 RPS14 RPS6 RPS7 RPS29 RPL9 RPL27 RPL37A RPS16 RPS10 RPL7 RPL18A RPL15 RPL24 RPS27A RPL39 RPS13 RPL23 RPL37 RPL13A RPL23A UBA52 RPS24 RPL17 RPS27 RPL4 RPL29 EIF2S2 RPL7A LAMTOR5 RHEB RPL3"
"10","REACTOME_INFLUENZA_INFECTION",9.69894564629161e-53,1.67145163304425e-50,1.89274273325303,0.857182528479196,2.76826280976256,135,"RPS19 RPL36 RPS18 RPL32 RPS27L RPS8 RPL12 RPL38 RPL22 RPS17 RPL8 RPL36AL RPS26 RPS20 RPLP1 RPS2 RPL26 RPL13 RPS15 RPL35 RPS28 RPS5 RPL11 RPL5 RPSA RPL19 RPS15A RPS21 RPL21 RPS11 RPS3A1 RPL6 RPL35A RPLP2 RPS3 RPS25 RPL36A RPL14 RPS23 RPL31 RPS12 RPL18 RPL10A POLR2K RPL34 RPL28 RPLP0 RPL30 RPL27A RPS14 POLR2F RPS6 RPS7 RPS29 RPL9 RPL27 RPL37A RPS16 RPS10 RPL7 RPL18A RPL15 RPL24 RPS27A RPL39 RPS13 RPL23 RPL37 RPL13A RAN RPL23A UBA52 RPS24 RPL17 POLR2G RPS27 RPL4 RPL29 RPL7A POLR2J RPL3 TPR POLR2E CLTA"
"11","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS",3.10036229690981e-50,3.69897070962086e-48,1.8484619195312,0.837179761749843,2.71871448032865,147,"RPS19 RPL36 RPS18 RPL32 RPS27L RPS8 RPL12 RPL38 RPL22 RPS17 RPL8 RPL36AL RPS26 RPS20 RPLP1 RPS2 RPL26 RPL13 RPS15 RPL35 RPS28 RPS5 RPL11 RPL5 RPSA RPL19 RPS15A RPS21 RPL21 RPS11 RPS3A1 RPL6 RPL35A RPLP2 RPS3 RPS25 RPL36A RPL14 RPS23 RPL31 RPS12 RPL18 RPL10A RPL34 RPL28 RPLP0 RPL30 RPL27A RPS14 RPS6 RBX1 RPS7 RPS29 RPL9 RPL27 PSMB3 RPL37A RPS16 RPS10 RPL7 RPL18A RPL15 RPL24 RPS27A RPL39 RPS13 PSMA3 RPL23 RPL37 RPL13A ELOB RPL23A PSMB5 UBA52 RPS24 RPL17 RBM8A RPS27 RPL4 RPL29 PSMB1 PSMA2 PSMA7 RPL7A PSMB2 RPL3 PSMA5 PSMD4 PSMC5 PSMB8 PSMD7 ELOC PSMC3 PSMB6 PSMA1 PSMB4 PSMA4 PSMC2 RPL10 RPS4X PSMA6"
