pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_MYC_TARGETS_V1	1.47711020383616e-10	3.69277550959039e-09	0.826657301178302	0.633363717166809	1.9879272072698	181	HSP90AB1 NPM1 RPLP0 RACK1 RPL6 RPS5 RPL22 RPS6 RPS3 RPL34 RPL14 RPS10 PPIA PSMD8 RPL18 PSMA7 RPS2 PABPC1 PGK1 HSPE1 SNRPG SERBP1 TCP1 VDAC1 EEF1B2 YWHAE HNRNPA1 PSMA6 YWHAQ CBX3 CCT4 NAP1L1 SNRPB2 EIF2S2 PSMB2 CCT7 NDUFAB1 SNRPD1 EIF4A1 HDGF FAM120A SNRPD2 PRDX4 SSB COX5A PSMD1 VDAC3 SRPK1 CANX PSMA2 EIF2S1 SYNCRIP RANBP1 PCNA PSMA4 PSMB3 SLC25A3 CCT2 HSPD1 SSBP1 HNRNPD CYC1 EIF4H MRPL23 U2AF1 RAD23B HNRNPA3 CDK4 NME1 PTGES3 DEK CCT5 SNRPA1 EIF1AX SET SNRPD3 SRSF3 RAN PCBP1 HPRT TRIM28 TOMM70A RNPS1 PSMC4 ACP1 KPNB1 IMPDH2 GSPT1 UBA2 AP3S1
HALLMARK_OXIDATIVE_PHOSPHORYLATION	1.48617828868348e-08	2.47696381447247e-07	0.747739663149885	0.601503738776814	1.88792887116711	181	COX7C ATP5G2 UQCRB COX6C NDUFC2 ATP5J2 ATP5G3 ATP5H CYB5A NDUFB5 COX4I1 NDUFB8 UQCRH AFG3L2 NDUFA4 ATP5D ATP5G1 COX7A2L ATP5C1 NDUFC1 VDAC1 ATP5K NDUFB3 TIMM13 SLC25A5 GPX4 COX6B1 ATP5E NDUFB4 UQCR11 COX7B ATP5A1 NDUFA5 NDUFA6 NDUFAB1 NDUFA2 NDUFS6 ATP5O PHYH COX5A NDUFA3 UQCRFS1 VDAC3 NDUFV2 GPI1 NDUFA8 UQCRC2 NDUFS4 NDUFS3 COX5B CYB5R3 TIMM17A NDUFA1 ETFB SLC25A3 NDUFB2 ATP5J NDUFA9 SLC25A4 TCIRG1 IMMT ETFA ACAA1A CYC1 UQCR10 IDH1 PDHA1 SLC25A11 ATP5L UQCRC1 HSPA9 SDHC VDAC2 MDH1 ATP5B NDUFS2 MPC1 MRPL35 CS HSD17B10 TOMM70A MRPL34 HADHB ACO2 GLUD1 SDHB COX6A1 NDUFS8 NDUFB6 COX7A2 ECH1 MGST3 HADHA NDUFB7 MRPL11 BAX PHB2 ECI1 NDUFV1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	7.45699389800364e-05	0.000932124237250455	0.538434096309916	0.625933721649091	1.79317213590329	81	FN1 VIM SDC4 ECM1 LGALS1 LRP1 SDC1 MMP14 EMP3 TGFBI INHBA PPIB CXCL1 GJA1 TIMP1 ID2 VCAN DAB2 SERPINE1 DST PVR NT5E TGFB1 FLNA ANPEP CAPG TPM4 PMP22 VEGFA PMEPA1
HALLMARK_ALLOGRAFT_REJECTION	0.000767532159686839	0.00767532159686839	0.477270815362862	0.527265139405791	1.61772191004975	138	CD74 H2-AA CTSS FCGR2B PF4 NPM1 H2-Q7 RPL39 CCL5 INHBA NOS2 CCR5 RPS19 RPS3A1 CCR2 TIMP1 IRF8 RPL9 ETS1 RPS9 TGFB1 FLNA CD3D B2M KLRD1 CAPG CD86 CD47 CFP CD79A STAB1 H2-DMA CD3G HCLS1 H2-DMB1 SOCS1 LY86 GALNT1 IKBKB H2-M3 ITGB2 IL4RA IFNAR2 GPR65 IFNGR1 EIF5A NME1 IGSF6 HIF1A TAP1 IL2RG CD3E
HALLMARK_ANGIOGENESIS	0.0158394637133351	0.079183271112471	0.352487857583619	0.750828755041092	1.6139004943777	15	S100A4 PF4 THBD LRPAP1 TIMP1 APP VCAN JAG1 TNFRSF21 VEGFA
HALLMARK_COAGULATION	0.00941311017483818	0.0588319385927387	0.380730400722792	0.561339533388596	1.56503704290844	63	FN1 CTSH LRP1 PF4 SERPINB2 MMP14 CTSL LGMN THBD S100A13 TIMP1 ANXA1 SERPINE1 C1QA CAPN2 ADAM9 CTSK S100A1 APOC2
HALLMARK_PANCREAS_BETA_CELLS	0.0523076923076923	0.145299145299145	0.245041785430996	0.704487420367885	1.47848629342275	13	MAFB SRP9 SPCS1 SEC11A LMO2 AKT3 FOXO1 SRPRB
HALLMARK_KRAS_SIGNALING_UP	0.0118722229753293	0.0659567943073849	0.380730400722792	0.484232207242885	1.44082368791942	105	ARG1 F13A1 CTSS IL7R INHBA MAFB PTGS2 EMP1 ID2 IRF8 C3AR1 KLF4 PSMB8 ETS1 ADAM8 MAP3K1 PRDM1 LAT2 GLRX LAPTM5 KCNN4 ITGB2 TMEM176A
HALLMARK_GLYCOLYSIS	0.0291375291375291	0.119735755573906	0.287857117255149	0.468968019326994	1.42140164780727	122	SDC1 TGFBI SDC3 PPIA MET VCAN PGK1 CYB5A ME2 CASP6 GALK1 NT5E NDUFV3 PGLS SAP30 P4HA2 SOD1 EXT1 MXI1 IRS2 VEGFA GLRX ALDH9A1 HDLBP EGLN3 AKR1A1 KIF2A IDH1 HAX1 SDHC MDH1 UGP2 PLOD2 GFPT1 GUSB DDIT4 ENO1 PLOD1 GYS1 SLC35A3 STMN1 COPB2 SLC16A3 PSMC4
HALLMARK_XENOBIOTIC_METABOLISM	0.0311626436219247	0.119735755573906	0.352487857583619	0.478676056775364	1.4207583525885	100	ARG1 MT2 PTGES APOE ID2 IRF8 CNDP2 CYB5A SERPINE1 DDT CASP6 UGDH HMOX1 ADH5 DHRS1 NMT1 BLVRB SSR3 PTGR1 ALDH9A1 GCH1 IDH1 ATP2A2 MAN1A PTGES3 ACP2 PSMB10 HPRT TMEM176B DHPS COMT CFB ACP1 ACO2
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.0363636363636364	0.121212121212121	0.261663521711573	0.480646558582682	1.41735298447447	93	NPM1 RPS14 HSP90B1 EEF2 YWHAZ SPCS1 EIF4A1 SPCS3 CALR SSR1 VEGFA EIF2S1 LSM4 SEC11A KIF5B EDEM1 EIF4EBP1 DNAJC3 EIF4G1 KHSRP XBP1 TUBB2A PDIA6 HSPA9 DCP2 BANF1 DDIT4 CNOT2 SERP1 EIF4A2 IMP3 WIPI1 YIF1A EIF4E BAG3 SRPRB
HALLMARK_COMPLEMENT	0.0335260115606936	0.119735755573906	0.266350657088526	0.456820849684373	1.3913449548611	128	FN1 CTSS CTSC CTSH LRP1 ANXA5 SERPINB2 MMP14 CCL5 MMP12 LGALS3 CTSL GNGT2 LGMN CXCL1 S100A13 TIMP1 SERPINE1 PLA2G4A CALM1 C1QA CALM3 STX4A C1QC ATOX1 ADAM9 PIK3R5 F7
HALLMARK_APICAL_SURFACE	0.108433734939759	0.258175559380379	0.16440575583821	0.627024460408415	1.37225458254908	16	APP CRYBG1 ADAM10 IL2RG FLOT2 IL2RB THY1 SULF2 AKAP7
HALLMARK_HYPOXIA	0.0403225806451613	0.126008064516129	0.241339976815091	0.446482807138768	1.36514333786973	131	MT1 MT2 S100A4 SDC4 PLAC8 TGFBI SDC3 NDRG1 SELENBP1 SLC2A1 PGK1 SERPINE1 ANXA2 ETS1 PGF CASP6 GALK1 CAV1 RORA HMOX1 SAP30 ERRFI1 P4HA2 MAP3K1 EXT1 HEXA MXI1 IRS2 LXN VEGFA ACKR3 GPI1 GLRX
HALLMARK_ADIPOGENESIS	0.0484988452655889	0.14264366254585	0.219250346703755	0.43093384719032	1.32573158801538	143	APOE APLP2 SCP2 UCP2 ABCA1 DDT CMPK1 GPX4 UQCR11 TKT COX7B NDUFA5 SOD1 LIFR NDUFAB1 REEP5 ATP5O PHYH CD302 ESYT1 NMT1 NDUFS3 MAP4K3 ETFB RTN3 IMMT CYC1 UQCR10 IFNGR1 DNAJC15 IDH1 G3BP2 PGM1 UQCRC1 SDHC ACADL PQLC3 CHCHD10 CS SLC25A1 UBQLN1 AK2 SAMM50 STAT5A ACO2 SDHB COX6A1 RREB1 ECH1 PEX14 MGST3 NDUFB7
HALLMARK_PEROXISOME	0.0991105463786531	0.255453501722158	0.157402899305283	0.464001772169696	1.30175901609754	66	PRDX1 SCP2 PABPC1 TSPO SOD1 SLC23A2 YWHAH ALDH9A1 FIS1 SLC25A4 CLN8 ACAA1A IDH1 CTBP1 DHRS3 SEMA3C ECH1 PEX14 ACSL4 CNBP HMGCL ABCD3 IDE CAT SMARCC1 ABCC5
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.165745856353591	0.345303867403315	0.12384217120105	0.482054080685899	1.25146119828263	40	ANXA5 CXCL16 LGALS3 LGMN FABP5 JAG1 SCD2 ERRFI1
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.102181400688863	0.255453501722158	0.14641623786055	0.401551567612989	1.24131681313666	155	CD74 MT2 H2-AA H2-EB1 IFI30 H2-Q7 CCL5 CD38 PTGS2 IRF8 LY6E PSMB8 FCGR1 PLA2G4A BST2 SLAMF7 PSME1 SOCS3 B2M PSMB2 CD86 IFITM3 H2-DMA LGALS3BP SOCS1 PSMA2 ITGB7 H2-M3 IL4RA GCH1 IFNAR2
HALLMARK_MTORC1_SIGNALING	0.125144843568946	0.284420099020331	0.131457611642763	0.40077764225235	1.2319083900774	147	CTSC IFI30 PRDX1 LGMN PPIA SLC2A1 NUPR1 PGK1 HSPE1 HSP90B1 ATP5G1 SCD2 FKBP2 EIF2S2 CFP CALR CCT6A SSR1 GPI1 CANX NMT1 GLRX PSMA4 GAPDH SEC11A EDEM1 HSPD1 EGLN3 ITGB2 IMMT ACTR3 IDH1 XBP1 ATP2A2 UFM1 PGM1 SDF2L1 HSPA9 PLOD2 DDIT4 HSPA4 NUFIP1 RPN1 ENO1 ADD3 HPRT RAB1A
HALLMARK_PROTEIN_SECRETION	0.191358024691358	0.346020761245675	0.106729884364606	0.410476252395652	1.19231622932	85	CTSC ABCA1 GNAS DST AP2S1 CAV2 ATP1A1 SOD1 SGMS1 VAMP4 COPE TMED10 AP2M1 RAB14 ADAM10 ARCN1 GOLGA4 RPS6KA3 SNX2 ERGIC3 COPB1 CLTC LMAN1 CLTA COPB2 SCAMP1 AP2B1 USO1 ARFGEF1 DNM1L AP3S1
HALLMARK_FATTY_ACID_METABOLISM	0.185454545454545	0.346020761245675	0.107554375265169	0.403493956384921	1.18984179349159	93	S100A10 LGALS1 GLUL PRDX6 PSME1 UGDH YWHAH HSPH1 ERP29 AUH ALDH9A1 SERINC1 ACAA1A IDH1 PDHA1 CCDC58 SDHC MDH1 ACADL METAP1 SMS RAP1GDS1 HSD17B10 HADHB ACO2 GRHPR ECH1 ACSL4 BLVRA ECI1 HMGCL
HALLMARK_NOTCH_SIGNALING	0.272992700729927	0.423412204234122	0.0952879846194844	0.51304010487207	1.16514453657797	20	JAG1 RBX1 SAP30 DTX2 APH1A ARRB1 FZD1
HALLMARK_P53_PATHWAY	0.193771626297578	0.346020761245675	0.101713902282311	0.379692485198636	1.15954462070653	130	S100A10 S100A4 IFI30 SDC1 RACK1 RPL36 NDRG1 APP RPL18 KLF4 NUPR1 RPS12 HINT1 PLXNB2 PROCR TGFB1 HMOX1 GM2A
HALLMARK_DNA_REPAIR	0.205495818399044	0.354303135170766	0.10027910675413	0.388450796209193	1.15724524237351	106	DAD1 GPX4 RBX1 APRT BOLA2 POLR1D POLD4 EDF1 HCLS1 NT5C POLR2I PCNA NUDT21 RALA NME1 EIF1B BCAP31 RFC3 TAF10 HPRT POLB GTF2H5 POLE4 RPA3 POLR2H CETN2 GTF2B IMPDH2 POLR2C
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.279452054794521	0.423412204234122	0.0902635484340068	0.434974908144561	1.13919643298365	42	PRDX1 PRDX2 PRDX6 GPX4 NDUFB4 SOD1 NDUFA6 PRDX4 ATOX1 GLRX LAMTOR5 CDKN2D NDUFS2
HALLMARK_ANDROGEN_RESPONSE	0.266836086404066	0.423412204234122	0.0886261133285098	0.40233692931803	1.12875802779736	66	NDRG1 MAF DBI SCD2 H1F0 B2M TMEM50A LIFR SPCS3 PMEPA1 SELENOP VAPA SGK1 TNFAIP8 RPS6KA3 SMS LMAN1 MYL12A
HALLMARK_G2M_CHECKPOINT	0.32939787485242	0.484408639488853	0.0734381410838857	0.355549374618843	1.07164384172583	117	MT2 HSPA8 TGFB1 UCK2 SAP30 SNRPD1 SMC4 JPT1 SYNCRIP TMPO NCL KIF5B SFPQ HNRNPD NSD2 MNAT1 RAD23B CDK4 HIF1A MAP3K20 DR1
HALLMARK_BILE_ACID_METABOLISM	0.375170532060027	0.514037168841439	0.0741758965588009	0.405279318023742	1.0654909252225	43	SCP2 ABCA1 SOD1 SLC23A2 PHYH ALDH9A1 IDH1
HALLMARK_MYC_TARGETS_V2	0.383561643835616	0.514037168841439	0.0732558655828455	0.401490425040605	1.05150079123953	42	NPM1 HSPE1 CBX3 HSPD1 CDK4
HALLMARK_UV_RESPONSE_DN	0.398514851485149	0.514037168841439	0.0662842187012672	0.358238698644061	1.03890536227213	84	MT1 GJA1 MET DAB2 SERPINE1 ANXA4 ANXA2 CAV1 ATP2B4 PMP22 PRKAR2B FYN NR3C1 PIK3CD ADD3 SPOP AKT3 LAMC1
HALLMARK_E2F_TARGETS	0.400948991696323	0.514037168841439	0.0639271933359996	0.344760461231918	1.03349169966753	114	TUBB5 NAP1L1 SMC4 PRDX4 JPT1 EIF2S1 SYNCRIP RANBP1 PCNA TMPO NUDT21 HNRNPD SMC6 CDK4 NME1 DEK RFC3 PAICS RAN STMN1 POLE4 RPA3 AK2 SNRPB SMC3 NAA38 DNMT1 GSPT1 PNN SRSF2 SMC1A SSRP1 CNOT9 NASP EXOSC8 RAD21 ANP32E GINS4 RFC2 XPO1 PA2G4
