"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.00208622521749231,0.00730178826122308,0.431707695803346,0.697927548804902,1.91586363802852,18,"RBPJ ADAM17 HDAC5 NUMB CTNNB1 DVL2 CSNK1E"
"2","HALLMARK_HYPOXIA",0.000143319309837339,0.00078029402022551,0.518848077743792,0.429960433271851,1.70367853506442,117,"GPI1 P4HA1 BNIP3L GBE1 TPI1 ZFP292 ALDOA GAPDH RBPJ LDHA HMOX1 GYS1 VEGFA KLHL24 PGK1 HK2 PGM1 MIF VHL PFKP HK1 WSB1 ATP7A FAM162A CDKN1B KDM3A PFKFB3 RRAGD DDIT3 PLIN2 ENO1 PRDX5 NDRG1 UGP2 HDLBP ANXA2 PFKL MXI1 PDK1 BTG1 NFIL3 PDK3 NR3C1 AK4 JMJD6"
"3","HALLMARK_GLYCOLYSIS",0.000447785847535242,0.00182845887743557,0.49849310876659,0.428282921867446,1.67672681437121,102,"P4HA1 TPI1 ZFP292 ALDOA LDHA EGLN3 GYS1 VEGFA PKM PGK1 NDUFV3 HK2 PGAM1 AGL MIF PFKP QSOX1 FAM162A CHST12 RRAGD ENO1 UGP2 HDLBP TXN1 MXI1 PDK3 TALDO1 AK4 CITED2 GNPDA1 DDIT4"
"4","HALLMARK_HEME_METABOLISM",0.0134788997836837,0.0440310726267,0.380730400722792,0.355053450551577,1.4025905291766,106,"BSG CTSB BNIP3L LPIN2 GDE1 MPP1 RIOK3 SLC25A37 ADIPOR1 MOCOS MXI1 SEC14L1 C3 CLCN3 NARF FOXJ2 YPEL5 NR3C1 MKRN1 HTATIP2 NCOA4 TFRC EZH1 CDC27 ARL2BP RBM5 BMP2K SLC7A11 RANBP10 FOXO3"
"5","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.163934426229508,0.321311475409836,0.261663521711573,0.340428012643643,1.2017212751463,62,"MREG KLF10 GLA ARL3 TMEM164 RPS6KA2 JAK2 SH3BP5 UNC119 MED13L NXT1 RAB31 SLC9A3R1 PMAIP1 TIPARP BHLHE40 ELF1 MINDY1 KDM4B RETREG1 ABCA3"
"6","HALLMARK_MTORC1_SIGNALING",0.13124624819294,0.267961090060587,0.249246554383295,0.288252174781953,1.16025739545713,133,"GPI1 P4HA1 GBE1 TPI1 ALDOA GAPDH LDHA EGLN3 PGK1 SQSTM1 HK2 PGM1 PSMC6 TBK1 DDIT3 ENO1 GLA NAMPT PFKL CD9 PDK1"
"7","HALLMARK_HEDGEHOG_SIGNALING",0.313672922252011,0.494711538461539,0.12563992130984,0.493380961889017,1.13312684191368,10,"VEGFA TLE3 CDK6"
"8","HALLMARK_MYOGENESIS",0.283261802575107,0.462660944206009,0.172324344900946,0.328635103073924,1.10234552172982,43,"GADD45B SIRT2 AGL ITGB1 EIF4A2 HDAC5 CRAT GSN BHLHE40 FLII MEF2A ATP6AP1"
"9","HALLMARK_PROTEIN_SECRETION",0.28125,0.462660944206009,0.211400189384923,0.294500856406818,1.09852364228859,81,"BNIP3 AP3S1 ATP7A RAB9 GLA IGF2R KIF1B GNAS CLCN3 CD63 VAMP3 ARFGEF2 CLN5 STX7"
"10","HALLMARK_MITOTIC_SPINDLE",0.323076923076923,0.494711538461539,0.219250346703755,0.264786304635301,1.05537166054238,115,"ARHGEF3 ABR PCGF5 BCL2L11 ABI1 RANBP9 KIF1B PPP4R2 GSN CLIP1 EPB41L2 WASL PAFAH1B1 RABGAP1 EZR VCL RICTOR CKAP5 CDC27 HOOK3 ALS2 ATG4B ACTN4 ARHGEF11 NCK1 SOS1 FGD4 AKAP13 CEP192 CLASP1 TSC1 ARHGEF7"
"11","HALLMARK_UV_RESPONSE_DN",0.446808510638298,0.576147816349384,0.151148761385484,0.278851483071585,1.0106636154822,67,"SYNE1 ABCC1 ZMIZ1 ATP2B1 RBPMS CDKN1B ANXA2 NR3C1 BMPR1A PTEN PHF3 SCAF8 CITED2 ATXN1 BHLHE40 SPOP"
"12","HALLMARK_SPERMATOGENESIS",0.648902821316615,0.691222570532915,0.0894366833718621,0.294178843275053,0.864139514955935,22,"IP6K1 HSPA4L TALDO1"
"13","HALLMARK_ANDROGEN_RESPONSE",0.863636363636364,0.863636363636364,0.100633389423036,0.230291375040491,0.784054757619616,51,"SAT1 ZMIZ1 ITGAV NDRG1 CDK6 NCOA4 VAPA TNFAIP8"
"14","HALLMARK_NOTCH_SIGNALING",0.767080745341615,0.783061594202898,0.0797705918628453,0.285924260097508,0.775687805548839,17,"ARRB1 DTX4 SAP30 PSEN2 NOTCH1 FBXW11 CUL1"
"15","HALLMARK_ESTROGEN_RESPONSE_LATE",0.676829268292683,0.705630513751946,0.0409055783172035,-0.302727901899859,-0.873471403670815,63,"ZFP36 ISG20 COX6C FOS S100A9 PTPN6 HPRT TSPAN13 XBP1 ETFB EGR3 ASS1 DUSP2 CD44 SGK1"
"16","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.647129186602871,0.691222570532915,0.042077210988939,-0.302479642698706,-0.895256974929223,77,"NABP1 EIF4A1 RPS14 NHP2 NPM1 SERP1 CCL2 SPCS1 BANF1 XBP1 IMP3 SEC11A YWHAZ PDIA6 EXOSC5 EIF4A3 HSP90B1 EIF2S1 PREB SRPR DNAJB9 SPCS3 LSM4"
"17","HALLMARK_TGF_BETA_SIGNALING",0.569906790945406,0.663898601398601,0.052805004567129,-0.343801541193206,-0.917229401987201,36,"THBS1 JUNB"
"18","HALLMARK_XENOBIOTIC_METABOLISM",0.596153846153846,0.663898601398601,0.0460457683018055,-0.314123564818104,-0.926682189566675,75,"ARG1 MT2 DHRS7 APOE HPRT ALAS1 GCH1 PSMB10 TNFRSF1A ARPP19 PTS CYB5A SERTAD1 ATP2A2 XDH ETS2 CASP6"
"19","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.570217917675545,0.663898601398601,0.0484087618816951,-0.319558613800284,-0.938149797769849,71,"PFN1 CXCR4 ARPC3 ACTR3 YWHAB CDKN1A ITPR2 CFL1 GRK2 TNFRSF1A MYD88 ACTR2 STAT2"
"20","HALLMARK_G2M_CHECKPOINT",0.583236321303842,0.663898601398601,0.0455878202571231,-0.309888726227416,-0.94026369318625,91,"LMNB1 HSPA8 MT2 JPT1 SNRPD1 GSPT1 ARID4A SFPQ BUB3 ODC1 UCK2 NCL PRPF4B LBR HNRNPD NASP G3BP1 SLC38A1"
"21","HALLMARK_BILE_ACID_METABOLISM",0.560393258426966,0.663898601398601,0.0560595875032335,-0.376105592955983,-0.945820094459815,26,"SCP2 GCLM ABCA1 SOD1 HSD17B11"
