"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","KEGG_OXIDATIVE_PHOSPHORYLATION",2.07671512735862e-11,4.82171642874855e-09,0.863415391606693,0.70161856996009,2.33254342498886,115,"MT-CO3 ATP6V1C1 ATP6V1E1 MT-ND2 ATP6V0E ATP6V0C MT-CO2 MT-ATP6 MT-CO1 MT-ND4 MT-CYTB ATP5O MT-ND1 COX7A2 ATP6V1A NDUFS8 ATP6V1G1 ATP5K ATP6V1F NDUFC2 TCIRG1 ATP5G3 NDUFS4 COX5A ATP6V0B NDUFV2 COX7C NDUFB2 ATP6V0D2 NDUFAB1 CYC1 COX6C ATP5C1 ATP6V1D NDUFB5 NDUFB9 MT-ND5 ATP5G1 UQCRC2 COX17 ATP6V1H NDUFB4 COX8A NDUFA8 MT-ATP8 UQCRB ATP6AP1 UQCRH ATP5L NDUFA4 NDUFB7 SDHB ATP5H"
"2","KEGG_LYSOSOME",4.44131421438275e-10,7.79450644624173e-08,0.814035837847908,0.690315000567733,2.28576848810951,110,"PSAP CD63 CD68 ACP5 LIPA CTSB CTSZ NPC2 ATP6V0C HEXA LAMP1 CTSS GLA CTSD NPC1 AP3S1 CLTA TPP1 CTSA NEU1 NAGLU TCIRG1 ACP2 ATP6V0B CLN5 ASAH1 ATP6V0D2 HGSNAT AP4S1 IDUA CTSK CLN3 LGMN SLC11A2 ATP6V1H SUMF1 GNS GUSB GAA FUCA1 ATP6AP1 LAPTM4B AGA CTSH MCOLN1 SLC11A1 CD164 HEXB AP3B1 IGF2R"
"3","REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING",3.74714025932116e-06,0.000328811557755432,0.627256739718528,0.859397095105511,2.1824628168294,25,"ATP6V1C1 ATP6V1E1 ATP6V0E ATP6V0C ATP6V1A ATP6V1G1 ATP6V1F TFRC TCIRG1 ATP6V0B ATP6V0D2 ATP6V1D ATP6V1H ATP6AP1 MCOLN1"
"4","REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES",9.03753006184269e-06,0.000679751368222883,0.593325476396405,0.827667265876593,2.13330684620881,28,"ATP6V1C1 ATP6V1E1 CYBA ATP6V0E ATP6V0C NCF1 NOS2 CYBB ATP6V1A ATP6V1G1 NCF4 ATP6V1F TCIRG1 ATP6V0B ATP6V0D2 ATP6V1D ATP6V1H HVCN1"
"5","REACTOME_AMINO_ACIDS_REGULATE_MTORC1",4.40410049670946e-06,0.000371001425842805,0.610526878385931,0.727757188740513,2.12404039972714,50,"ATP6V1C1 ATP6V1E1 ATP6V0E ATP6V0C FNIP2 LAMTOR1 ATP6V1A ATP6V1G1 ATP6V1F RRAGD TCIRG1 ATP6V0B LAMTOR5 RRAGC ATP6V0D2 LAMTOR4 ATP6V1D FNIP1 LAMTOR2 ATP6V1H LAMTOR3 BMT2"
"6","REACTOME_INSULIN_RECEPTOR_RECYCLING",1.72993533639884e-05,0.00117523994143741,0.575610261071129,0.864031978165167,2.10195936242404,20,"ATP6V1C1 ATP6V1E1 ATP6V0E ATP6V0C ATP6V1A ATP6V1G1 ATP6V1F TCIRG1 ATP6V0B ATP6V0D2 ATP6V1D ATP6V1H ATP6AP1"
"7","KEGG_PARKINSONS_DISEASE",7.79784978520073e-07,8.21113582381636e-05,0.659444398037935,0.619239345205142,2.05042303977661,110,"MT-CO3 MT-ND2 MT-CO2 MT-ATP6 MT-CO1 MT-ND4 MT-CYTB ATP5O MT-ND1 UBE2J2 COX7A2 NDUFS8 NDUFC2 ATP5G3 NDUFS4 COX5A NDUFV2 CYCS COX7C VDAC2 NDUFB2 NDUFAB1 CYC1 COX6C ATP5C1 NDUFB5 NDUFB9 UBE2L3 MT-ND5 ATP5G1 UQCRC2 NDUFB4 COX8A NDUFA8 MT-ATP8 UQCRB VDAC3 UQCRH NDUFA4 UBE2L6 NDUFB7 SDHB ATP5H"
"8","WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA",1.85001288133409e-06,0.000169396831656069,0.643551836150722,0.623083737505481,2.03436404184604,97,"MT-CO3 MT-ND2 MT-CO2 MT-ATP6 MT-CO1 MT-ND4 MT-CYTB ATP5O MT-ND1 COX7A2 NDUFS8 ATP5K NDUFC2 ATP5G3 NDUFS4 COX5A NDUFV2 COX7C NDUFB2 NDUFAB1 COX6C ATP5C1 NDUFB5 NDUFB9 MT-ND5 ATP5G1 UQCRC2 COX17 NDUFA12 NDUFB4 COX8A NDUFA8 MT-ATP8 UQCRB UQCRH ATP5L NDUFA4 NDUFB7 SDHB ATP5H NDUFB10 MT-ND4L"
"9","REACTOME_IRON_UPTAKE_AND_TRANSPORT",9.5712447225536e-05,0.00592854158402879,0.538434096309916,0.688769020572212,1.97465484640158,46,"FTL1 ATP6V1C1 ATP6V1E1 LCN2 HMOX1 ATP6V0E ATP6V0C FTH1 ATP6V1A ATP6V1G1 ATP6V1F TFRC TCIRG1 ATP6V0B HMOX2 ATP6V0D2 SLC11A2 ATP6V1D NEDD8 ATP6V1H ATP6AP1 GLRX3 MCOLN1"
"10","WP_PROXIMAL_TUBULE_TRANSPORT",0.000206295332257257,0.0117421072901023,0.518848077743792,0.755244393040514,1.96904643109498,29,"ATP6V1C1 ATP6V1E1 ATP6V0E ATP6V0C SLC3A2 ATP6V1A ATP6V1G1 ATP6V1F ATP6V0B ATP6V0D2 ATP6V1D ATP6V1H"
"11","REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS",6.78216926157419e-07,7.5174991920396e-05,0.659444398037935,0.586114623488834,1.96245230810204,121,"MT-CO3 MT-ND2 MT-CO2 MT-ATP6 MT-CO1 MT-ND4 MT-CYTB ATP5O MT-ND1 NDUFS8 ATP5K NDUFC2 ATP5G3 NDUFS4 COX5A NDUFV2 COX19 CYCS COX7C NDUFB2 NDUFAB1 CYC1 COX6C ATP5C1 NDUFB5 NDUFB9 MT-ND5 NDUFAF3 ATP5G1 UQCRC2 NDUFA12 NDUFB4 COX8A NDUFA8 MT-ATP8 UQCRB UQCRH ATP5L NDUFA4 NDUFB7 SDHB ATP5H NDUFB10 ETFB COX18 SCO2 COX6A1 NDUFAF1 ETFA"
"12","KEGG_VIBRIO_CHOLERAE_INFECTION",0.00036176742837973,0.0155486164115859,0.49849310876659,0.681754445399911,1.94865921422069,44,"ATP6V1C1 ATP6V1E1 ATP6V0E ATP6V0C ATP6V1A ATP6V1G1 ATP6V1F TCIRG1 ATP6V0B ATP6V0D2 ATP6V1D ATP6V1H GNAS ATP6AP1 ACTG1"
"13","WP_OXIDATIVE_PHOSPHORYLATION",0.000501023842674349,0.0202812593820618,0.477270815362862,0.636164781867361,1.91359777251689,57,"MT-ND2 MT-ATP6 MT-ND4 ATP5O MT-ND1 NDUFS8 ATP5K NDUFC2 ATP5G3 NDUFS4 NDUFV2 NDUFB2 NDUFAB1 NDUFB5 NDUFB9 MT-ND5 ATP5G1 NDUFB4 NDUFA8 ATP6AP1 ATP5L NDUFA4 NDUFB7 ATP5H NDUFB10 MT-ND4L"
"14","REACTOME_RESPIRATORY_ELECTRON_TRANSPORT",4.6731679696486e-05,0.00307552867002499,0.557332238758646,0.580617050813081,1.90332451711823,101,"MT-CO3 MT-ND2 MT-CO2 MT-CO1 MT-ND4 MT-CYTB MT-ND1 NDUFS8 NDUFC2 NDUFS4 COX5A NDUFV2 COX19 CYCS COX7C NDUFB2 NDUFAB1 CYC1 COX6C NDUFB5 NDUFB9 MT-ND5 NDUFAF3 UQCRC2 NDUFA12 NDUFB4 COX8A NDUFA8 UQCRB UQCRH NDUFA4 NDUFB7 SDHB NDUFB10 ETFB COX18 SCO2 COX6A1 NDUFAF1 ETFA"
"15","REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES",0.000427954174280374,0.0180254298206893,0.49849310876659,0.90680650191329,1.89391172538165,10,"APOC2 FURIN LMF2"
"16","WP_MITOCHONDRIAL_CIV_ASSEMBLY",0.000648946926285944,0.0239768811711965,0.477270815362862,0.699383706000989,1.87689344479558,34,"MT-CO3 MT-CO2 MT-CO1 COX7A2 COX5A COX19 COX7C PNKD COX6C COX17 COX8A NDUFA4 HIGD1A COX18 SCO2 COX6A1 CMC1 COX10"
"17","BIOCARTA_AMI_PATHWAY",0.00135359909435425,0.0425474581001501,0.45505986738723,0.870562416120153,1.84515930945143,11,"F10 F7"
"18","REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT",1.14572220792377e-05,0.000804296989962483,0.593325476396405,0.522506310708218,1.8195681080346,165,"MT-CO3 MT-ND2 MT-CO2 MT-ATP6 MT-CO1 MT-ND4 MT-CYTB ATP5O MT-ND1 NDUFS8 ATP5K NDUFC2 ATP5G3 NDUFS4 COX5A NDUFV2 COX19 CYCS COX7C NDUFB2 NDUFAB1 CYC1 COX6C ATP5C1 NDUFB5 NDUFB9 MPC2 MT-ND5 NDUFAF3 ATP5G1 UQCRC2 NDUFA12 RXRA NDUFB4 COX8A NDUFA8 MT-ATP8 UQCRB UQCRH MDH2 ATP5L BSG NDUFA4 ACO2 NDUFB7 SDHB ATP5H NDUFB10 ETFB IDH2 COX18 SCO2 COX6A1 CS NDUFAF1 ETFA ME2"
"19","REACTOME_LDL_CLEARANCE",0.00270289764804091,0.069418322521636,0.431707695803346,0.787163398426477,1.81723755708634,16,"NCEH1 LIPA NPC2 NPC1 CLTA SOAT1 AP2S1"
"20","KEGG_ASTHMA",0.00212609525617593,0.0589152185461384,0.431707695803346,0.771894105120569,1.81711651565689,18,"FCER1G TNF IL10 CD40 H2-EB1 EAR6"
"21","REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE",0.00231094524091934,0.0616057047769131,0.431707695803346,0.62201257044898,1.80330819770445,47,"NCEH1 APOC2 LIPA NPC2 NPC1 SAR1B CLTA FURIN NR1H3 SOAT1"
"22","BIOCARTA_INTRINSIC_PATHWAY",0.00340640935395944,0.0743114526933128,0.431707695803346,0.846592050808217,1.79435405771154,11,"F10 F5"
"23","REACTOME_SIGNALING_BY_INSULIN_RECEPTOR",0.00288893616300416,0.0696105187643347,0.431707695803346,0.61565430102918,1.78212159373304,48,"ATP6V1C1 ATP6V1E1 ATP6V0E ATP6V0C ATP6V1A ATP6V1G1 ATP6V1F TCIRG1 ATP6V0B ATP6V0D2 NRAS ATP6V1D PIK3CB ATP6V1H ATP6AP1 HRAS GRB2 PIK3R1"
"24","KEGG_OTHER_GLYCAN_DEGRADATION",0.00634229022791357,0.109917894413958,0.407017918923954,0.804132735095685,1.77638703057222,13,"HEXA NEU1 FUCA2 FUCA1 AGA HEXB GBA"
"25","REACTOME_GLYCOSPHINGOLIPID_METABOLISM",0.00493934208907411,0.0963171707369452,0.407017918923954,0.662822386031538,1.76172448578657,32,"PSAP HEXA GLA CTSA NEU1 ASAH1 SUMF1 HEXB B4GALNT1 GBA ESYT1 CPTP"
"26","REACTOME_TRANSPORT_OF_SMALL_MOLECULES",3.68890797012243e-09,5.97603091159834e-07,0.774939030136436,0.460910590707889,1.76093291386314,441,"FTL1 NCEH1 APOC2 ATP6V1C1 ATP6V1E1 LIPA LCN2 HMOX1 NPC2 ATP6V0E ATP6V0C ABCC5 SLC3A2 SLC15A3 PSMB6 SLC32A1 NPC1 FTH1 SAR1B CLTA CLCN7 OSTM1 PSMD13 PSMD8 FURIN DERL1 SLC6A13 STOML2 ATP6V1A ATP6V1G1 STOM ATP6V1F TFRC RAF1 TCIRG1 ATP6V0B HMOX2 PSMB5 ABCB7 SLC7A11 SLC31A1 NR1H3 VDAC2 CALM1 SOAT1 ATP6V0D2 PSMD10 SLC38A1 EIF2S1 PSMC1 ATP8B4 PHB2 TRPM2 NIPA2 ATP2C1 SLC11A2 ATP6V1D NEDD8 RIPK3 EIF2S2 BEST1 ATP6V1H GNAS SLC22A4 GNG12 PSMD1 DERL2 PARL SLCO3A1 RNF5 EIF2S3X SLC43A2 PSMA2 ABCF1 VDAC3 ATP6AP1 SLC39A3 PSMA5 AP2S1 BSG GLRX3 CLCN4 CYB5R4 GNGT2 SLC16A10 PSMB7 MCOLN1 APOE PSMA1 PSMC5 SLC11A1 ABCC1"
"27","KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION",0.00414050390438614,0.0863356556696754,0.407017918923954,0.575452470844943,1.73373266138663,60,"CCL5 ATP6V1C1 ATP6V1E1 CXCL2 ATP6V0E ATP6V0C CXCL3 ATP6V1A ATP6V1G1 ATP6V1F TCIRG1 ATP6V0B ATP6V0D2 NFKBIA ATP6V1D ATP6V1H ATP6AP1 NFKB1"
