pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	3.07693535259644e-11	1.53846767629822e-09	0.851339057116899	0.71434469680175	2.33397899926599	109	CXCL1 CXCL3 CXCL2 GJA1 ECM1 INHBA SDC1 CD44 DST GADD45B PLAUR PMP22 LRP1 ANPEP VIM BASP1 VCAN SPP1 FN1 TNFAIP3 SERPINE1 TGFB1 QSOX1 MMP14 TGM2 CALU RHOB THBS1 TIMP1 SAT1 ITGB1 VEGFA PVR SLC6A8 GADD45A CAPG PLOD1 FAS ITGAV NOTCH2 ID2 ITGA5
HALLMARK_HYPOXIA	3.39867009618265e-10	8.49667524045661e-09	0.814035837847908	0.635008847667322	2.14644372939469	152	MT2 MT1 IER3 DUSP1 FAM162A TPD52 PGK1 PFKFB3 BNIP3L PRDX5 MXI1 GLRX PLAUR SLC2A1 CDKN1A ATF3 PLIN2 P4HA1 TPI1 LDHA UGP2 HMOX1 NR3C1 GAPDH MIF TNFAIP3 SERPINE1 RBPJ ZFP36 ENO1 HK2 PDK1 CAV1 GYS1 ANXA2 TGM2 GALK1 SELENBP1 GBE1 F3 FOSL2 NDRG1 NFIL3 SDC3 SAP30 KLF7 HDLBP IRS2 CSRP2 VEGFA NOCT LXN ALDOC PGM2 BTG1 WSB1 DDIT3 KLHL24 AMPD3 ALDOA GCNT2 GPI1 TIPARP CASP6 ERRFI1
HALLMARK_GLYCOLYSIS	3.15170007819377e-07	2.38584007646695e-06	0.674962860011025	0.568262297384675	1.92082842523129	152	IER3 MET FAM162A SDC1 CD44 PGK1 EGLN3 PGAM1 MXI1 GLRX SLC16A3 P4HA1 TPI1 LDHA VCAN UGP2 TXN1 MIF ENO1 HK2 QSOX1 PPP2CB GYS1 PKM IL13RA1 GALK1 ME2 CHST12 SDC3 SAP30 HDLBP IRS2 VEGFA CYB5A XYLT2 GNPDA1 PLOD1 PYGL PGM2 GUSB SLC35A3
HALLMARK_COAGULATION	7.71350365627374e-05	0.000428527980904097	0.538434096309916	0.591000603202004	1.87893874806744	87	SERPINB2 PF4 CD9 THBD CTSL F10 LRP1 DUSP6 FN1 FURIN SERPINE1 MMP14 ANXA1 GNG12 THBS1 CTSB GDA F3 TIMP1 MMP8 KLF7 MMP9 CTSH CASP9 GSN PLEK LAMP2 CTSK RABIF SH2B2
HALLMARK_TNFA_SIGNALING_VIA_NFKB	3.34017610705373e-07	2.38584007646695e-06	0.674962860011025	0.53353139501365	1.84383608854012	184	CXCL1 SERPINB2 CXCL3 CCL4 CXCL2 CEBPB G0S2 IER3 DUSP1 TNFRSF9 INHBA JAG1 CD44 PFKFB3 SOD2 GADD45B NFKBIA IL1B PLAUR ABCA1 CDKN1A ATF3 EHD1 TNIP1 DRAM1 EIF1 TGIF1 KLF4 CCRL2 NAMPT MCL1 TNFAIP3 SERPINE1 ZFP36 RHOB IL1A SOCS3 KLF9 ETS2 F3 FOSL2 MARCKS SAT1 ZC3H12A NFIL3 TLR2 FOSL1 PTGS2 IRS2 VEGFA KDM6B NFE2L2 RNF19B PLPP3 GADD45A PLEK PHLDA1 SERPINB8 NINJ1 BTG1 IFNGR2 BTG3 KLF10 LITAF RELA
HALLMARK_COMPLEMENT	1.6419988738548e-06	1.02624929615925e-05	0.643551836150722	0.534511929875761	1.79117977448609	159	S100A9 CXCL1 SERPINB2 CXCL3 CXCL2 CEBPB MMP12 CTSL LGALS3 PLAUR FCER1G CTSD EHD1 F10 LRP1 DUSP6 MMP13 FN1 PLA2G7 TNFAIP3 SERPINE1 ITGAM MMP14 PPP2CB CALM3 CTSB GNAI3 F3 GNGT2 TIMP1 LYN MMP8 PIK3CA F7 CD36 RNF4 USP16 CTSH CASP9 PLEK LAMP2 TIMP2 NOTCH4 RABIF
HALLMARK_PROTEIN_SECRETION	0.000397410444557602	0.00180641111162546	0.49849310876659	0.524715214511615	1.68226886339227	89	TPD52 DST BNIP3 ABCA1 ARFGEF1 CAV2 CLN5 TMED2 SGMS1 TMED10 KIF1B AP3S1 SCAMP1 AP1G1 CLTC VPS4B LAMP2 MON2 TMX1 AP2M1 GOLGA4 ARFGAP3 USO1 VAMP4 VAMP3 AP2B1 RER1 CLCN3 RAB2A GLA BET1 ATP1A1 ADAM10 SEC24D AP2S1 STX16 STX12 ARFGEF2 ERGIC3
HALLMARK_ANGIOGENESIS	0.00897651628803305	0.034525062646281	0.380730400722792	0.638754484425888	1.64836594442327	25	PF4 JAG1 THBD APP TNFRSF21 VCAN SPP1 LRPAP1 TIMP1 VEGFA ITGAV
HALLMARK_NOTCH_SIGNALING	0.0228073596137073	0.060019367404493	0.352487857583619	0.595390554544838	1.53646125024875	25	JAG1 DTX2 NOTCH1 SAP30 FBXW11 ARRB1 FZD1 APH1A NOTCH2 RBX1 DTX4 CUL1 PSEN2 TCF7L2 FZD7
HALLMARK_TGF_BETA_SIGNALING	0.0179147301507573	0.0497631393076592	0.352487857583619	0.529859329689718	1.528461662999	50	TGIF1 FURIN RHOA SERPINE1 TGFB1 THBS1 RAB31 HDAC1 HIPK2 APC ID3 IFNGR2 SMURF2 KLF10 BMPR2 ID2 FKBP1A SMURF1 CTNNB1
HALLMARK_XENOBIOTIC_METABOLISM	0.0010746499122468	0.00447770796769498	0.45505986738723	0.453591453304345	1.50570800869283	138	MT2 PTGES ARG1 GSR F10 UPP1 ADH5 HMOX1 PGD UGDH SERPINE1 XDH BLVRB ARG2 ACP2 SMOX ETS2 PTGR1 POR CD36 CYB5A DHRS1 SSR3 NINJ1 FAS HSD11B1 NPC1 ID2 TMBIM6 GCNT2 GSTO1 CASP6 CAT NMT1 ALDH2
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0120948406242679	0.0403161354142262	0.380730400722792	0.475621034005414	1.47543428401623	75	CXCL1 CXCL3 CXCL2 PF4 CD9 CD44 IL1B TNFRSF21 CD14 PTPN1 HMOX1 CD38 TGFB1 TNFRSF1B IL13RA1 BAK1 SOCS3 CSF2RB2 TLR2 CSF3R CD36 CCR1 IFNAR1 MYD88 IFNGR2 FAS
