"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.0229550678560681,0.127528154755934,0.352487857583619,0.51992138176705,1.44772297568973,49,"TXN1 HMOX2 LAMTOR5 SOD2 SBNO2 GCLM FTL1 TXNRD1 SELENOS GLRX2 CDKN2D PRDX1 GPX4 GCLC MBP"
"2","HALLMARK_E2F_TARGETS",0.0477200424178155,0.183538624683906,0.211400189384923,-0.484731253995757,-1.25772062811455,184,"TRA2B HMGA1 PTTG1 LUC7L3 LMNB1 ING3 SMC4 TUBB5 XPO1 DONSON PCNA RAD21 SYNCRIP IPO7 STAG1 UBE2S TMPO GSPT1 SRSF2 ILF3 USP1 MRE11A AK2 NUP205 EIF2S1 RANBP1 PHF5A PNN NOP56 SMC1A RPA3 LYAR LBR CDKN1A NUDT21 CSE1L SLBP PDS5B PPM1D NUP153 MCM7 NOLC1 PRDX4 PLK4 RNASEH2A POLA2 RAD51C DCK SSRP1 SUV39H1 TBRG4 POLE4 WDR90 PA2G4 TUBG1 HMGB2 NCAPD2 NASP RFC3"
"3","HALLMARK_ALLOGRAFT_REJECTION",0.0414452709883103,0.17268862911796,0.227987202850442,-0.49105786958758,-1.27009738709921,174,"CCL5 CSF1 CCR1 MMP9 RPS19 FLNA LYN STAT1 IGSF6 EIF5A IL15 FGR NLRP3 IL1B ICAM1 HIF1A ABI1 CD80 AKT1 IFNGR1 ICOSL SRGN H2-D1 INHBA BCL10 AARS RPL39 ITGB2 EIF3J1 IL18 DEGS1 RPS3A1 HCLS1 PTPN6 IL18RAP IL2RA TAP1 IL2RG TPD52 JAK2 EIF3A SOCS1 CFP FAS H2-Q7 LCP2 EIF3D CD3D GCNT1 DARS CRTAM"
"4","HALLMARK_MTORC1_SIGNALING",0.0306553911205074,0.145222189950624,0.266350657088526,-0.49704814558376,-1.29057627169265,186,"IFRD1 EIF2S2 BTG2 IMMT DDIT3 P4HA1 BHLHE40 MAP2K3 CTSC GTF2H1 HSPA5 M6PR ACTR3 HSP90B1 CXCR4 PPP1R15A TES ENO1 RAB1A PSMA4 PSMC2 EDEM1 ATP5G1 XBP1 CALR TUBA4A DAPP1 DDIT4 HMGCS1 HSPA9 ITGB2 GLRX TCEA1 GSR PSMD12 CCNF ARPC5L ETF1 UCHL5 SLC2A1 CFP IDI1 NFYC SLC7A11 UBE2D3 CORO1A UFM1 HMGCR EBP USO1 FDXR PSMD13 TRIB3 PITPNB"
"5","HALLMARK_P53_PATHWAY",0.0319488817891374,0.145222189950624,0.261663521711573,-0.50279681302195,-1.29972531177174,173,"TXNIP JUN MDM2 BTG2 SEC61A1 DDIT3 RNF19B RPL36 IER3 TNFSF9 HEXIM1 RACK1 IER5 MXD1 FOS PPP1R15A RPS27L FOXO3 VAMP8 ZFP36L1 PLK3 GADD45A DNTTIP2 ISCU RPL18 DDIT4 PCNA PRKAB1 TOB1 S100A10 TRAFD1 FUCA1 TAP1 TCN2 ATF3 SOCS1 NINJ1 SLC7A11 HINT1 FAS APP BAK1 FDXR RALGDS RAP2B TRIB3 RHBDF2 GM2A RPS12 S100A4 NDRG1"
"6","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.0177177192560759,0.110735745350475,0.352487857583619,-0.553067464106676,-1.3739412383427,105,"EIF4A3 DNAJB9 EIF4A2 FUS HSPA5 HSP90B1 ATF4 CNOT2 SRPR RPS14 EDEM1 XBP1 CALR ATP6V0D1 DDIT4 VEGFA TATDN2 HSPA9 CNOT4 SPCS3 GOSR2 ERN1 IMP3 ATF3 EXOSC10 ATF6 LSM1 EIF2S1 HYOU1 YWHAZ EIF4E EXOSC5 KIF5B NOP56 SEC11A"
"7","HALLMARK_APOPTOSIS",0.0116144935541374,0.0829606682438386,0.380730400722792,-0.54420609445213,-1.38396812250767,137,"TXNIP JUN RHOB GCH1 BTG2 CD44 ISG20 GPX1 DDIT3 IER3 IL1B CD69 IGFBP6 ANXA1 IFNGR1 PPT1 IRF1 CASP4 RELA GADD45A ADD1 CREBBP BCL10 GSN CD14 CFLAR EGR3 CYLD IL18 IFITM3 GSR DNAJA1 TIMP2 ETF1 TAP1 ATF3 SATB1 DAP3 PMAIP1 FAS SLC20A1 MADD BNIP3L APP EBP CASP3"
"8","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.00251715249512061,0.0299374582501558,0.431707695803346,-0.537670921031545,-1.39772709417969,187,"CCL5 TXNIP ISG15 LY6E GCH1 STAT1 ISG20 IL15 RTP4 ICAM1 IRF9 HIF1A ARID5B CD69 PIM1 IL10RA PTPN2 RNF213 SAMD9L VAMP8 H2-D1 USP18 IRF1 CASP4 ADAR PELI1 STAT3 IFITM2 NFKB1 XAF1 IRF2 OASL1 CSF2RB2 IFITM3 TRAFD1 PTPN6 EIF2AK2 HERC6 TAP1 BST2 RSAD2 JAK2 SOCS1 LATS2 PSMB9 ARL4A FAS H2-Q7 TNFAIP6 DDX58 FPR1 CASP3 SPPL2A SAMHD1 LCP2 ZNFX1 RIPK1 UBE2L6 IRF7 MYD88 IFIT3 PTPN1 PDE4B"
"9","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00265098778613143,0.0299374582501558,0.431707695803346,-0.542934688945831,-1.40873969313335,184,"CCL5 DUSP1 CSF1 JUN TGIF1 KLF6 PNRC1 DENND5A RHOB GCH1 FOSL2 BTG2 ABCA1 ETS2 CD44 TRIB1 RNF19B IER3 TNFSF9 BHLHE40 IL1B CCNL1 MAP2K3 ICAM1 IER5 PLAU KLF2 MXD1 CD69 FOS PER1 ZC3H12A MAFF PLEK CD80 PPP1R15A SLC2A6 PLAUR IRS2 ICOSL IRF1 RELA GADD45A EGR1 TIPARP INHBA NFE2L2 NFKB1 DUSP5 SIK1 VEGFA LITAF ATP2B1 OLR1 CFLAR EGR3 NFKBIE IL18 JUNB SMAD3 KDM6B TAP1 NR4A2 ATF3 NINJ1 DNAJB4 TRAF1 HES1"
"10","HALLMARK_INFLAMMATORY_RESPONSE",0.00174225645460049,0.0299374582501558,0.45505986738723,-0.549666803632253,-1.41691305862032,170,"CCL5 CSF1 CLEC5A IFITM1 KLF6 PTAFR LY6E SELL CSF3R IRAK2 GCH1 LYN BTG2 ABCA1 IL15 GPR132 RTP4 TNFSF9 NLRP3 IL1B ICAM1 HIF1A MXD1 CD69 ABI1 ADM IL10RA GNAI3 PLAUR SGMS2 ICOSL IRF1 RELA C5AR1 INHBA PDPN NFKB1 ATP2B1 KIF1B CD14 OLR1 MEFV IL18 OSM PIK3R5 EIF2AK2 IL18RAP PTGER2 BST2"
